Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,270.000,270.000,270.000,270.000,270.000,3458
Aug-06-2020,270.000,270.000,270.000,270.000,270.000,2750
Aug-05-2020,270.000,270.010,270.000,270.010,270.000,1020
Aug-04-2020,270.000,270.010,270.000,270.010,270.000,13377
Aug-03-2020,270.000,270.000,270.000,270.180,270.000,12611
Jul-30-2020,270.000,270.000,270.000,271.000,270.000,964
Jul-29-2020,270.000,270.000,270.000,270.000,270.000,3737
Jul-28-2020,270.000,270.100,270.000,270.100,270.000,1513
Jul-27-2020,270.000,270.010,270.000,270.010,270.000,2810
Jul-24-2020,270.000,270.000,270.000,270.010,270.000,7607
Jul-23-2020,270.000,270.010,270.000,270.010,270.000,6170
Jul-22-2020,270.000,271.000,270.000,271.000,270.000,5100
Jul-21-2020,270.000,270.000,270.000,270.000,270.000,12709
Jul-20-2020,270.000,270.000,270.510,271.750,270.000,11211
Jul-17-2020,270.510,270.000,270.510,274.000,270.000,87
Jul-16-2020,270.510,270.000,270.000,274.990,270.000,1539
Jul-15-2020,270.000,270.000,270.000,270.000,270.000,50517
Jul-14-2020,270.000,270.000,270.000,270.010,270.000,2684
Jul-13-2020,270.000,270.000,270.500,271.500,270.000,6256
Jul-10-2020,270.500,270.090,270.500,270.090,270.060,22
Jul-09-2020,270.500,270.000,270.000,275.000,270.000,1561
Jul-08-2020,270.000,270.000,270.000,270.000,270.000,968
Jul-07-2020,270.000,270.000,270.010,270.000,270.000,103
Jul-06-2020,270.010,270.050,270.010,270.050,270.000,404
Jul-03-2020,270.010,270.000,270.000,270.010,270.000,1710
Jul-02-2020,270.000,270.000,270.000,270.000,270.000,516
Jul-01-2020,270.000,270.000,270.000,270.000,270.000,1720
Jun-30-2020,270.000,270.010,270.000,270.010,270.000,7010
Jun-29-2020,270.000,270.000,270.010,270.000,270.000,378
Jun-26-2020,270.010,270.010,270.000,270.010,270.000,4196
Jun-25-2020,270.000,270.010,270.010,270.010,270.000,23304
Jun-24-2020,270.010,270.010,270.010,270.010,270.010,98
Jun-23-2020,270.010,270.010,270.010,270.010,270.010,1460
Jun-22-2020,270.010,290.250,270.000,290.250,270.010,1341
Jun-19-2020,270.000,270.020,270.000,270.020,270.000,2301
Jun-18-2020,270.000,270.000,270.000,270.010,270.000,108818
Jun-17-2020,270.000,270.000,270.010,270.010,270.000,52124
Jun-16-2020,270.010,270.010,270.010,270.010,270.000,21428
Jun-15-2020,270.010,270.000,270.000,274.000,270.000,35918
