Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,455.000,450.000,466.500,460.000,450.000,1800
Aug-04-2020,466.500,465.000,460.000,466.500,465.000,4400
Aug-03-2020,460.000,460.000,440.520,473.550,460.000,2600
Jul-30-2020,440.520,414.000,410.000,440.750,410.000,4100
Jul-29-2020,410.000,405.000,401.670,410.000,405.000,2400
Jul-28-2020,401.670,408.000,392.000,411.000,400.000,2300
Jul-27-2020,392.000,405.000,405.910,410.000,392.000,5900
Jul-24-2020,405.910,405.000,382.500,411.000,401.000,3100
Jul-23-2020,382.500,382.500,403.000,382.500,382.500,100
Jul-21-2020,403.000,399.000,399.000,403.000,394.000,1400
Jul-20-2020,399.000,395.000,395.000,399.000,395.000,1000
Jul-17-2020,395.000,0.000,395.000,395.000,395.000,100
Jul-16-2020,395.000,394.000,392.000,395.000,394.000,300
Jul-15-2020,392.000,390.000,392.000,392.000,390.000,200
Jul-13-2020,392.000,377.000,390.000,392.000,377.000,200
Jul-10-2020,390.000,390.000,390.000,390.000,390.000,200
Jul-09-2020,390.000,390.000,389.990,390.000,390.000,300
Jul-08-2020,389.990,388.000,390.000,390.000,388.000,2800
Jul-07-2020,390.000,384.500,384.000,390.000,384.500,900
Jul-06-2020,384.000,384.000,384.000,384.000,384.000,100
Jul-03-2020,384.000,384.000,387.490,384.000,384.000,100
Jul-02-2020,387.490,371.030,384.000,387.490,371.030,300
Jun-30-2020,384.000,371.010,379.000,384.000,371.010,300
Jun-29-2020,379.000,379.000,380.010,379.000,379.000,300
Jun-26-2020,380.010,389.990,375.010,389.990,380.010,300
Jun-24-2020,375.010,375.010,384.000,375.010,375.010,100
Jun-22-2020,384.000,370.010,385.000,384.000,370.010,900
Jun-18-2020,385.000,387.000,387.000,387.000,371.000,1100
Jun-16-2020,387.000,394.460,394.460,394.460,387.000,200
Jun-15-2020,394.460,395.490,392.500,395.490,373.010,1200
Jun-12-2020,392.500,392.500,392.500,392.500,392.500,100
Jun-11-2020,401.000,399.000,396.870,401.000,399.000,1400
Jun-10-2020,396.870,395.000,395.400,399.990,394.100,1700
Jun-09-2020,395.400,391.990,390.000,399.000,390.000,1200
Jun-08-2020,390.000,388.000,388.000,390.000,388.000,500
Jun-04-2020,388.000,390.010,386.300,390.010,388.000,300
Jun-03-2020,386.300,386.300,402.000,386.300,386.300,200
Jun-02-2020,402.000,385.010,382.500,405.000,385.010,2000
Jun-01-2020,382.500,380.000,365.000,385.000,380.000,300
May-29-2020,365.000,360.000,340.000,365.000,360.000,1000
May-21-2020,340.000,340.000,363.000,340.000,340.000,100
May-14-2020,363.000,363.000,363.000,363.000,363.000,100
May-07-2020,363.000,360.000,350.000,369.000,360.000,300
May-04-2020,350.000,350.000,372.000,350.000,350.000,100
Apr-24-2020,372.000,372.000,370.000,372.000,372.000,100
Apr-17-2020,370.000,370.000,350.000,370.000,370.000,2200
Apr-15-2020,350.000,350.000,351.000,350.000,350.000,200
Apr-13-2020,351.000,351.000,374.990,351.000,351.000,100
Apr-09-2020,374.990,374.990,360.550,374.990,374.990,100
Apr-08-2020,360.550,377.000,378.000,377.000,360.100,300
Apr-02-2020,378.000,378.000,369.000,378.000,378.000,25200
Apr-01-2020,369.000,369.000,370.000,369.000,369.000,100
Mar-31-2020,370.000,369.990,355.000,370.000,369.990,200
Mar-30-2020,355.000,0.000,355.000,350.000,350.000,200
Mar-27-2020,355.000,355.000,335.750,355.000,355.000,200
Mar-26-2020,335.750,325.000,320.000,344.000,325.000,700
Mar-20-2020,320.000,335.000,335.000,335.000,320.000,600
Mar-19-2020,335.000,335.000,360.000,341.000,334.000,3000
Mar-16-2020,360.000,380.000,360.000,380.000,360.000,1400
Mar-13-2020,360.000,360.000,360.000,360.000,360.000,100
