Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,36.950,36.530,36.530,37.340,36.100,956450
Aug-20-2020,36.530,37.000,36.900,37.000,36.400,179590
Aug-19-2020,36.900,37.120,37.210,37.380,36.700,1382702
Aug-18-2020,37.210,37.790,37.510,37.850,37.100,445377
Aug-13-2020,38.250,38.460,38.560,38.550,37.880,1084042
Aug-12-2020,38.560,38.400,38.670,39.400,38.210,2839141
Aug-11-2020,38.670,39.000,38.770,39.900,38.250,12524035
Aug-10-2020,38.770,37.990,38.100,39.000,37.980,6532790
Aug-07-2020,38.100,37.650,37.740,38.750,37.450,5431278
Aug-06-2020,37.740,37.500,37.330,37.950,37.000,1724656
Aug-05-2020,37.330,37.400,37.400,37.500,36.800,1608615
Aug-04-2020,37.400,38.010,38.150,38.750,37.000,6750786
Aug-03-2020,38.150,37.300,37.270,38.800,37.260,6738098
Jul-30-2020,37.270,37.550,37.550,37.940,37.110,2184112
Jul-29-2020,37.550,37.990,37.880,38.700,37.150,4394553
Jul-28-2020,37.880,37.670,37.330,38.390,37.110,13656179
Jul-27-2020,37.330,37.170,37.260,38.510,36.800,7901342
Jul-24-2020,37.260,35.990,35.890,37.950,35.350,3627877
Jul-23-2020,35.890,36.000,36.130,36.900,35.750,1129745
Jul-22-2020,36.130,36.120,36.550,37.750,35.800,3628865
Jul-21-2020,36.550,36.350,36.210,36.990,35.570,2201361
Jul-20-2020,36.210,35.940,35.420,36.700,35.200,5279676
Jul-17-2020,35.420,35.570,35.300,35.570,35.000,882994
Jul-16-2020,35.300,35.750,35.820,35.750,35.170,651015
Jul-15-2020,35.820,35.110,35.430,35.990,35.000,739600
Jul-14-2020,35.430,35.970,35.980,36.000,35.260,653460
Jul-13-2020,35.980,36.100,36.220,36.450,35.510,2934039
Jul-10-2020,36.220,36.350,36.520,37.990,35.900,2787778
Jul-09-2020,36.520,34.770,34.540,37.130,34.150,12840287
Jul-08-2020,34.540,34.500,34.350,34.950,33.820,3083350
Jul-07-2020,34.350,33.200,33.070,34.770,33.100,1698919
Jul-06-2020,33.070,33.750,33.530,33.750,33.000,687824
Jul-03-2020,33.530,32.360,32.600,34.950,32.360,714342
Jul-02-2020,32.600,32.940,32.520,33.250,32.500,1228363
Jul-01-2020,32.520,33.250,33.570,33.600,32.400,1316660
Jun-30-2020,33.570,33.600,33.250,34.000,32.800,1942607
Jun-29-2020,33.250,31.520,32.020,33.950,31.520,904324
Jun-26-2020,32.020,32.900,33.290,32.900,31.900,579376
Jun-25-2020,33.290,33.890,33.710,34.000,33.100,928686
Jun-24-2020,33.710,33.650,34.030,34.330,33.500,793230
Jun-23-2020,34.030,33.650,33.660,34.420,33.520,395976
Jun-22-2020,33.660,34.300,33.890,35.000,33.200,1244003
Jun-19-2020,33.890,33.250,33.100,34.250,32.710,5760737
Jun-18-2020,33.100,33.140,33.150,33.490,32.240,934015
Jun-17-2020,33.150,33.200,32.710,34.500,32.700,1340712
Jun-16-2020,32.710,33.300,33.220,33.650,32.500,1003767
Jun-15-2020,33.220,34.000,33.820,34.000,32.750,267797
Jun-12-2020,33.820,33.500,34.160,33.970,32.630,327735
Jun-11-2020,34.160,34.850,34.420,35.240,33.260,1719550
Jun-10-2020,34.420,32.490,32.080,34.480,31.560,3808295
Jun-09-2020,32.080,31.500,31.780,32.450,31.450,533415
Jun-08-2020,31.780,32.000,31.710,32.000,31.500,377406
Jun-05-2020,31.710,31.560,32.050,32.200,31.560,118007
Jun-04-2020,32.050,32.220,32.220,32.250,31.210,824808
Jun-03-2020,32.220,31.900,31.250,33.250,31.900,3834396
Jun-02-2020,31.250,29.270,29.070,31.250,28.930,5811653
Jun-01-2020,29.070,29.000,28.790,29.740,28.800,1666769
May-29-2020,28.790,28.980,28.550,29.000,28.260,555516
May-28-2020,28.550,29.680,29.380,29.680,28.480,407501
May-21-2020,29.380,29.500,29.490,29.700,29.300,647673
May-20-2020,29.490,29.990,29.530,30.000,29.400,894739
May-19-2020,29.530,30.400,29.670,30.400,29.450,1703541
May-18-2020,29.670,30.000,29.960,31.900,29.550,891172
May-15-2020,29.960,30.000,30.250,30.250,29.870,972782
May-14-2020,30.250,30.300,30.460,30.830,30.000,382119
May-13-2020,30.460,30.050,30.220,30.890,30.050,565737
May-12-2020,30.220,30.400,30.190,30.400,29.850,929424
May-11-2020,30.190,30.400,30.390,30.690,30.000,499419
May-08-2020,30.390,30.750,30.320,31.600,30.120,991146
May-07-2020,30.320,30.400,30.250,31.880,29.900,3286133
May-06-2020,30.250,30.000,29.850,30.390,29.700,1034275
May-05-2020,29.850,30.240,29.840,30.300,29.550,808995
May-04-2020,29.840,30.250,30.130,30.250,29.740,687431
Apr-30-2020,30.130,30.050,29.890,30.590,29.900,1677027
Apr-29-2020,29.890,30.490,29.980,30.800,29.700,1412797
Apr-28-2020,29.980,31.750,31.460,31.900,29.750,2933511
Apr-27-2020,31.460,32.440,32.500,32.500,30.500,1401217
Apr-24-2020,32.500,32.970,32.940,33.200,32.210,421127
Apr-23-2020,32.940,33.750,33.820,33.750,32.250,1346514
Apr-22-2020,33.820,34.450,34.520,34.890,33.350,1292334
Apr-21-2020,34.520,35.800,35.560,36.390,34.300,1652292
Apr-20-2020,35.560,35.600,35.560,36.000,34.010,2178888
Apr-17-2020,35.560,33.640,35.940,37.350,33.250,3464883
Apr-16-2020,35.940,36.490,36.460,36.500,35.700,263184
Apr-15-2020,36.460,38.000,37.500,38.900,36.110,1342551
Apr-14-2020,37.500,38.490,37.670,38.500,37.300,1277366
Apr-13-2020,37.670,40.000,39.090,41.000,37.250,409621
Apr-10-2020,39.090,36.490,36.940,39.710,36.000,580796
Apr-09-2020,36.940,35.900,35.230,37.750,35.900,369272
Apr-08-2020,35.230,38.490,37.090,38.490,34.750,2165445
Apr-07-2020,37.090,35.010,34.520,37.100,34.950,1154664
Apr-06-2020,34.520,35.800,35.780,36.000,34.050,766562
Apr-03-2020,35.780,34.020,33.750,36.280,34.020,1412780
Apr-02-2020,33.750,32.480,32.020,33.900,31.700,531583
Apr-01-2020,32.020,32.500,31.810,34.000,31.800,1059762
Mar-31-2020,31.810,30.000,30.080,32.300,30.000,658832
Mar-30-2020,30.080,32.490,30.730,32.490,29.610,570194
Mar-27-2020,30.730,30.690,29.990,32.230,29.000,1403061
Mar-26-2020,29.990,30.000,29.570,30.750,29.650,551375
Mar-25-2020,29.570,29.570,31.960,29.570,29.570,1350219
Mar-24-2020,31.960,31.960,34.550,31.960,31.960,235574
Mar-20-2020,34.550,33.590,32.540,34.980,32.530,1741500
Mar-19-2020,32.540,29.820,32.230,33.500,29.820,3370000
