Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,86.980,85.000,85.130,88.400,85.000,1598000
Aug-20-2020,85.130,83.500,82.330,86.950,82.100,913500
Aug-19-2020,82.330,83.500,83.770,84.000,82.060,186000
Aug-18-2020,83.770,79.750,79.190,84.970,79.000,664000
Aug-13-2020,78.870,77.990,78.010,79.010,77.000,499500
Aug-12-2020,78.010,79.010,79.070,79.750,77.750,266500
Aug-11-2020,79.070,78.110,78.710,80.800,78.110,301000
Aug-10-2020,78.710,78.050,78.800,80.900,77.810,330000
Aug-07-2020,78.800,77.500,78.070,81.400,77.500,516000
Aug-06-2020,78.070,81.750,80.010,81.750,77.500,280500
Aug-05-2020,80.010,80.990,80.400,80.990,79.600,270500
Aug-04-2020,80.400,82.750,82.990,82.750,80.010,309000
Aug-03-2020,82.990,83.500,82.800,84.490,82.000,318500
Jul-30-2020,82.800,82.800,82.800,83.500,82.080,203500
Jul-29-2020,82.800,82.500,82.190,85.490,82.500,1024000
Jul-28-2020,82.190,82.100,82.310,83.290,82.000,335000
Jul-27-2020,82.310,80.500,81.390,83.900,80.000,875500
Jul-24-2020,81.390,81.940,81.060,82.820,79.210,158000
Jul-23-2020,81.060,82.020,83.130,83.000,80.230,287500
Jul-22-2020,83.130,81.500,81.710,85.750,81.500,1553000
Jul-21-2020,81.710,82.000,81.750,82.500,80.250,735000
Jul-20-2020,81.750,77.010,77.580,83.390,77.010,937500
Jul-17-2020,77.580,77.000,76.490,79.400,77.000,314500
Jul-16-2020,76.490,77.000,76.120,77.600,76.000,174000
Jul-15-2020,76.120,73.900,74.010,78.000,73.150,552000
Jul-14-2020,74.010,71.060,72.290,74.750,71.060,448000
Jul-13-2020,72.290,72.550,72.620,74.000,72.170,208500
Jul-10-2020,72.620,73.000,73.620,73.390,72.000,65000
Jul-09-2020,73.620,72.000,71.110,74.660,72.000,490500
Jul-08-2020,71.110,70.070,69.990,71.850,69.990,94000
Jul-07-2020,69.990,71.490,71.010,71.980,69.650,193500
Jul-06-2020,71.010,71.000,71.570,71.750,70.500,115000
Jul-03-2020,71.570,72.500,72.260,72.500,71.500,25500
Jul-02-2020,72.260,73.000,72.900,73.000,72.110,215500
Jul-01-2020,72.900,71.570,71.570,73.000,71.270,122000
Jun-30-2020,71.570,70.750,70.450,72.880,70.500,548500
Jun-29-2020,70.450,68.000,69.710,70.500,68.000,69500
Jun-26-2020,69.710,69.500,68.180,71.200,69.200,340000
Jun-25-2020,68.180,68.020,68.450,70.000,67.500,168000
Jun-24-2020,68.450,70.700,69.830,70.700,68.000,591500
Jun-23-2020,69.830,69.950,69.500,71.500,68.500,517500
Jun-22-2020,69.500,71.000,71.100,71.500,69.010,467000
Jun-19-2020,71.100,68.650,69.420,72.000,68.650,492500
Jun-18-2020,69.420,70.000,70.030,72.000,68.160,584000
Jun-17-2020,70.030,73.440,70.690,75.990,68.250,1502500
Jun-16-2020,70.690,66.480,65.760,70.690,65.000,650000
Jun-15-2020,65.760,64.250,63.000,67.000,63.500,1482500
Jun-12-2020,63.000,62.550,63.810,63.500,62.250,93000
Jun-11-2020,63.810,63.900,63.150,64.250,63.500,91000
Jun-10-2020,63.150,63.950,63.940,64.100,63.060,28000
Jun-09-2020,63.940,63.220,63.890,64.000,62.600,103500
Jun-08-2020,63.890,64.500,63.950,65.500,63.110,167000
Jun-05-2020,63.950,62.600,62.750,64.750,60.500,283000
Jun-04-2020,62.750,63.510,64.060,63.900,62.600,16000
