Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,132.240,132.000,133.600,133.990,129.310,1128500
Aug-20-2020,133.600,138.000,138.770,139.000,132.300,1138000
Aug-19-2020,138.770,142.000,139.620,143.000,138.000,1932500
Aug-18-2020,139.620,130.500,129.880,139.620,130.050,3781000
Aug-13-2020,131.890,127.020,127.770,132.800,125.330,960500
Aug-12-2020,127.770,130.980,130.670,132.000,127.110,730000
Aug-11-2020,130.670,129.030,128.020,133.900,127.300,1041500
Aug-10-2020,128.020,133.500,133.490,135.700,127.000,1585000
Aug-07-2020,133.490,136.900,136.120,137.000,133.000,1119000
Aug-06-2020,136.120,136.510,135.040,140.010,134.600,2482500
Aug-05-2020,135.040,125.200,125.840,135.270,124.500,2797000
Aug-04-2020,125.840,130.010,128.940,134.500,124.000,2580500
Aug-03-2020,128.940,121.890,119.950,128.940,121.500,2162000
Jul-30-2020,119.950,117.250,116.890,120.590,116.360,1149000
Jul-29-2020,116.890,112.990,111.940,120.000,111.150,2411500
Jul-28-2020,111.940,110.750,108.940,112.990,110.000,1363000
Jul-27-2020,108.940,106.480,106.050,109.990,105.520,927500
Jul-24-2020,106.050,107.000,107.830,109.000,105.530,1113500
Jul-23-2020,107.830,111.850,110.900,112.000,107.120,817000
Jul-22-2020,110.900,108.900,108.530,114.250,107.000,2847500
Jul-21-2020,108.530,113.980,114.200,115.300,107.500,1961500
Jul-20-2020,114.200,115.700,114.570,116.500,113.750,844000
Jul-17-2020,114.570,113.010,113.690,115.450,112.700,741000
Jul-16-2020,113.690,117.000,115.520,118.510,111.500,1828500
Jul-15-2020,115.520,116.900,116.750,117.750,114.510,1173000
Jul-14-2020,116.750,116.000,113.790,121.500,115.250,1925500
Jul-13-2020,113.790,107.250,105.860,113.790,107.250,1716500
Jul-10-2020,105.860,104.370,104.370,106.500,102.900,795500
Jul-09-2020,104.370,102.300,101.230,105.050,102.300,1697500
Jul-08-2020,101.230,99.100,98.390,102.000,97.300,1913000
Jul-07-2020,98.390,96.970,95.210,99.100,96.970,1275500
Jul-06-2020,95.210,90.150,91.880,95.980,90.150,1316000
Jul-03-2020,91.880,93.000,92.910,93.000,91.110,323000
Jul-02-2020,92.910,93.050,92.140,93.800,91.500,2113000
Jul-01-2020,92.140,86.980,87.170,92.790,86.980,3038500
Jun-30-2020,87.170,86.060,87.680,88.990,86.060,842500
Jun-29-2020,87.680,87.700,88.240,88.980,85.550,462500
Jun-26-2020,88.240,88.980,84.940,89.000,86.500,1438500
Jun-25-2020,84.940,84.010,84.830,86.300,84.000,624500
Jun-24-2020,84.830,85.000,85.460,85.900,84.530,272000
Jun-23-2020,85.460,85.250,83.660,85.650,84.500,367500
Jun-22-2020,83.660,85.440,84.480,85.440,81.990,576000
Jun-19-2020,84.480,85.350,85.230,85.510,84.000,249500
Jun-18-2020,85.230,86.000,85.530,86.450,84.500,884000
Jun-17-2020,85.530,87.460,87.460,88.390,85.010,533500
Jun-16-2020,87.460,86.980,86.070,88.600,86.500,867500
Jun-15-2020,86.070,88.000,88.500,88.390,85.000,639000
Jun-12-2020,88.500,87.800,88.190,89.200,84.000,632500
Jun-11-2020,88.190,87.990,87.280,88.600,86.520,501000
Jun-10-2020,87.280,88.000,87.950,88.490,86.210,490000
Jun-09-2020,87.950,89.000,88.610,89.040,87.500,807500
Jun-08-2020,88.610,87.800,86.610,89.500,87.110,1527500
Jun-05-2020,86.610,84.300,84.750,87.150,84.250,717500
Jun-04-2020,84.750,84.700,86.080,86.500,84.500,279000
Jun-03-2020,86.080,87.000,86.590,87.300,85.750,485000
Jun-02-2020,86.590,85.580,85.580,88.290,85.000,945500
Jun-01-2020,85.580,87.050,87.020,87.400,85.010,652000
May-29-2020,87.020,86.700,86.200,88.300,86.100,1375000
May-28-2020,86.200,84.600,84.850,86.850,83.700,1341500
May-21-2020,84.850,85.960,85.170,86.400,84.000,1132000
May-20-2020,85.170,86.060,86.870,86.870,84.060,5219500
May-19-2020,86.870,89.400,90.270,90.700,86.500,2579500
May-18-2020,90.270,96.000,93.110,96.000,89.500,2895000
May-15-2020,93.110,87.600,87.460,93.700,87.500,2736000
May-14-2020,87.460,89.000,87.950,89.340,87.000,913000
May-13-2020,87.950,87.000,86.080,89.690,85.000,2818500
May-12-2020,86.080,84.890,80.500,86.530,84.000,2453000
May-11-2020,80.500,80.990,80.490,81.100,78.550,652000
May-08-2020,80.490,81.850,80.380,82.200,80.300,789500
May-07-2020,80.380,80.600,81.740,85.000,79.250,2745500
May-06-2020,81.740,84.500,85.260,84.500,81.400,1492000
May-05-2020,85.260,90.500,88.950,91.000,83.500,2171000
May-04-2020,88.950,90.800,92.050,92.050,88.310,2167500
Apr-30-2020,92.050,90.490,89.680,93.750,89.400,2165500
Apr-29-2020,89.680,88.550,88.430,92.000,88.550,2108000
Apr-28-2020,88.430,84.400,84.380,90.700,84.300,2858000
Apr-27-2020,84.380,81.000,86.030,85.730,79.580,2764500
Apr-24-2020,86.030,87.450,89.410,88.800,85.510,1508000
Apr-23-2020,89.410,97.000,95.910,97.500,88.850,4611000
Apr-22-2020,95.910,94.640,91.990,98.500,93.000,4998500
Apr-21-2020,91.990,85.000,86.880,93.390,83.020,10215000
Apr-20-2020,86.880,86.880,80.820,86.880,86.880,889000
Apr-17-2020,80.820,80.820,75.190,80.820,80.820,381000
Apr-16-2020,75.190,74.200,74.420,76.500,72.010,1972000
Apr-15-2020,74.420,75.030,73.120,78.000,73.550,3009000
Apr-14-2020,73.120,71.000,71.410,73.980,71.000,2040500
Apr-13-2020,71.410,75.050,75.720,75.050,70.560,1575500
Apr-10-2020,75.720,74.600,74.410,76.400,74.000,2390500
Apr-09-2020,74.410,71.100,69.220,74.410,71.100,2473000
Apr-08-2020,69.220,70.000,69.550,71.650,68.120,2271000
Apr-07-2020,69.550,65.000,65.210,70.100,65.000,2126000
Apr-06-2020,65.210,72.120,67.090,72.120,63.920,2807500
