Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,292.570,290.900,290.900,293.670,287.000,697306
Aug-20-2020,290.900,295.100,294.490,295.900,290.000,670649
Aug-19-2020,294.490,290.050,289.200,298.500,286.000,1615869
Aug-18-2020,289.200,294.990,290.710,296.000,288.020,1350375
Aug-13-2020,307.110,313.980,313.310,315.000,304.150,1077986
Aug-12-2020,313.310,315.880,314.880,319.800,311.700,462121
Aug-11-2020,314.880,314.980,311.940,316.500,311.900,683698
Aug-10-2020,311.940,314.020,313.920,314.020,310.010,551373
Aug-07-2020,313.920,316.000,314.770,319.900,313.000,496961
Aug-06-2020,314.770,320.000,316.980,320.000,314.000,804685
Aug-05-2020,316.980,318.010,319.200,320.000,315.150,770035
Aug-04-2020,319.200,317.500,317.460,326.010,317.250,1871924
Aug-03-2020,317.460,314.000,313.340,319.890,314.000,1267545
Jul-30-2020,313.340,310.980,309.790,315.500,310.000,841173
Jul-29-2020,309.790,309.100,308.360,312.500,307.550,929026
Jul-28-2020,308.360,309.500,307.960,310.970,307.050,1111912
Jul-27-2020,307.960,306.900,306.090,310.050,305.150,686972
Jul-24-2020,306.090,306.020,306.580,307.800,304.400,229976
Jul-23-2020,306.580,309.490,308.760,310.980,305.510,634258
Jul-22-2020,308.760,312.000,311.050,316.000,307.000,1119919
Jul-21-2020,311.050,306.990,305.890,315.500,303.510,2910655
Jul-20-2020,305.890,308.000,307.530,312.000,305.000,1245362
Jul-17-2020,307.530,302.980,300.760,309.700,301.000,1885907
Jul-16-2020,300.760,300.500,300.730,302.500,299.050,921731
Jul-15-2020,300.730,304.980,301.920,306.740,299.010,1606793
Jul-14-2020,301.920,301.010,301.230,304.900,299.090,1628923
Jul-13-2020,301.230,302.000,300.900,302.750,299.020,713318
Jul-10-2020,300.900,298.290,298.780,301.700,296.100,713250
Jul-09-2020,298.780,296.950,295.080,301.880,295.500,753650
Jul-08-2020,295.080,295.940,295.940,298.250,294.510,492114
Jul-07-2020,295.940,299.870,298.160,302.650,295.150,684224
Jul-06-2020,298.160,298.990,298.160,301.000,297.250,218546
Jul-03-2020,298.160,298.700,299.090,299.000,295.300,149100
Jul-02-2020,299.090,299.990,298.290,301.750,297.000,694803
Jul-01-2020,298.290,293.240,292.920,299.510,292.000,813531
Jun-30-2020,292.920,292.900,292.120,294.740,289.990,411015
Jun-29-2020,292.120,291.020,291.710,292.750,288.000,337669
Jun-26-2020,291.710,289.000,286.070,292.500,285.510,673229
Jun-25-2020,286.070,286.900,287.540,289.000,284.150,342641
Jun-24-2020,287.540,285.600,283.760,289.490,283.110,487463
Jun-23-2020,283.760,285.980,285.110,287.000,282.300,300708
Jun-22-2020,285.110,278.000,277.200,286.450,275.500,391729
Jun-19-2020,277.200,278.060,278.270,280.500,276.000,310532
Jun-18-2020,278.270,279.000,279.940,281.000,276.500,457513
Jun-17-2020,279.940,284.000,283.630,287.000,278.250,304766
Jun-16-2020,283.630,282.330,281.860,284.980,279.250,312503
Jun-15-2020,281.860,286.000,287.720,286.900,281.250,349644
Jun-12-2020,287.720,289.000,290.770,290.950,286.990,365538
Jun-11-2020,290.770,290.000,287.950,293.880,288.050,894492
Jun-10-2020,287.950,287.020,287.920,290.000,285.500,530872
Jun-09-2020,287.920,289.500,289.410,289.500,287.490,450506
Jun-08-2020,289.410,290.510,287.320,291.890,288.500,677610
Jun-05-2020,293.320,288.000,287.510,294.250,287.030,542348
Jun-04-2020,287.510,288.300,288.720,290.000,287.000,294613
Jun-03-2020,288.720,294.000,291.620,294.000,287.250,573471
Jun-02-2020,291.620,290.400,290.990,297.390,290.400,853789
Jun-01-2020,290.990,291.660,291.660,292.000,285.500,612486
May-29-2020,291.660,296.000,296.440,298.400,290.000,812635
May-28-2020,296.440,299.000,298.730,299.000,295.250,290269
May-21-2020,298.730,300.000,298.080,301.000,296.500,121105
May-20-2020,298.080,302.200,302.180,302.200,296.800,263606
May-19-2020,302.180,306.480,304.010,306.480,301.000,257697
May-18-2020,304.010,308.500,306.170,308.500,301.200,310784
May-15-2020,306.170,305.970,305.970,307.000,304.000,197943
May-14-2020,305.970,311.000,305.370,316.000,305.000,837366
May-13-2020,305.370,306.840,307.870,307.070,304.500,190591
May-12-2020,307.870,304.010,303.400,308.570,304.010,434139
May-11-2020,303.400,305.000,303.730,305.000,300.150,143104
May-08-2020,303.730,306.250,305.230,307.170,303.250,271914
May-07-2020,305.230,307.050,306.560,311.000,304.510,538686
May-06-2020,306.560,307.010,308.390,309.000,305.750,284960
May-05-2020,308.390,308.500,303.600,310.000,304.500,1014996
May-04-2020,303.600,304.000,307.740,307.000,301.000,356186
Apr-30-2020,307.740,305.000,302.040,309.990,303.010,921789
Apr-29-2020,302.040,301.250,300.990,310.850,300.750,731826
Apr-28-2020,300.990,296.000,295.770,302.000,295.000,383711
Apr-27-2020,295.770,302.500,300.230,302.500,292.000,307180
Apr-24-2020,300.230,305.000,301.640,306.000,299.250,231388
Apr-23-2020,301.640,301.000,295.160,306.000,299.000,818681
Apr-22-2020,295.160,297.000,298.260,301.900,290.110,474246
Apr-21-2020,298.260,311.000,316.730,313.990,295.000,1249246
Apr-20-2020,316.730,316.730,294.640,316.730,307.000,2418246
Apr-17-2020,294.640,294.640,274.090,294.640,294.000,504133
Apr-16-2020,274.090,274.000,273.410,279.900,272.070,668850
