Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,109.300,109.020,109.220,110.000,108.500,895692
Aug-20-2020,109.220,108.500,108.590,110.500,108.020,1913301
Aug-19-2020,108.590,108.500,108.010,108.990,104.000,2443078
Aug-18-2020,108.010,108.020,107.740,108.890,107.710,696299
Aug-13-2020,107.310,114.750,114.540,114.750,106.150,9844116
Aug-12-2020,114.540,113.000,110.610,118.190,113.000,6862850
Aug-11-2020,110.610,109.110,109.220,111.100,109.110,992173
Aug-10-2020,109.220,108.980,108.590,110.000,108.520,866264
Aug-07-2020,108.590,109.250,109.130,109.450,108.500,555024
Aug-06-2020,109.130,109.000,108.790,109.900,108.510,1283027
Aug-05-2020,108.790,109.500,109.620,109.960,108.600,898943
Aug-04-2020,109.620,111.000,110.970,111.000,109.350,1451731
Aug-03-2020,110.970,110.550,110.740,111.500,110.420,1773591
Jul-30-2020,110.740,110.150,110.520,111.000,110.000,865628
Jul-29-2020,110.520,111.550,111.760,112.000,110.250,1427692
Jul-28-2020,111.760,112.750,111.960,112.980,111.500,719509
Jul-27-2020,111.960,111.000,110.980,113.500,111.000,1305023
Jul-24-2020,110.980,111.030,111.020,111.550,110.750,305148
Jul-23-2020,111.020,111.010,110.940,111.970,111.000,992095
Jul-22-2020,110.940,110.800,111.090,111.200,110.010,772112
Jul-21-2020,111.090,111.250,111.240,111.250,110.500,949351
Jul-20-2020,111.240,111.600,111.600,112.000,110.510,1691163
Jul-17-2020,111.600,111.000,110.970,111.900,110.500,1090654
Jul-16-2020,110.970,111.150,111.140,111.500,110.650,719644
Jul-15-2020,111.140,111.500,111.770,111.750,110.860,776586
Jul-14-2020,111.770,111.030,111.320,112.000,110.710,545052
Jul-13-2020,111.320,110.800,110.520,111.720,110.150,426433
Jul-10-2020,110.520,110.510,110.710,110.950,110.400,185931
Jul-09-2020,110.710,111.000,110.890,111.000,109.900,653146
Jul-08-2020,110.890,111.100,110.970,111.900,110.500,613324
Jul-07-2020,110.970,110.150,110.970,112.100,110.150,502956
Jul-06-2020,110.970,112.150,112.140,112.150,110.000,331144
Jul-03-2020,112.140,110.650,110.570,112.500,109.250,539657
Jul-02-2020,110.570,111.000,111.390,112.500,110.010,278700
Jul-01-2020,111.390,110.010,109.990,111.990,110.000,1570707
Jun-30-2020,109.990,109.100,109.070,110.200,109.000,1785570
Jun-29-2020,109.070,109.480,109.440,109.500,107.760,737429
Jun-26-2020,109.440,106.320,105.780,109.550,106.320,2088168
Jun-25-2020,105.780,106.450,107.370,106.550,105.350,667658
Jun-24-2020,107.370,107.510,107.520,107.680,106.750,325704
Jun-23-2020,107.520,106.120,106.120,107.800,106.020,458209
Jun-22-2020,106.120,103.310,103.380,106.950,103.010,680838
Jun-19-2020,103.380,104.010,103.540,104.800,103.250,298296
Jun-18-2020,103.540,104.900,104.880,104.950,103.310,406734
Jun-17-2020,104.880,106.400,105.970,106.750,104.450,394024
Jun-16-2020,105.970,106.900,107.010,107.250,105.540,1684969
Jun-15-2020,107.010,107.500,107.750,107.700,106.560,512565
Jun-12-2020,107.750,107.990,107.480,108.000,106.500,377421
Jun-11-2020,109.980,108.540,108.390,110.150,108.500,704248
Jun-10-2020,108.390,108.460,108.270,108.500,108.000,625660
Jun-09-2020,108.270,108.240,108.030,108.570,107.900,614474
Jun-08-2020,108.030,108.270,108.270,108.730,107.800,414966
Jun-05-2020,108.270,108.490,108.230,108.500,108.100,235384
Jun-04-2020,108.230,108.250,107.880,108.750,107.900,441892
Jun-03-2020,107.880,108.050,108.050,108.550,105.150,505559
Jun-02-2020,108.050,109.000,109.160,109.100,107.260,860270
Jun-01-2020,109.160,109.200,109.520,109.400,108.700,194735
May-29-2020,109.520,108.700,108.660,110.500,108.000,1054462
May-28-2020,108.660,108.990,108.760,109.000,108.000,316524
May-21-2020,108.760,108.500,108.500,109.500,108.500,94892
May-20-2020,108.500,110.200,110.310,111.000,108.000,359212
May-19-2020,110.310,109.620,110.110,111.000,109.620,980115
May-18-2020,110.110,111.900,111.560,112.000,109.900,669083
May-15-2020,111.560,111.100,111.130,111.950,110.500,437104
May-14-2020,111.130,111.100,108.030,113.000,109.800,1267024
May-13-2020,108.030,107.950,107.690,108.480,107.600,74763
May-12-2020,107.690,107.920,107.200,108.000,107.000,113836
May-11-2020,107.200,106.940,106.940,107.980,106.300,176232
May-08-2020,106.940,107.600,107.420,107.600,106.360,248172
May-07-2020,107.420,107.920,107.920,107.920,107.000,353538
May-06-2020,107.920,109.000,109.050,109.250,107.700,759576
May-05-2020,109.050,110.000,110.950,110.180,108.500,892308
May-04-2020,110.950,112.400,111.790,112.400,109.330,2022054
Apr-30-2020,111.790,110.500,110.010,113.000,110.100,2317676
Apr-29-2020,110.010,107.800,107.070,111.000,107.050,3115669
Apr-28-2020,107.070,107.490,107.080,107.800,106.950,319604
Apr-27-2020,107.080,106.980,106.660,109.000,105.000,1188309
Apr-24-2020,106.660,105.000,104.990,107.250,104.900,630194
Apr-23-2020,104.990,105.310,105.310,105.500,104.500,1610004
Apr-22-2020,105.310,104.250,104.430,106.000,102.900,522555
Apr-21-2020,104.430,107.500,108.440,107.500,103.860,597579
Apr-20-2020,108.440,107.990,103.930,109.250,105.150,3799221
Apr-17-2020,103.930,102.000,96.680,103.930,102.000,835256
Apr-16-2020,96.680,95.400,95.440,97.500,95.400,544604
Apr-15-2020,95.440,95.250,94.530,97.000,95.250,684720
Apr-14-2020,94.530,94.200,94.150,94.900,93.910,239072
Apr-13-2020,94.150,94.510,95.710,95.260,94.000,818342
Apr-10-2020,95.710,95.470,94.560,95.990,93.030,178310
Apr-09-2020,94.560,92.390,91.360,94.800,92.020,2753281
Apr-08-2020,91.360,91.100,91.000,92.000,90.600,189332
Apr-07-2020,91.000,90.980,90.110,91.350,90.250,253887
Apr-06-2020,90.110,93.210,92.960,93.210,89.990,458744
Apr-03-2020,92.960,93.770,93.500,94.520,92.500,1731808
Apr-02-2020,93.500,93.500,94.060,94.000,91.910,1042124
Apr-01-2020,94.060,92.750,93.010,95.500,91.050,2011117
Mar-31-2020,93.010,91.950,91.000,93.480,90.000,785549
Mar-30-2020,91.000,86.580,88.580,91.750,86.000,840545
Mar-27-2020,88.580,85.760,85.750,89.480,84.750,1166111
Mar-26-2020,85.750,87.500,85.290,89.000,85.000,634023
Mar-25-2020,85.290,85.000,82.710,87.400,79.550,1136916
Mar-24-2020,82.710,82.710,89.410,83.760,82.710,1342228
Mar-20-2020,89.410,90.000,89.000,92.000,86.150,1211600
Mar-19-2020,89.000,77.500,83.100,89.330,77.110,2304100
Mar-18-2020,83.100,88.500,89.610,89.000,82.890,2325800
Mar-17-2020,89.610,88.000,88.790,93.000,88.000,1834300
Mar-16-2020,88.790,95.250,95.310,95.600,88.390,3148200
Mar-13-2020,95.310,95.250,96.360,97.500,92.990,1775600
Mar-12-2020,96.360,99.980,100.270,100.250,95.000,1880900
Mar-11-2020,100.270,101.020,101.400,102.500,100.250,510400
Mar-10-2020,101.400,99.000,98.740,101.700,98.770,875100
Mar-09-2020,98.740,98.000,100.940,100.000,93.880,4829600
Mar-06-2020,100.940,103.890,103.430,103.890,99.860,2608900
Mar-05-2020,106.680,104.750,104.210,107.000,104.750,1134500
Mar-04-2020,104.210,103.000,102.920,104.500,102.000,918300
Mar-03-2020,102.920,105.900,105.790,106.000,102.500,666900
Mar-02-2020,105.790,103.950,103.560,106.000,103.950,490700
Feb-28-2020,103.560,102.750,102.390,104.000,102.750,441800
Feb-27-2020,102.390,102.010,103.470,103.700,100.500,1358000
Feb-26-2020,103.470,104.500,104.210,104.500,103.010,900200
Feb-25-2020,104.210,104.990,105.030,105.850,104.000,819200
Feb-24-2020,105.030,106.990,107.010,106.990,104.250,1215900
Feb-21-2020,107.010,108.000,108.030,108.100,106.700,603000
Feb-20-2020,108.030,108.000,107.980,111.350,107.750,1874100
Feb-19-2020,107.980,106.600,106.640,108.250,106.600,1229300
Feb-18-2020,106.640,106.010,105.500,109.990,106.010,872200
Feb-17-2020,105.500,105.250,105.450,105.870,105.250,1666600
Feb-14-2020,105.450,105.490,105.340,105.750,105.100,149800
Feb-13-2020,105.340,105.500,105.510,105.740,105.000,1357500
Feb-12-2020,105.510,105.900,105.530,106.240,104.980,920700
Feb-11-2020,105.530,104.800,105.040,105.800,104.800,1239900
Feb-10-2020,105.040,105.920,105.710,106.500,104.500,3099500
Feb-07-2020,105.710,105.590,105.210,106.000,104.740,2114700
Feb-06-2020,105.210,105.000,104.550,106.000,104.800,1108300
Feb-04-2020,104.550,104.430,104.430,104.990,103.500,1223800
Feb-03-2020,104.430,104.700,105.140,105.500,103.750,3496900
Jan-31-2020,105.140,105.890,105.510,106.300,104.690,2159600
Jan-30-2020,105.510,105.990,105.550,107.750,104.810,1511700
Jan-29-2020,105.550,106.250,106.480,106.750,105.350,354000
Jan-28-2020,106.480,107.000,107.580,107.160,106.250,236900
Jan-27-2020,106.480,107.000,107.580,107.160,106.250,236900
Jan-24-2020,106.630,105.100,106.160,107.350,105.100,295800
Jan-23-2020,106.160,106.780,106.780,107.350,105.850,658300
Jan-22-2020,106.780,105.500,105.460,107.600,105.000,1208200
Jan-21-2020,105.460,106.400,106.640,106.400,105.000,592400
Jan-20-2020,106.640,103.490,103.000,107.730,102.650,4418500
Jan-17-2020,103.000,103.100,103.060,103.600,102.750,778600
Jan-16-2020,103.060,102.000,101.940,103.440,102.000,657000
Jan-15-2020,101.940,102.490,102.570,102.600,101.510,300600
Jan-14-2020,102.570,102.400,102.480,102.990,102.100,458400
Jan-13-2020,102.480,103.300,103.050,103.500,102.000,415500
Jan-10-2020,103.050,102.000,101.710,103.250,101.500,1071700
Jan-09-2020,101.710,100.900,98.880,102.000,99.800,1521300
Jan-08-2020,98.880,100.000,101.230,101.000,98.500,628800
Jan-07-2020,101.230,100.000,99.840,101.750,99.750,967800
Jan-06-2020,99.840,101.030,102.120,101.750,99.500,606800
Jan-03-2020,102.120,102.750,102.460,103.000,101.900,1294400
Jan-02-2020,102.460,103.000,102.350,103.700,101.650,654300
Jan-01-2020,102.350,101.750,101.470,102.890,101.600,877600
Dec-31-2019,101.470,99.250,99.280,101.750,99.000,801500
Dec-30-2019,99.280,101.750,101.040,101.980,99.000,937500
Dec-27-2019,101.040,102.970,102.650,103.000,100.550,489500
Dec-26-2019,102.650,102.500,101.930,103.000,102.000,426000
Dec-24-2019,101.930,102.000,101.850,102.500,100.510,449500
Dec-23-2019,101.850,103.100,103.090,103.100,101.500,745500
Dec-20-2019,103.090,102.250,101.930,104.000,102.200,1030000
Dec-19-2019,101.930,103.850,103.550,104.320,101.010,936500
Dec-18-2019,103.550,102.040,103.240,104.000,101.500,1231000
Dec-17-2019,103.240,106.000,106.320,106.500,101.010,3153500
Dec-16-2019,106.320,105.480,105.290,106.500,105.000,525000
Dec-13-2019,105.290,106.500,105.870,106.500,104.500,624000
Dec-12-2019,105.870,105.750,105.710,105.980,105.000,504500
Dec-11-2019,105.710,105.000,104.840,106.000,104.610,939000
Dec-10-2019,104.840,104.800,104.940,105.490,104.390,498500
Dec-09-2019,104.940,105.000,104.710,106.400,104.750,1103500
Dec-06-2019,104.710,105.500,105.180,106.000,104.250,1278000
Dec-05-2019,105.180,105.000,104.640,106.250,104.610,2820000
Dec-04-2019,104.640,104.730,103.730,105.000,103.560,749000
Dec-03-2019,105.930,106.900,106.510,107.250,105.100,1260000
Dec-02-2019,106.510,106.700,106.370,107.850,105.300,2085000
Nov-29-2019,106.370,106.400,105.790,107.500,105.860,5764000
Nov-28-2019,105.790,104.650,104.590,106.890,104.000,6231500
Nov-27-2019,104.590,102.000,102.070,105.010,101.020,2614500
Nov-26-2019,102.070,103.010,102.950,103.480,100.000,1634000
Nov-25-2019,102.950,101.990,101.800,103.250,101.050,1581500
Nov-22-2019,101.800,98.700,98.300,102.060,98.250,2411000
Nov-21-2019,98.300,100.410,100.410,100.410,98.010,1133500
Nov-20-2019,100.410,99.000,98.880,102.500,97.250,7010500
Nov-19-2019,98.880,98.250,97.980,99.500,97.600,2654500
Nov-18-2019,97.980,96.000,95.760,98.250,96.000,1412000
Nov-15-2019,95.760,96.200,96.070,96.250,95.000,677500
Nov-14-2019,96.070,95.990,95.780,96.990,95.250,705000
Nov-13-2019,95.780,95.990,95.750,96.400,94.100,1178500
Nov-12-2019,95.750,98.440,98.000,98.490,95.510,1122500
Nov-11-2019,98.000,98.250,97.810,98.750,97.800,401000
Nov-08-2019,97.810,96.800,97.060,98.680,96.800,818500
Nov-07-2019,97.810,96.800,97.060,98.680,96.800,818500
Nov-06-2019,96.220,97.250,96.660,98.800,95.900,1584500
Nov-05-2019,96.660,97.750,97.490,98.010,96.500,264000
Nov-04-2019,97.490,94.850,94.610,97.890,94.400,1713000
Nov-01-2019,94.610,94.240,94.160,95.000,94.000,261500
Oct-30-2019,94.900,95.010,95.670,95.350,93.900,402000
Oct-29-2019,95.670,96.500,96.200,96.500,95.250,434500
Oct-28-2019,96.200,97.500,97.330,97.750,95.500,805500
Oct-25-2019,97.330,98.000,97.710,98.000,97.000,458000
Oct-24-2019,97.710,97.000,97.020,98.500,97.000,904500
Oct-23-2019,97.020,96.000,96.280,97.900,96.000,557000
Oct-22-2019,96.280,95.350,96.010,96.500,95.350,548500
Oct-21-2019,96.010,96.100,96.540,96.700,95.530,1279500
Oct-18-2019,96.540,95.500,95.850,96.750,93.550,699500
Oct-17-2019,95.850,96.030,96.200,96.300,95.750,289500
Oct-16-2019,96.200,95.250,95.250,96.500,95.250,878500
