Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,183.980,185.000,185.380,186.000,183.010,37700
Aug-06-2020,185.380,185.110,185.670,187.490,184.900,152800
Aug-05-2020,185.670,186.650,186.650,188.600,184.990,162500
Aug-04-2020,186.650,192.050,192.170,192.050,186.000,163700
Aug-03-2020,192.170,188.980,188.730,194.350,188.980,282300
Jul-30-2020,188.730,185.600,185.650,189.100,185.600,164000
Jul-29-2020,185.650,187.000,186.380,188.400,184.000,217800
Jul-28-2020,186.380,189.980,188.640,190.000,185.200,131300
Jul-27-2020,188.640,184.290,184.650,190.000,184.290,87900
Jul-24-2020,184.650,185.600,187.840,186.000,183.000,42200
Jul-23-2020,187.840,189.490,188.530,189.980,187.000,136700
Jul-22-2020,188.530,186.650,186.490,189.510,186.000,137900
Jul-21-2020,186.490,189.500,189.330,189.500,181.510,177500
Jul-20-2020,189.330,195.000,189.900,195.000,188.000,200000
Jul-17-2020,189.900,191.000,189.150,191.100,188.850,127900
Jul-16-2020,189.150,189.490,187.160,191.150,188.000,133400
Jul-15-2020,187.160,188.500,187.800,189.770,186.300,254900
Jul-14-2020,187.800,189.000,189.550,193.600,187.000,430400
Jul-13-2020,189.550,189.100,188.750,190.000,188.350,119600
Jul-10-2020,188.750,193.000,194.960,194.000,188.000,232500
Jul-09-2020,194.960,200.400,199.440,200.400,194.000,207600
Jul-08-2020,199.440,199.000,198.230,203.800,198.660,244100
Jul-07-2020,198.230,189.250,190.260,199.000,187.200,690800
Jul-06-2020,190.260,185.000,181.360,192.480,184.000,773900
Jul-03-2020,181.360,177.880,176.620,182.500,177.880,292400
Jul-02-2020,176.620,173.500,173.500,178.000,173.500,137000
Jul-01-2020,173.500,174.000,174.080,174.500,173.200,38500
Jun-30-2020,174.080,174.500,173.700,176.900,172.010,39100
Jun-29-2020,173.700,173.000,174.010,175.000,173.000,12100
Jun-26-2020,174.010,174.000,172.550,175.000,173.050,24000
Jun-25-2020,172.550,174.990,173.880,174.990,172.500,42500
Jun-24-2020,173.880,175.000,176.030,177.700,173.600,66900
Jun-23-2020,176.030,177.570,177.570,179.010,175.800,77100
Jun-22-2020,177.570,175.110,177.590,178.450,172.200,74500
Jun-19-2020,177.590,178.230,178.230,179.000,176.500,88400
Jun-18-2020,178.230,174.050,174.010,180.980,174.000,305400
Jun-17-2020,174.010,178.900,177.130,182.000,173.010,177700
Jun-16-2020,177.130,178.450,175.190,179.690,176.250,94800
Jun-15-2020,175.190,177.990,177.810,181.000,175.010,153700
Jun-12-2020,177.810,179.000,179.890,179.000,177.000,45200
Jun-11-2020,179.890,183.470,182.380,183.540,179.210,83400
Jun-10-2020,182.380,183.000,183.130,185.990,182.000,242400
