Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,34.580,34.500,34.330,34.750,34.030,106500
Aug-20-2020,34.330,34.250,34.770,34.700,34.010,34000
Aug-19-2020,34.770,35.250,35.000,35.250,34.500,122500
Aug-18-2020,35.000,35.960,35.500,35.960,35.000,7500
Aug-13-2020,35.960,34.900,35.510,36.000,34.900,12500
Aug-12-2020,35.510,36.000,35.930,36.300,35.510,22500
Aug-11-2020,35.930,35.510,35.890,36.000,35.200,72500
Aug-10-2020,35.890,36.100,36.080,36.400,35.500,67000
Aug-07-2020,36.080,35.260,36.000,37.890,35.260,16000
Aug-06-2020,36.000,36.000,36.000,36.000,36.000,1000
Aug-05-2020,36.000,36.000,36.100,36.490,35.660,11500
Aug-04-2020,36.100,36.840,35.850,37.000,35.400,176000
Aug-03-2020,35.850,35.750,35.520,36.000,35.110,72000
Jul-30-2020,35.520,34.600,34.150,36.000,34.000,272000
Jul-29-2020,34.150,34.020,34.020,34.250,34.000,114000
Jul-28-2020,34.020,34.440,33.030,34.440,33.650,146500
Jul-27-2020,33.030,32.110,32.610,33.100,32.100,113500
Jul-24-2020,32.610,32.990,32.500,33.000,32.600,24000
Jul-23-2020,32.500,32.900,32.770,32.980,32.400,69000
Jul-22-2020,32.770,32.950,32.500,33.000,32.510,44500
Jul-21-2020,32.500,32.600,32.500,33.000,32.150,65500
Jul-20-2020,32.500,32.000,31.800,32.500,31.720,152500
Jul-17-2020,31.800,31.750,31.750,32.000,31.510,164500
Jul-16-2020,31.750,31.990,31.990,32.000,31.700,142500
Jul-15-2020,31.990,32.250,32.540,32.250,31.760,213000
Jul-14-2020,32.540,32.150,32.350,33.000,32.000,542500
Jul-13-2020,32.350,32.000,31.850,32.350,32.000,207000
Jul-10-2020,31.850,32.000,32.000,32.270,31.550,6000
Jul-09-2020,32.000,32.460,32.460,32.940,32.000,37000
Jul-08-2020,32.460,32.750,33.010,32.750,32.360,23000
Jul-07-2020,33.010,32.710,33.610,33.500,32.600,282500
Jul-06-2020,33.610,34.210,34.210,34.490,33.400,73000
Jul-03-2020,34.210,32.200,32.080,34.480,32.200,1071500
Jul-02-2020,32.080,29.750,29.850,32.080,29.660,815500
Jul-01-2020,29.850,29.750,29.500,30.450,29.100,143500
Jun-30-2020,29.500,28.010,27.870,29.660,28.010,464000
Jun-29-2020,27.870,27.050,26.940,28.330,26.950,124500
Jun-26-2020,26.940,26.700,26.720,27.340,26.700,101000
Jun-25-2020,26.720,26.800,27.040,27.000,26.350,34500
Jun-24-2020,27.040,27.450,27.480,27.500,26.990,50500
Jun-23-2020,27.480,26.000,25.740,27.600,26.000,672000
Jun-22-2020,25.740,25.000,25.060,26.240,24.900,409000
Jun-19-2020,25.060,25.000,25.000,25.390,25.000,26500
Jun-18-2020,25.000,25.400,25.060,25.400,24.950,24000
Jun-17-2020,25.060,25.260,25.220,26.000,25.000,166500
Jun-16-2020,25.220,25.100,25.070,25.650,25.000,207000
Jun-15-2020,25.070,25.000,24.930,25.750,24.900,112000
Jun-12-2020,24.930,25.550,25.510,25.850,24.910,182500
Jun-11-2020,25.510,25.040,25.040,25.750,25.040,72000
Jun-10-2020,25.040,26.010,26.020,26.010,25.000,562500
Jun-09-2020,26.020,26.490,26.490,26.550,26.000,338000
Jun-08-2020,26.490,27.850,26.830,27.900,26.320,75000
Jun-05-2020,26.830,27.000,27.310,27.000,26.710,5000
Jun-04-2020,27.310,27.050,27.150,27.500,26.710,163000
Jun-03-2020,27.150,26.520,26.520,27.650,26.520,132500
Jun-02-2020,26.520,27.100,27.040,27.980,26.010,1182000
Jun-01-2020,27.040,26.950,26.700,27.400,26.500,127000
May-29-2020,26.700,24.750,24.840,26.700,24.750,473500
May-28-2020,24.840,25.500,25.390,26.000,24.530,103000
May-21-2020,25.390,25.000,25.040,25.450,25.000,45000
May-20-2020,25.040,25.300,25.020,25.300,24.700,102000
May-19-2020,25.020,25.350,24.680,25.350,25.010,41500
May-18-2020,24.680,25.550,25.530,25.600,24.550,219500
May-15-2020,25.530,25.680,25.500,25.680,25.450,29500
May-14-2020,25.500,25.450,25.000,25.740,25.400,38000
May-13-2020,25.000,25.900,25.900,25.900,25.000,252000
May-12-2020,25.900,26.440,26.000,26.440,25.570,150000
May-11-2020,26.000,25.010,25.140,26.300,25.000,702000
May-08-2020,25.140,25.010,25.000,25.250,25.000,24000
May-07-2020,25.000,25.050,25.050,25.200,25.000,53500
May-06-2020,25.050,25.200,25.100,25.450,25.000,118000
May-05-2020,25.100,26.490,25.950,26.490,25.000,203500
May-04-2020,25.950,25.550,25.570,25.990,25.500,70500
Apr-30-2020,25.570,27.750,27.580,27.750,25.520,643500
Apr-29-2020,27.580,28.080,27.700,28.080,27.500,41000
Apr-28-2020,27.700,26.260,26.830,27.720,26.260,4500
Apr-27-2020,26.830,28.010,29.000,28.010,26.830,197000
