Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,596.530,592.000,597.000,599.990,592.000,2000
Aug-20-2020,597.000,594.000,595.620,600.000,594.000,1900
Aug-19-2020,595.620,597.000,599.950,601.500,595.000,11500
Aug-18-2020,599.950,606.000,605.650,608.950,599.000,14450
Aug-13-2020,592.000,591.010,595.780,595.000,590.000,5550
Aug-12-2020,595.780,600.000,595.900,600.000,595.100,2200
Aug-11-2020,595.900,600.000,598.360,604.000,595.000,1850
Aug-10-2020,598.360,603.850,599.570,603.850,590.050,14600
Aug-07-2020,599.570,601.000,600.540,619.000,596.000,14950
Aug-06-2020,600.540,610.000,615.000,642.000,598.000,62050
Aug-05-2020,615.000,610.200,615.260,620.000,610.000,2150
Aug-04-2020,615.260,640.000,636.870,640.000,613.000,16650
Aug-03-2020,636.870,630.000,621.390,650.000,626.500,30700
Jul-30-2020,621.390,613.000,607.610,632.000,613.000,49150
Jul-29-2020,607.610,602.000,603.350,615.000,596.500,9900
Jul-28-2020,603.350,599.990,596.000,608.000,599.990,4650
Jul-27-2020,596.000,599.980,589.990,599.980,580.000,12350
Jul-24-2020,589.990,600.990,601.080,631.000,589.990,17350
Jul-23-2020,601.080,625.000,628.560,625.000,600.000,9200
Jul-22-2020,628.560,630.000,630.000,634.650,611.000,4850
Jul-21-2020,630.000,606.000,602.630,647.820,590.000,50300
Jul-20-2020,602.630,567.800,560.590,602.630,567.800,83000
Jul-17-2020,560.590,565.000,564.980,572.000,560.200,12550
Jul-16-2020,564.980,564.900,560.740,565.000,560.600,10000
Jul-15-2020,560.740,560.000,559.690,570.000,560.000,21500
Jul-14-2020,559.690,568.000,561.130,570.010,555.250,31350
Jul-13-2020,561.130,555.100,565.130,573.000,555.100,35100
Jul-10-2020,565.130,576.970,564.840,578.900,563.000,2450
Jul-09-2020,564.840,579.000,586.290,585.000,557.000,14200
Jul-08-2020,586.290,579.990,564.370,606.690,579.990,116150
Jul-07-2020,564.370,525.000,525.000,564.370,523.250,98350
Jul-06-2020,525.000,517.000,515.100,525.000,517.000,5050
Jul-03-2020,515.100,519.000,515.000,526.500,515.000,2850
Jul-02-2020,515.000,511.000,508.960,520.000,510.000,4200
Jul-01-2020,508.960,504.500,501.280,511.500,504.500,1050
Jun-30-2020,501.280,503.000,499.820,509.970,490.000,11300
Jun-29-2020,499.820,509.500,506.150,510.000,491.000,3850
Jun-26-2020,506.150,512.000,505.100,512.000,505.000,2300
Jun-25-2020,505.100,510.000,509.350,510.000,505.000,1250
Jun-24-2020,509.350,512.750,509.810,512.750,503.000,13050
Jun-23-2020,509.810,519.750,515.370,520.000,503.020,8450
Jun-22-2020,515.370,518.000,519.890,522.900,510.050,8500
Jun-19-2020,519.890,522.000,525.000,522.500,519.100,1000
Jun-18-2020,525.000,525.010,529.470,530.000,523.000,4800
Jun-17-2020,529.470,540.000,530.010,540.000,529.000,4550
Jun-16-2020,530.010,530.000,530.050,534.000,527.650,11500
Jun-15-2020,530.050,538.000,529.270,544.000,529.000,21550
Jun-12-2020,529.270,530.000,530.890,531.900,525.000,9600
Jun-11-2020,530.890,539.990,532.530,539.990,530.000,22600
Jun-10-2020,532.530,529.000,526.500,544.000,528.000,33050
Jun-09-2020,526.500,530.000,533.260,533.500,525.000,6950
Jun-08-2020,533.260,526.120,531.680,535.000,525.000,9800
Jun-05-2020,531.680,526.000,525.800,535.000,526.000,4650
Jun-04-2020,525.800,525.000,525.110,528.840,525.000,4650
Jun-03-2020,525.110,523.000,529.000,529.000,522.000,7150
Jun-02-2020,529.000,523.000,525.230,529.000,523.000,1300
Jun-01-2020,525.230,523.000,527.510,528.750,523.000,7250
May-29-2020,527.510,532.000,523.000,534.250,525.000,6550
May-28-2020,523.000,522.000,520.410,529.500,521.510,4800
May-21-2020,520.410,520.100,520.000,522.160,520.000,7550
May-20-2020,520.000,528.750,526.860,528.750,520.000,5350
May-19-2020,526.860,526.000,524.400,550.000,520.000,33700
May-18-2020,524.400,535.000,523.780,535.000,517.000,10700
May-15-2020,523.780,518.000,517.630,525.000,517.000,13400
May-14-2020,517.630,516.000,517.220,527.000,515.000,20150
May-13-2020,517.220,525.000,521.000,525.000,517.000,10450
May-12-2020,521.000,523.500,523.720,525.000,521.000,4050
May-11-2020,523.720,515.160,518.530,530.000,515.160,6050
May-08-2020,518.530,525.000,525.000,532.000,515.000,4050
May-07-2020,525.000,534.000,527.060,534.000,520.000,4000
May-06-2020,527.060,523.000,515.650,533.000,510.010,10000
May-05-2020,515.650,508.000,507.860,519.000,508.000,20300
May-04-2020,507.860,497.000,505.780,513.000,496.000,9100
Apr-30-2020,505.780,523.990,496.750,523.990,493.000,48750
Apr-29-2020,559.420,556.500,548.350,565.000,547.020,13900
Apr-28-2020,548.350,544.990,542.000,554.990,544.000,5400
Apr-27-2020,542.000,544.000,544.030,544.000,535.000,950
Apr-24-2020,544.030,543.990,535.570,548.000,542.000,4150
Apr-23-2020,535.570,530.000,524.000,539.000,522.000,8300
Apr-22-2020,524.000,505.500,517.440,532.000,502.000,13100
Apr-21-2020,517.440,529.950,533.820,533.800,515.000,5600
Apr-20-2020,533.820,535.000,512.450,545.000,505.000,25250
Apr-17-2020,512.450,472.000,476.700,512.450,472.000,35900
Apr-16-2020,476.700,479.980,473.050,479.980,475.000,2850
Apr-15-2020,473.050,472.000,472.000,479.000,471.000,12600
Apr-14-2020,472.000,479.000,470.000,480.000,470.750,17400
Apr-13-2020,470.000,475.000,480.270,479.900,469.150,8850
Apr-10-2020,480.270,489.010,489.010,494.000,479.500,15800
Apr-09-2020,489.010,483.900,480.000,499.000,483.900,5850
Apr-08-2020,480.000,478.000,478.290,484.000,478.000,350
Apr-07-2020,478.290,475.000,476.090,485.000,475.000,2000
Apr-06-2020,476.090,480.000,484.790,483.000,470.200,16400
Apr-03-2020,484.790,486.000,487.030,490.000,480.000,18350
Apr-02-2020,487.030,484.500,481.290,500.000,471.000,39100
Apr-01-2020,481.290,486.000,498.560,500.000,480.000,31050
Mar-31-2020,498.560,500.000,500.500,520.000,490.000,22100
Mar-30-2020,500.500,485.000,489.330,508.000,485.000,3750
Mar-27-2020,489.330,464.990,465.000,495.000,438.000,3550
Mar-26-2020,465.000,458.990,452.440,469.980,453.000,5100
Mar-25-2020,452.440,455.000,440.980,460.000,441.150,16250
Mar-24-2020,440.980,424.120,458.500,458.500,424.120,12300
