Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,367.800,366.000,361.550,375.000,359.000,956100
Aug-06-2020,361.550,345.000,343.320,364.980,345.000,970800
Aug-05-2020,343.320,329.980,328.320,352.000,311.000,1151100
Aug-04-2020,328.320,320.000,317.980,341.820,318.000,1097900
Aug-03-2020,317.980,302.250,300.870,322.000,297.500,1269300
Jul-30-2020,300.870,290.500,284.090,303.030,290.000,1212900
Jul-29-2020,284.090,266.000,264.270,284.090,260.200,1200400
Jul-28-2020,264.270,250.920,245.840,264.270,247.250,1328000
Jul-27-2020,245.840,244.900,244.190,249.990,240.500,760200
Jul-24-2020,244.190,241.000,240.650,254.000,236.010,1004100
Jul-23-2020,240.650,263.980,256.520,263.980,238.000,1032700
Jul-22-2020,256.520,239.900,238.630,256.520,239.900,786100
Jul-21-2020,238.630,240.870,240.870,241.750,235.100,287300
Jul-20-2020,240.870,238.100,236.290,243.200,238.100,325200
Jul-17-2020,236.290,241.000,241.070,243.900,233.050,437400
Jul-16-2020,241.070,236.500,235.040,245.500,236.500,816300
Jul-15-2020,235.040,228.000,228.750,237.980,227.440,421600
Jul-14-2020,228.750,237.000,232.420,237.900,227.000,673600
Jul-13-2020,232.420,218.390,217.320,233.610,218.390,1017100
Jul-10-2020,217.320,219.990,218.720,221.800,217.000,175200
Jul-09-2020,218.720,221.000,218.450,223.000,217.020,268200
Jul-08-2020,218.450,225.000,221.870,229.000,217.120,779400
Jul-07-2020,221.870,208.990,207.340,222.890,208.100,1136400
Jul-06-2020,207.340,195.510,198.590,210.010,195.500,773500
Jul-03-2020,198.590,196.100,197.270,199.000,195.950,32900
Jul-02-2020,197.270,199.000,197.060,200.000,196.520,186200
Jul-01-2020,198.060,192.990,193.680,199.600,192.990,214700
Jun-30-2020,193.680,205.990,205.320,205.990,192.500,452400
Jun-29-2020,205.320,191.500,192.460,206.890,191.500,585700
Jun-26-2020,192.460,196.900,193.000,197.500,191.510,89400
Jun-25-2020,193.000,193.000,195.870,195.500,192.000,76300
Jun-24-2020,195.870,196.400,197.040,198.000,193.500,84700
Jun-23-2020,197.040,191.000,189.460,198.000,189.530,163100
Jun-22-2020,189.460,186.050,186.880,191.000,182.000,72200
Jun-19-2020,186.880,187.800,187.780,188.800,186.000,40900
Jun-18-2020,187.780,189.000,189.000,192.000,187.000,64600
Jun-17-2020,189.000,186.980,186.680,196.900,186.010,254200
Jun-16-2020,186.680,182.000,183.530,187.270,182.000,120500
Jun-15-2020,183.530,195.000,198.070,195.000,183.220,291000
Jun-12-2020,198.070,200.400,199.240,202.000,196.000,186200
Jun-11-2020,199.240,195.250,194.090,201.000,193.000,305500
Jun-10-2020,194.090,197.500,198.110,197.500,193.000,170700
Jun-09-2020,198.110,196.120,193.300,203.900,194.500,735500
Jun-08-2020,193.300,188.740,186.440,195.000,188.000,576300
Jun-05-2020,186.440,187.250,188.810,188.480,185.010,126300
