Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,1372.630,1398.100,1393.150,1400.000,1370.000,4650
Aug-06-2020,1393.150,1390.000,1379.760,1400.000,1368.170,9150
Aug-05-2020,1379.760,1399.990,1400.580,1399.990,1376.010,4750
Aug-04-2020,1400.580,1448.000,1429.980,1448.000,1399.990,17100
Aug-03-2020,1429.980,1422.000,1422.370,1451.020,1399.500,34700
Jul-30-2020,1422.370,1325.000,1346.280,1435.000,1325.000,219250
Jul-29-2020,1346.280,1376.000,1348.800,1376.000,1342.000,11100
Jul-28-2020,1348.800,1331.000,1334.220,1360.000,1325.000,73050
Jul-27-2020,1334.220,1330.000,1323.690,1350.500,1330.000,26750
Jul-24-2020,1323.690,1318.000,1317.810,1350.000,1302.100,51850
Jul-23-2020,1317.810,1288.000,1288.060,1335.000,1288.000,72900
Jul-22-2020,1288.060,1313.990,1301.620,1315.000,1275.000,59750
Jul-21-2020,1301.620,1330.000,1369.250,1333.000,1290.000,41550
Jul-20-2020,1369.250,1355.110,1349.070,1376.990,1353.600,42200
Jul-17-2020,1349.070,1305.000,1307.860,1400.000,1305.000,57200
Jul-16-2020,1307.860,1299.990,1256.470,1324.000,1270.000,38000
Jul-15-2020,1256.470,1225.000,1220.510,1287.000,1225.000,39600
Jul-14-2020,1220.510,1220.000,1191.140,1250.000,1186.000,36600
Jul-13-2020,1191.140,1158.000,1138.380,1209.000,1120.100,241500
Jul-10-2020,1138.380,1131.010,1136.140,1141.000,1131.010,1850
Jul-09-2020,1136.140,1170.000,1164.760,1170.000,1130.010,28450
Jul-08-2020,1164.760,1129.500,1118.220,1187.900,1129.500,37600
Jul-07-2020,1118.220,1067.990,1040.210,1118.220,1050.100,36850
Jul-06-2020,1040.210,992.000,993.960,1050.000,992.000,54350
Jul-03-2020,993.960,999.000,992.000,1000.000,990.110,5000
Jul-02-2020,992.000,1010.000,1005.210,1010.000,992.000,4700
Jul-01-2020,1005.210,976.000,994.990,1012.000,976.000,11100
Jun-30-2020,994.990,990.000,980.540,1020.000,980.000,33560
Jun-29-2020,980.540,958.900,956.890,985.000,954.990,56380
Jun-26-2020,956.890,950.000,944.220,958.000,945.000,47040
Jun-25-2020,944.220,939.500,939.830,945.000,935.000,4520
