Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-21-2020,597.860,604.000,602.080,606.500,593.000,1170621
Aug-20-2020,602.080,609.000,612.180,611.500,600.000,997489
Aug-19-2020,612.180,609.970,611.780,615.920,606.100,963257
Aug-18-2020,611.780,603.940,600.500,615.800,601.500,2171697
Aug-13-2020,609.880,610.000,610.950,614.000,595.800,1879580
Aug-12-2020,610.950,620.980,616.650,627.990,608.110,1726336
Aug-11-2020,616.650,605.000,601.450,625.000,605.000,2910054
Aug-10-2020,601.450,598.000,601.910,607.990,595.160,1579910
Aug-07-2020,601.910,604.000,603.220,616.900,592.210,2422251
Aug-06-2020,603.220,605.000,599.930,610.900,599.930,2265063
Aug-05-2020,599.930,586.000,583.260,606.000,576.150,4073775
Aug-04-2020,583.260,595.000,600.010,602.900,575.100,2642222
Aug-03-2020,600.010,585.980,581.460,605.980,585.980,3541142
Jul-30-2020,581.460,568.110,568.770,584.900,566.070,1413292
Jul-29-2020,568.770,561.900,559.300,582.900,555.000,1954914
Jul-28-2020,559.300,551.000,545.080,563.510,551.000,1592868
Jul-27-2020,545.080,532.000,531.530,549.000,526.000,1089358
Jul-24-2020,531.530,539.990,540.380,539.990,525.050,898199
Jul-23-2020,540.380,558.990,559.180,558.990,538.000,920867
Jul-22-2020,559.180,540.000,534.730,563.890,534.000,1981192
Jul-21-2020,534.730,531.000,530.560,543.980,528.000,1153843
Jul-20-2020,530.560,527.990,525.840,536.950,526.000,972392
Jul-17-2020,525.840,525.550,525.540,530.000,521.260,421958
Jul-16-2020,525.540,513.980,512.320,530.890,513.270,1402086
Jul-15-2020,512.320,513.990,512.390,516.000,508.510,896411
Jul-14-2020,512.390,516.000,516.270,519.000,510.000,887270
Jul-13-2020,516.270,510.000,496.410,524.890,505.500,1856608
Jul-10-2020,496.410,488.250,488.930,499.500,486.000,587912
Jul-09-2020,488.930,492.000,489.110,494.630,487.130,674664
Jul-08-2020,489.110,498.010,494.490,499.970,486.000,1098664
Jul-07-2020,494.490,495.000,491.380,503.750,493.100,1093917
Jul-06-2020,491.380,491.900,489.760,495.500,488.250,541663
Jul-03-2020,489.760,491.150,495.390,493.850,485.010,506230
Jul-02-2020,495.390,495.000,494.410,502.000,489.010,1339621
Jul-01-2020,494.410,462.580,461.580,496.190,462.580,1923929
Jun-30-2020,461.580,462.990,460.230,464.000,461.000,564207
Jun-29-2020,460.230,452.990,452.580,461.750,445.000,695486
Jun-26-2020,452.580,455.000,441.760,455.000,447.000,931211
Jun-25-2020,441.760,446.000,445.270,446.900,440.000,401288
Jun-24-2020,445.270,447.790,447.790,449.500,443.050,307778
Jun-23-2020,447.790,445.000,442.160,450.000,444.160,310687
Jun-22-2020,442.160,440.000,439.560,443.900,428.500,574274
Jun-19-2020,439.560,445.500,445.260,448.800,436.000,273630
Jun-18-2020,445.260,449.990,448.280,453.000,443.310,373705
