Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,33.210,33.510,33.250,34.650,33.100,9312000
Aug-06-2020,33.250,31.350,31.320,33.660,31.350,8509000
Aug-05-2020,31.320,31.450,31.380,31.500,31.050,818500
Aug-04-2020,31.380,31.800,31.790,32.250,31.290,3682500
Aug-03-2020,31.790,31.000,30.910,32.000,30.900,2857000
Jul-30-2020,30.910,31.000,30.960,31.240,30.600,899000
Jul-29-2020,30.960,30.790,30.640,31.500,30.500,2624500
Jul-28-2020,30.640,30.220,30.380,31.100,30.220,3055000
Jul-27-2020,30.380,30.000,29.730,30.610,29.750,3161000
Jul-24-2020,29.730,29.650,29.640,30.700,29.000,2546000
Jul-23-2020,29.640,29.760,29.900,30.250,29.500,840000
Jul-22-2020,29.900,30.290,30.060,30.350,29.600,505500
Jul-21-2020,30.060,30.300,30.350,30.850,29.850,1479500
Jul-20-2020,30.350,29.800,29.510,30.880,29.450,4624000
Jul-17-2020,29.510,29.240,29.080,29.700,28.800,1889000
Jul-16-2020,29.080,28.710,28.660,29.480,28.560,1297000
Jul-15-2020,28.660,29.350,29.350,29.460,28.410,4469500
Jul-14-2020,29.350,30.200,29.960,30.200,29.150,2818000
Jul-13-2020,29.960,30.600,30.280,32.000,29.820,6477500
Jul-10-2020,30.280,28.970,28.750,30.900,28.500,7834500
Jul-09-2020,28.750,27.900,27.710,29.400,27.690,6897500
Jul-08-2020,27.710,27.270,27.220,27.790,27.180,2159000
Jul-07-2020,27.220,26.990,26.720,27.380,26.800,2391000
Jul-06-2020,26.720,26.540,26.230,26.950,26.150,6059000
Jul-03-2020,26.230,26.650,26.620,26.650,26.100,1923000
Jul-02-2020,26.620,27.200,27.210,27.200,26.600,3274000
Jul-01-2020,27.210,27.410,27.650,27.500,27.000,397000
Jun-30-2020,27.650,26.950,27.100,28.100,26.700,3427500
Jun-29-2020,27.100,25.510,25.530,27.440,25.500,2952000
Jun-26-2020,25.530,26.070,26.060,26.150,25.250,1555500
Jun-25-2020,26.060,26.490,26.500,26.510,26.000,424500
Jun-24-2020,26.500,26.700,26.760,26.980,26.300,329000
Jun-23-2020,26.760,26.500,26.560,26.880,26.500,299000
Jun-22-2020,26.560,26.500,26.580,26.750,26.120,583000
Jun-19-2020,26.580,26.470,26.360,26.790,26.220,732000
Jun-18-2020,26.360,26.960,26.750,26.960,26.150,1840500
Jun-17-2020,26.750,26.800,26.630,27.300,26.600,3417000
Jun-16-2020,26.630,26.800,26.690,26.950,26.520,981500
Jun-15-2020,26.690,27.220,27.340,27.270,26.600,569000
Jun-12-2020,27.340,27.850,28.090,27.950,27.120,892500
Jun-11-2020,28.090,28.700,28.610,28.700,28.000,525500
Jun-10-2020,28.610,27.690,27.860,28.700,27.690,1547000
Jun-09-2020,27.860,27.800,27.790,28.200,27.650,625500
Jun-08-2020,27.790,28.270,27.780,28.300,27.700,430000
Jun-05-2020,27.780,28.090,27.730,28.090,27.560,411000
Jun-04-2020,27.730,27.560,27.860,28.470,27.530,1132500
Jun-03-2020,27.860,29.000,28.680,29.000,27.750,1879500
Jun-02-2020,28.680,26.960,26.800,28.810,26.820,10234500
Jun-01-2020,26.800,26.690,26.640,26.980,26.300,1019500
May-29-2020,26.640,26.870,26.800,27.100,26.450,626500
May-28-2020,26.800,26.810,26.810,26.850,26.400,130500
May-21-2020,26.810,26.990,26.800,27.000,26.520,259000
May-20-2020,26.800,27.250,27.080,27.500,26.490,369000
May-19-2020,27.080,27.590,27.140,27.590,26.900,478000
May-18-2020,27.140,27.550,27.260,27.600,27.000,236500
May-15-2020,27.260,27.450,27.520,27.780,27.000,537500
May-14-2020,27.520,27.870,27.740,27.880,27.450,127000
May-13-2020,27.740,27.800,27.660,27.950,27.550,539000
May-12-2020,27.660,27.310,27.210,27.750,27.310,389500
May-11-2020,27.210,27.420,27.420,27.420,26.900,259000
May-08-2020,27.420,27.970,27.670,27.970,27.200,386000
May-07-2020,27.670,27.950,27.970,28.200,27.500,1056500
May-06-2020,27.970,28.300,28.290,28.480,27.760,483000
May-05-2020,28.290,28.750,28.350,28.750,28.220,494500
May-04-2020,28.350,28.050,28.350,28.500,28.010,324000
Apr-30-2020,28.350,27.720,27.700,28.600,27.710,811000
Apr-29-2020,27.700,27.600,27.610,27.960,27.600,138500
Apr-28-2020,27.610,27.630,27.610,27.900,27.400,169000
Apr-27-2020,27.610,27.900,28.070,28.000,27.500,430500
Apr-24-2020,28.070,28.010,28.180,28.740,28.000,266000
Apr-23-2020,28.180,28.600,28.380,28.600,27.900,271500
Apr-22-2020,28.380,28.000,28.160,28.900,28.000,292500
Apr-21-2020,28.160,28.850,29.360,29.600,28.000,1676000
Apr-20-2020,29.360,29.710,29.750,30.000,28.800,885500
Apr-17-2020,29.750,28.400,28.450,30.400,27.990,1756500
Apr-16-2020,28.450,28.110,28.540,28.700,28.110,145000
Apr-15-2020,28.540,29.000,28.740,29.590,28.400,561000
Apr-14-2020,28.740,27.700,27.600,29.100,27.350,792500
Apr-13-2020,27.600,29.000,28.850,29.000,27.400,979000
Apr-10-2020,28.850,28.300,28.770,28.950,28.270,467500
Apr-09-2020,28.770,27.780,27.270,29.210,27.750,1208500
Apr-08-2020,27.270,28.000,27.710,28.000,27.000,1573000
Apr-07-2020,27.710,28.010,28.550,28.480,27.000,3647500
Apr-06-2020,28.550,30.820,30.810,30.870,28.500,527000
Apr-03-2020,30.810,30.650,30.430,31.980,30.050,519500
Apr-02-2020,30.430,28.350,28.340,30.460,28.000,2121500
Apr-01-2020,28.340,27.950,28.260,28.700,27.600,437000
Mar-31-2020,28.260,26.710,26.750,28.700,26.500,675000
Mar-30-2020,26.750,26.300,27.770,28.000,26.200,525500
Mar-27-2020,27.770,27.090,26.490,28.000,26.680,370000
Mar-26-2020,26.490,26.350,25.550,27.190,26.010,1610500
Mar-25-2020,25.550,26.500,27.590,28.450,25.530,1439000
Mar-24-2020,27.590,27.590,29.820,27.590,27.590,366500
Mar-20-2020,29.820,30.250,28.400,30.530,29.020,1658500
Mar-19-2020,28.400,24.590,26.580,28.570,24.590,1946000
Mar-18-2020,26.580,29.000,28.730,29.010,26.580,1126000
Mar-17-2020,28.730,29.920,29.170,30.200,27.310,1368500
Mar-16-2020,29.170,30.510,31.530,30.900,29.170,1695500
Mar-13-2020,31.530,31.000,31.100,31.750,29.500,1133000
Mar-12-2020,31.100,32.550,33.270,32.700,30.970,1191000
Mar-11-2020,33.270,34.300,34.040,34.800,33.110,519500
Mar-10-2020,34.040,33.020,32.620,34.570,32.900,1432000
Mar-09-2020,32.620,33.500,34.630,35.750,32.210,1177000
Mar-06-2020,34.630,35.100,35.530,35.500,34.500,1127000
Mar-05-2020,35.530,35.100,34.970,35.900,35.000,1064000
Mar-04-2020,34.970,35.200,35.430,35.450,34.600,1171000
Mar-03-2020,35.430,36.600,36.600,36.600,34.750,2433500
Mar-02-2020,36.600,36.540,39.290,37.810,36.540,5920000
Feb-28-2020,39.290,41.030,42.020,42.500,39.290,4543500
Feb-27-2020,42.020,41.450,42.010,42.200,40.110,1143500
Feb-26-2020,42.010,43.050,42.930,43.440,41.900,907500
Feb-25-2020,42.930,41.500,41.750,43.750,41.500,899500
Feb-24-2020,41.750,43.000,43.020,43.000,41.500,853000
Feb-21-2020,43.020,42.900,43.220,43.370,42.900,275000
Feb-20-2020,43.220,42.510,42.680,43.900,42.300,1331000
Feb-19-2020,42.680,42.440,42.040,43.100,42.050,699500
Feb-18-2020,42.040,42.920,42.270,42.920,42.000,406500
Feb-17-2020,42.270,42.500,42.500,43.150,42.200,650500
Feb-14-2020,42.500,43.200,43.440,43.440,42.300,909000
Feb-13-2020,43.440,43.560,43.700,44.200,43.310,1090500
Feb-12-2020,43.700,41.490,41.260,43.730,41.250,4239500
Feb-11-2020,41.260,41.850,40.840,41.850,40.520,947500
Feb-10-2020,40.840,42.550,42.610,42.550,40.500,998000
Feb-07-2020,42.610,43.300,43.210,43.300,42.550,832000
Feb-06-2020,43.210,43.310,43.410,43.800,43.050,1276000
Feb-04-2020,43.410,43.060,43.030,43.640,43.010,763500
Feb-03-2020,43.030,43.950,43.980,43.950,42.550,1156500
Jan-31-2020,43.980,44.500,44.490,44.970,43.910,1709500
Jan-30-2020,44.490,44.010,44.220,44.790,43.660,3195000
Jan-29-2020,44.220,44.750,44.410,44.760,44.100,926000
Jan-28-2020,44.410,44.560,44.600,44.600,44.250,586500
Jan-27-2020,44.410,44.560,44.600,44.600,44.250,586500
Jan-24-2020,44.770,44.600,44.780,45.000,44.600,387000
Jan-23-2020,44.780,44.830,44.700,45.400,44.600,2686000
Jan-22-2020,44.700,44.050,43.950,45.010,43.900,2031000
Jan-21-2020,43.950,43.600,43.670,44.150,43.360,1126500
Jan-20-2020,43.670,44.390,44.210,44.500,43.110,721000
Jan-17-2020,44.210,44.650,44.640,44.900,44.100,758000
Jan-16-2020,44.640,43.900,43.880,44.800,43.830,966000
Jan-15-2020,43.880,44.600,44.630,44.600,43.740,646000
Jan-14-2020,44.630,44.800,44.590,45.150,44.450,1904500
Jan-13-2020,44.590,44.690,44.640,45.150,44.300,1511000
Jan-10-2020,44.640,43.700,43.410,45.000,43.410,3845000
Jan-09-2020,43.410,42.450,41.360,43.420,42.400,5281000
Jan-08-2020,41.360,42.100,43.070,42.880,41.100,4126000
Jan-07-2020,43.070,43.450,42.720,43.750,42.600,1800000
Jan-06-2020,42.720,43.700,44.410,43.900,42.400,1285000
Jan-03-2020,44.410,45.000,44.620,45.490,44.000,3039500
Jan-02-2020,44.620,45.000,44.450,45.640,44.500,4496500
Jan-01-2020,44.450,43.550,43.300,44.690,43.510,1867000
Dec-31-2019,43.300,43.800,43.670,44.000,43.210,912000
Dec-30-2019,43.670,44.000,43.580,44.440,43.450,1093000
Dec-27-2019,43.580,45.490,45.160,45.500,43.250,2141000
Dec-26-2019,45.160,44.250,44.210,45.500,44.200,2612500
Dec-24-2019,44.210,43.000,43.580,44.500,42.900,1356500
Dec-23-2019,43.580,45.000,44.830,45.000,43.050,1141500
Dec-20-2019,44.830,45.000,44.460,45.490,44.020,1172000
Dec-19-2019,44.460,46.000,45.850,46.500,43.800,2510000
Dec-18-2019,45.850,45.400,45.680,46.990,44.600,3783000
Dec-17-2019,45.680,46.190,45.820,46.500,44.550,3091000
Dec-16-2019,45.820,44.950,44.630,46.000,44.620,3596000
Dec-13-2019,44.630,44.550,44.070,45.150,44.200,2082000
Dec-12-2019,44.070,45.000,44.960,45.000,43.500,1537500
Dec-11-2019,44.960,45.800,45.930,46.200,44.800,1158500
Dec-10-2019,45.930,45.600,45.740,46.200,45.420,1437000
Dec-09-2019,45.740,46.700,46.300,47.400,45.410,4926000
Dec-06-2019,46.300,46.980,46.300,48.000,45.700,5439500
Dec-05-2019,46.300,45.000,44.180,46.380,45.000,5134000
Dec-04-2019,44.180,43.870,43.870,44.500,43.660,1846000
Dec-03-2019,43.870,46.000,44.990,46.300,43.500,6063500
Dec-02-2019,44.990,42.810,42.850,44.990,42.810,4475000
Nov-29-2019,42.850,42.800,42.570,43.500,42.100,2383500
Nov-28-2019,42.570,40.550,40.560,42.580,40.120,5896000
Nov-27-2019,40.560,39.800,39.790,40.900,39.650,1221000
Nov-26-2019,39.790,41.310,41.240,41.750,39.180,3358000
Nov-25-2019,41.240,40.450,40.240,41.700,39.990,1996500
Nov-22-2019,40.240,37.900,38.640,40.570,37.900,4295000
Nov-21-2019,38.640,40.970,40.670,40.970,38.640,1527500
Nov-20-2019,40.670,42.350,42.150,42.350,40.500,1954500
Nov-19-2019,42.150,42.800,41.190,43.200,41.000,3343000
Nov-18-2019,41.190,40.200,39.230,41.190,40.200,3877500
Nov-15-2019,39.230,37.700,37.370,39.230,37.560,4627000
Nov-14-2019,37.370,37.700,37.340,37.840,37.200,1112000
Nov-13-2019,37.340,37.700,37.880,38.180,37.100,867000
Nov-12-2019,37.880,37.300,37.000,38.750,36.700,4007000
Nov-11-2019,37.000,36.590,36.290,37.200,36.360,1689000
Nov-08-2019,36.290,36.850,36.510,36.900,36.020,526000
Nov-07-2019,36.290,36.850,36.510,36.900,36.020,526000
Nov-06-2019,36.170,35.910,35.880,36.500,35.900,1845500
Nov-05-2019,35.880,36.450,36.460,36.800,35.660,941500
Nov-04-2019,36.460,35.800,35.770,37.000,35.600,2580500
Nov-01-2019,35.770,35.550,35.670,36.100,35.400,618000
Oct-30-2019,35.080,35.210,35.160,35.890,34.900,1344000
Oct-29-2019,35.160,35.000,35.020,36.250,35.000,2155000
Oct-28-2019,35.020,34.200,34.470,35.150,34.000,855500
Oct-25-2019,34.470,33.600,33.670,35.000,33.600,1125000
Oct-24-2019,33.670,33.490,33.260,34.140,33.110,501000
Oct-23-2019,33.260,32.500,32.470,33.580,32.500,815500
Oct-22-2019,32.470,32.750,32.470,33.150,32.200,590000
Oct-21-2019,32.470,34.000,34.020,34.000,32.320,2242500
Oct-18-2019,34.020,34.950,34.670,35.490,33.810,579500
Oct-17-2019,34.670,35.000,35.080,35.790,34.500,659500
Oct-16-2019,35.080,33.890,33.680,35.360,33.700,2049500
Oct-15-2019,33.680,33.550,33.570,34.100,33.000,411000
Oct-14-2019,33.570,34.850,34.550,34.950,33.500,679000
Oct-11-2019,34.550,34.650,34.480,35.150,34.400,1001500
Oct-10-2019,34.480,34.400,34.280,35.400,33.890,2518500
Oct-09-2019,34.280,35.100,35.320,35.100,33.670,1810500
Oct-08-2019,35.320,36.140,35.120,36.850,34.650,4150500
Oct-07-2019,35.120,34.100,33.450,35.120,34.000,3286500
Oct-04-2019,33.450,32.000,31.860,33.450,32.000,3715500
Oct-03-2019,31.860,30.640,30.350,31.860,30.300,3749500
Oct-02-2019,30.350,29.600,29.250,30.710,29.490,3377500
Oct-01-2019,29.250,29.000,28.950,29.500,28.810,783000
Sep-30-2019,28.950,28.990,28.960,29.870,28.800,3140000
Sep-27-2019,28.960,28.700,28.580,29.250,28.500,1348000
Sep-26-2019,28.580,28.790,28.770,29.000,28.340,777500
Sep-25-2019,28.770,29.700,29.900,29.990,28.700,844500
Sep-24-2019,29.900,30.600,30.330,30.600,29.500,745500
Sep-23-2019,30.330,31.200,31.000,31.290,30.250,225500
Sep-20-2019,31.000,31.450,31.360,31.780,30.610,1510500
Sep-19-2019,31.360,30.970,31.070,31.500,30.970,276000
Sep-18-2019,31.070,31.790,31.640,31.790,30.850,423500
Sep-17-2019,31.640,32.150,31.530,33.000,31.500,3379500
Sep-16-2019,31.530,30.340,30.030,31.530,30.340,2391000
Sep-13-2019,30.030,29.900,29.650,30.300,29.600,925500
Sep-12-2019,29.650,29.740,29.610,30.180,29.400,3909000
Sep-11-2019,29.610,29.900,29.870,29.900,29.340,344000
Sep-06-2019,29.870,29.990,29.790,30.000,29.540,127500
Sep-05-2019,29.790,29.520,29.510,30.450,29.500,636500
Sep-04-2019,29.510,29.550,30.180,30.140,29.010,1246000
Sep-03-2019,30.180,31.000,30.490,31.250,30.030,257000
Sep-02-2019,30.490,29.590,29.690,30.880,29.590,187500
Aug-30-2019,29.690,31.400,31.130,31.500,29.600,511500
Aug-29-2019,31.130,31.010,31.150,32.250,31.000,694500
Aug-28-2019,31.150,31.950,31.850,32.800,30.700,1030000
Aug-27-2019,31.850,31.500,31.350,32.000,31.000,283500
Aug-23-2019,32.140,32.100,31.990,32.890,32.000,641000
Aug-22-2019,31.990,30.890,30.470,31.990,30.750,773500
Aug-21-2019,30.470,30.400,30.160,30.650,30.000,562000
Aug-20-2019,30.160,29.300,29.120,30.350,29.010,1109500
Aug-19-2019,29.120,28.500,28.570,29.480,28.450,654000
Aug-16-2019,28.570,28.360,28.870,29.000,28.360,163500
Aug-09-2019,28.870,29.440,28.770,29.800,28.710,325000
Aug-08-2019,28.770,29.000,29.160,29.490,28.500,782500
Aug-07-2019,29.160,30.010,30.280,30.010,29.010,991000
Aug-06-2019,30.280,30.550,31.190,30.850,30.100,488500
Aug-05-2019,31.190,32.000,32.110,32.000,30.630,424500
Aug-02-2019,32.110,33.600,33.360,33.600,31.850,707000
Aug-01-2019,33.360,33.410,33.400,33.650,33.030,144500
Jul-31-2019,33.400,33.500,33.440,33.670,32.400,400500
Jul-30-2019,33.440,33.800,34.240,34.010,32.530,589500
Jul-29-2019,34.240,34.460,34.080,34.500,33.500,274000
Jul-26-2019,34.080,34.750,34.850,35.240,34.000,168000
Jul-25-2019,34.850,34.600,34.740,35.000,34.300,169500
Jul-24-2019,34.740,35.000,35.020,35.000,34.600,247000
Jul-23-2019,35.020,35.000,34.910,35.200,34.600,136000
Jul-19-2019,35.000,34.000,34.000,35.100,34.000,272000
Jul-18-2019,34.000,35.490,35.170,35.800,33.900,333500
Jul-17-2019,35.170,35.990,35.470,36.180,34.600,294000
Jul-16-2019,35.470,35.060,35.500,35.950,34.500,326500
Jul-15-2019,35.500,36.100,36.450,36.100,35.100,93500
Jul-12-2019,36.450,36.990,36.740,36.990,36.100,51500
Jul-11-2019,36.740,37.300,36.730,37.890,36.200,507000
Jul-10-2019,36.730,36.910,36.840,37.000,36.300,36000
Jul-09-2019,36.840,37.000,36.370,37.000,36.500,106000
Jul-08-2019,36.370,36.500,36.960,37.250,36.000,233500
Jul-05-2019,36.960,37.380,37.150,37.750,36.510,37500
Jul-04-2019,37.150,38.900,38.000,38.900,37.000,208000
Jul-03-2019,38.000,37.000,36.950,38.100,36.880,497500
Jul-02-2019,36.950,35.250,35.340,37.100,35.250,1765000
Jul-01-2019,35.340,33.650,33.660,35.340,33.600,799000
Jun-28-2019,33.660,34.970,34.510,34.990,33.500,4709000
Jun-27-2019,34.510,35.850,35.600,35.950,34.250,3822500
Jun-26-2019,35.600,36.000,36.300,36.010,35.500,142500
Jun-25-2019,36.300,36.500,36.920,36.800,35.750,216500
Jun-21-2019,37.750,37.490,37.630,38.000,37.490,771000
Jun-20-2019,37.630,37.250,36.860,37.900,37.250,180500
Jun-19-2019,36.860,38.120,38.120,38.120,36.220,450000
Jun-18-2019,38.120,38.400,38.500,38.500,38.000,105500
Jun-17-2019,38.500,38.790,38.820,38.800,38.150,59500
Jun-14-2019,38.820,39.700,38.800,39.700,38.100,423000
Jun-13-2019,38.800,38.990,38.960,39.490,38.700,269000
Jun-12-2019,38.960,37.950,37.780,39.440,37.810,818000
Jun-11-2019,37.780,38.440,38.590,39.000,37.120,489500
Jun-10-2019,38.590,39.450,40.620,39.900,38.590,854000
Jun-03-2019,40.620,42.120,42.370,42.120,40.260,2826500
May-30-2019,42.370,41.840,41.110,42.800,41.250,4615000
May-29-2019,41.110,40.000,39.180,41.130,40.000,7199500
May-28-2019,39.180,41.140,41.240,41.200,39.180,1461000
May-27-2019,41.240,42.450,42.970,43.000,41.020,671000
May-24-2019,42.970,42.000,41.100,43.100,41.450,1374000
May-23-2019,41.100,40.070,39.150,41.100,39.800,1373000
May-22-2019,39.150,37.590,37.480,39.350,37.590,1761500
May-21-2019,37.480,37.990,37.590,37.990,36.700,714500
May-20-2019,37.590,37.200,36.690,37.750,36.400,335500
May-17-2019,36.690,37.000,37.200,37.000,35.510,245000
May-16-2019,37.200,37.500,37.410,37.500,36.470,455000
May-15-2019,37.410,37.330,37.100,38.000,37.150,185500
May-14-2019,37.100,36.490,36.920,37.800,36.490,88000
May-13-2019,36.920,39.680,38.860,39.900,36.920,222500
May-10-2019,38.860,39.250,39.190,39.750,38.500,59500
May-09-2019,39.190,39.990,39.980,40.020,39.020,406500
May-08-2019,39.980,40.000,39.940,40.100,39.350,958500
May-07-2019,39.940,38.500,38.590,40.050,38.500,563000
May-06-2019,38.590,38.520,39.020,38.980,38.450,25000
May-03-2019,39.020,39.450,39.380,40.000,38.650,48500
May-02-2019,39.380,39.150,39.540,39.440,39.000,29500
Apr-30-2019,39.540,39.500,39.570,40.000,39.100,455500
Apr-29-2019,39.570,39.000,39.050,39.750,39.000,216500
Apr-26-2019,39.050,39.000,39.200,39.300,38.620,384000
Apr-25-2019,39.200,37.350,37.580,39.440,37.350,884000
Apr-24-2019,37.580,38.500,38.640,38.700,37.410,408000
Apr-23-2019,38.640,39.110,39.890,40.500,38.250,217500
Apr-22-2019,39.890,40.510,40.310,40.510,39.500,107500
Apr-19-2019,40.310,38.990,38.430,40.350,38.700,996500
Apr-18-2019,38.430,38.100,38.950,39.380,37.550,568000
Apr-17-2019,38.950,40.560,41.000,40.570,38.950,954000
Apr-16-2019,41.000,41.400,41.460,41.900,40.510,302500
Apr-15-2019,41.460,40.650,40.740,41.600,40.010,447000
Apr-12-2019,40.740,39.750,38.800,40.740,38.520,325000
Apr-11-2019,38.800,39.000,38.570,39.340,38.500,152500
Apr-10-2019,38.570,39.550,39.970,39.900,38.300,346000
Apr-09-2019,39.970,38.500,38.250,40.160,38.050,330000
Apr-05-2019,39.150,38.500,38.880,39.900,38.400,314000
Apr-04-2019,38.880,40.000,39.800,40.000,38.500,338000
Apr-03-2019,39.800,39.520,39.820,40.100,39.500,149500
Apr-02-2019,39.820,39.910,39.820,39.950,39.110,272500
Mar-29-2019,40.060,40.310,40.380,40.600,40.000,208000
Mar-28-2019,40.380,40.210,40.840,40.600,40.000,137000
Mar-27-2019,40.840,40.200,40.270,41.000,40.190,1243000
Mar-26-2019,40.270,40.250,40.450,40.740,40.130,256000
Mar-25-2019,40.450,40.500,40.780,40.800,40.300,452000
Mar-22-2019,40.780,40.010,40.190,41.000,40.000,889000
Mar-21-2019,40.190,40.800,40.800,40.800,40.000,354000
Mar-20-2019,40.800,41.200,41.060,41.240,40.600,419000
Mar-19-2019,41.060,41.900,41.930,41.900,41.000,379000
Mar-18-2019,41.930,41.780,41.080,42.480,40.900,575500
Mar-15-2019,41.080,42.000,42.300,42.000,40.810,363000
