Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,39.010,39.000,39.370,40.200,38.500,493500
Aug-06-2020,39.370,38.900,38.640,39.750,38.900,1081500
Aug-05-2020,38.640,38.250,37.660,38.900,37.750,392500
Aug-04-2020,37.660,39.350,39.300,39.730,37.250,1059000
Aug-03-2020,39.300,39.700,39.460,40.200,39.000,713000
Jul-30-2020,39.460,39.250,39.070,39.580,38.200,1118500
Jul-29-2020,39.070,38.510,37.960,40.500,38.510,1887500
Jul-28-2020,37.960,35.490,35.320,37.960,35.490,3428000
Jul-27-2020,35.320,35.300,35.310,35.600,35.000,259000
Jul-24-2020,35.310,35.500,36.010,36.000,34.900,496000
Jul-23-2020,36.010,36.550,36.130,36.910,35.700,856000
Jul-22-2020,36.130,36.190,35.980,36.600,35.700,774000
Jul-21-2020,35.980,36.740,36.590,36.900,35.750,1028000
Jul-20-2020,36.590,35.500,35.430,36.850,35.500,1168000
Jul-17-2020,35.430,34.900,34.660,35.600,34.880,460500
Jul-16-2020,34.660,34.410,34.930,35.000,34.410,182500
Jul-15-2020,34.930,35.550,35.530,35.690,34.660,609500
Jul-14-2020,35.530,35.990,35.620,36.310,35.400,523000
Jul-13-2020,35.620,36.070,35.360,36.150,35.100,806500
Jul-10-2020,35.360,35.350,35.270,36.690,35.040,1274000
Jul-09-2020,35.270,34.700,34.250,35.800,34.310,1262500
Jul-08-2020,34.250,34.490,34.220,34.600,34.000,372500
Jul-07-2020,34.220,34.500,34.370,34.900,34.000,172000
Jul-06-2020,34.370,33.500,33.540,34.500,33.500,782500
Jul-03-2020,33.540,33.800,33.460,34.300,33.500,522500
Jul-02-2020,33.460,33.980,33.020,34.000,33.250,524000
Jul-01-2020,33.020,32.510,32.450,33.500,32.510,365000
Jun-30-2020,32.450,33.350,33.000,33.350,32.350,509000
Jun-29-2020,33.000,33.100,33.070,33.300,32.880,333500
Jun-26-2020,33.070,34.000,32.760,34.000,32.500,291000
Jun-25-2020,32.760,33.070,33.570,33.250,32.700,140000
Jun-24-2020,33.570,33.800,33.960,33.940,33.490,51000
Jun-23-2020,33.960,33.350,33.340,34.000,33.350,100500
Jun-22-2020,33.340,33.550,33.520,33.690,33.000,85500
Jun-19-2020,33.520,34.000,33.830,34.000,33.500,94000
Jun-18-2020,33.830,33.500,33.500,35.800,33.500,3142000
Jun-17-2020,33.500,33.100,33.130,33.900,33.100,1395500
Jun-16-2020,33.130,32.550,32.410,33.700,32.550,679500
Jun-15-2020,32.410,32.650,33.810,33.490,32.110,489500
Jun-12-2020,33.810,33.510,34.060,34.000,33.110,373500
Jun-11-2020,34.060,33.400,32.980,34.320,33.390,1822500
Jun-10-2020,32.980,32.980,32.670,33.600,32.510,630000
Jun-09-2020,32.670,31.990,31.710,32.840,31.990,649000
Jun-08-2020,31.710,31.570,31.420,32.100,31.300,448000
Jun-05-2020,31.420,31.510,31.610,31.780,31.200,204500
Jun-04-2020,31.610,33.000,33.300,33.050,31.500,591000
Jun-03-2020,33.300,33.410,32.940,34.300,32.800,458000
Jun-02-2020,32.940,32.500,32.250,33.440,32.250,686000
Jun-01-2020,32.250,32.000,32.070,32.390,31.300,296500
May-29-2020,32.070,31.200,31.120,32.350,31.200,483000
May-28-2020,31.120,30.900,30.790,31.350,30.150,172000
May-21-2020,30.790,31.150,30.830,31.150,30.500,202500
May-20-2020,30.830,31.500,31.120,31.500,30.700,133000
May-19-2020,31.120,31.440,31.320,31.900,31.010,191500
May-18-2020,31.320,32.490,31.470,32.500,31.040,186500
May-15-2020,31.470,31.600,31.380,31.940,31.300,89500
May-14-2020,31.380,31.310,31.290,31.650,31.200,52500
May-13-2020,31.290,31.510,31.940,31.700,31.250,104000
May-12-2020,31.940,31.990,31.610,32.750,31.550,244000
May-11-2020,31.610,30.300,30.530,32.240,30.000,218500
May-08-2020,30.530,31.250,31.210,31.400,30.500,132500
May-07-2020,31.210,31.350,32.100,31.990,31.050,300000
May-06-2020,32.100,33.000,33.000,33.000,31.990,292000
May-05-2020,33.000,33.500,33.000,33.750,32.500,457000
May-04-2020,33.000,33.000,32.880,34.000,32.010,1369000
Apr-30-2020,32.880,31.850,31.130,33.300,30.600,1526000
Apr-29-2020,31.130,30.500,29.930,31.350,29.960,500000
Apr-28-2020,29.930,30.000,30.000,30.490,29.860,266500
Apr-27-2020,30.000,30.160,30.690,30.860,29.110,129500
Apr-24-2020,30.690,31.100,31.540,31.500,30.070,61000
Apr-23-2020,31.540,31.950,31.710,31.950,31.500,42500
Apr-22-2020,31.710,32.400,32.240,32.500,31.670,113000
Apr-21-2020,32.240,33.450,33.670,33.450,32.000,425000
Apr-20-2020,33.670,35.000,34.040,35.400,33.500,765000
Apr-17-2020,34.040,34.040,31.670,34.040,33.520,411000
Apr-16-2020,31.670,32.450,32.560,32.700,31.500,51000
Apr-15-2020,32.560,34.450,33.010,34.600,32.310,504000
Apr-14-2020,33.010,31.000,30.720,33.020,30.000,739000
Apr-13-2020,30.720,31.800,31.840,31.800,30.010,228500
Apr-10-2020,31.840,31.150,31.190,32.000,31.000,41000
Apr-09-2020,31.190,30.900,29.950,31.490,30.350,149500
Apr-08-2020,29.950,29.900,29.110,30.250,28.910,302500
Apr-07-2020,29.110,28.930,28.380,29.500,28.250,170500
Apr-06-2020,28.380,30.500,30.440,30.500,28.260,124500
Apr-03-2020,30.440,31.000,29.470,31.290,30.000,260500
Apr-02-2020,29.470,27.350,27.420,29.470,26.810,648500
Apr-01-2020,27.420,26.500,25.750,27.680,25.250,543500
Mar-31-2020,25.750,24.000,23.960,25.750,23.600,550500
Mar-30-2020,23.960,24.100,24.760,24.990,23.500,160500
Mar-27-2020,24.760,24.490,23.780,25.250,23.060,304500
Mar-26-2020,23.780,25.990,25.050,26.490,23.350,182500
Mar-25-2020,25.050,28.000,26.950,28.000,24.930,187000
Mar-24-2020,26.950,26.950,29.130,26.950,26.950,17000
Mar-20-2020,29.130,31.000,30.390,31.000,29.000,161000
Mar-19-2020,30.390,30.390,32.850,32.500,30.390,391500
Mar-18-2020,32.850,33.200,35.510,33.450,32.850,237000
Mar-17-2020,35.510,38.400,38.380,39.000,35.510,687000
Mar-16-2020,38.380,40.260,41.490,41.690,38.380,413500
Mar-13-2020,41.490,38.500,39.490,42.000,38.000,1239000
Mar-12-2020,39.490,39.200,40.950,41.000,39.100,470000
Mar-11-2020,40.950,41.300,41.010,43.000,40.610,1520000
Mar-10-2020,41.010,39.750,39.500,41.100,39.400,436500
Mar-09-2020,39.500,36.760,39.490,40.300,36.740,200500
Mar-06-2020,39.490,40.050,40.420,40.050,39.120,303000
Mar-05-2020,40.420,40.000,39.670,41.150,40.000,449000
Mar-04-2020,39.670,40.510,40.790,40.510,39.600,232500
Mar-03-2020,40.790,41.670,41.420,42.450,40.660,428500
Mar-02-2020,41.420,39.400,39.080,41.490,39.400,458000
Feb-28-2020,39.080,37.820,37.960,39.500,37.800,1008500
Feb-27-2020,37.960,37.050,37.950,38.490,36.510,1425000
Feb-26-2020,37.950,38.600,39.270,38.990,37.200,416500
Feb-25-2020,39.270,41.100,40.600,41.100,38.130,224000
Feb-24-2020,40.600,42.750,42.520,42.760,40.210,206500
Feb-21-2020,42.520,42.700,42.530,42.750,42.210,98000
Feb-20-2020,42.530,43.420,42.930,43.450,42.500,97000
Feb-19-2020,42.930,43.570,43.980,43.840,42.450,778500
Feb-18-2020,43.980,44.000,43.870,44.450,43.300,467000
Feb-17-2020,43.870,44.450,44.000,44.450,43.810,233000
Feb-14-2020,44.000,43.870,43.460,44.800,43.000,632500
Feb-13-2020,43.460,45.600,46.020,46.500,43.260,5944000
Feb-12-2020,46.020,45.510,45.600,46.200,45.220,1061500
Feb-11-2020,45.600,43.610,43.960,46.000,43.250,272000
Feb-10-2020,43.960,44.500,44.950,44.890,42.500,1324000
Feb-07-2020,44.950,45.050,45.890,46.050,44.600,755000
Feb-06-2020,45.890,45.800,45.530,46.240,45.650,681500
Feb-04-2020,45.530,45.000,44.960,45.700,44.500,359500
Feb-03-2020,44.960,47.000,47.170,47.000,44.500,1256500
Jan-31-2020,47.170,47.420,47.270,47.440,46.990,390000
Jan-30-2020,47.270,46.550,46.740,47.400,46.230,1100500
Jan-29-2020,46.740,46.000,46.080,47.000,46.000,1263000
Jan-28-2020,46.080,46.000,46.260,46.250,45.700,657000
Jan-27-2020,46.080,46.000,46.260,46.250,45.700,657000
Jan-24-2020,45.950,45.100,45.210,47.000,44.900,2281000
Jan-23-2020,45.210,45.250,44.900,46.200,45.000,1158000
Jan-22-2020,44.900,45.360,45.230,45.600,44.260,519000
Jan-21-2020,45.230,44.240,45.000,45.700,44.240,369500
Jan-20-2020,45.000,45.500,45.490,45.500,44.500,283500
Jan-17-2020,45.490,46.000,46.000,46.050,45.410,274500
Jan-16-2020,46.000,45.100,45.170,46.800,44.850,1093500
Jan-15-2020,45.170,46.020,46.330,46.400,44.990,1307000
Jan-14-2020,46.330,47.950,47.630,48.000,45.990,1924500
