Date,Closing Rate,Open Rate,Previous Rate,Highest,Lowest,Turnover
Aug-07-2020,181.150,182.010,183.180,183.990,179.110,1273706
Aug-06-2020,183.180,184.400,182.480,186.500,182.500,1961343
Aug-05-2020,182.480,181.000,180.270,183.740,179.110,1368237
Aug-04-2020,180.270,186.020,185.830,187.700,175.510,3922264
Aug-03-2020,185.830,183.000,180.910,187.500,182.000,4817113
Jul-30-2020,180.910,179.000,177.900,181.990,176.500,2483784
Jul-29-2020,177.900,178.000,175.110,181.350,176.250,2875853
Jul-28-2020,175.110,175.490,175.270,177.450,174.600,1014174
Jul-27-2020,175.270,174.370,174.370,176.700,172.990,991349
Jul-24-2020,174.370,175.110,176.700,176.000,173.500,920502
Jul-23-2020,176.700,181.900,178.860,182.500,175.620,1884574
Jul-22-2020,178.860,176.990,175.000,182.490,176.500,5699176
Jul-21-2020,175.000,173.050,171.890,176.250,168.820,4469520
Jul-20-2020,171.890,172.500,170.610,176.400,171.060,2829186
Jul-17-2020,170.610,171.700,170.270,172.450,170.020,971406
Jul-16-2020,170.270,169.250,168.880,172.500,169.250,975774
Jul-15-2020,168.880,170.750,169.770,171.600,168.000,801624
Jul-14-2020,169.770,173.990,173.700,174.900,169.000,1771451
Jul-13-2020,173.700,164.750,164.690,175.000,164.750,4318065
Jul-10-2020,164.690,166.000,166.670,166.000,164.050,430914
Jul-09-2020,166.670,166.510,164.890,167.570,164.510,1700472
Jul-08-2020,164.890,163.110,163.620,165.500,163.110,899781
Jul-07-2020,163.620,163.250,162.780,164.900,163.250,736812
Jul-06-2020,162.780,160.800,159.350,163.440,159.500,983826
Jul-03-2020,159.350,160.300,160.810,161.100,158.500,424749
Jul-02-2020,160.810,164.500,162.210,164.950,159.990,1212524
Jul-01-2020,162.210,155.500,158.160,165.000,155.250,2252597
Jun-30-2020,158.160,157.010,156.580,159.750,156.050,2890666
Jun-29-2020,156.580,151.000,148.500,157.970,150.510,3424132
Jun-26-2020,148.500,148.490,145.880,148.900,147.500,1248445
Jun-25-2020,145.880,146.880,147.730,146.990,145.200,779352
Jun-24-2020,147.730,148.000,147.540,150.700,147.000,1375883
Jun-23-2020,147.540,145.000,143.920,148.400,144.500,1262432
Jun-22-2020,143.920,144.640,144.300,145.300,140.150,1117870
Jun-19-2020,144.300,147.060,146.680,148.450,143.500,559668
Jun-18-2020,146.680,149.250,149.500,151.110,146.170,736583
Jun-17-2020,149.500,151.110,150.930,153.440,148.750,771366
Jun-16-2020,150.930,149.490,147.930,151.800,146.250,927884
Jun-15-2020,147.930,155.000,155.760,155.000,147.150,1143333
Jun-12-2020,155.760,154.100,156.680,156.500,154.030,624699
Jun-11-2020,156.680,159.750,158.760,159.750,156.200,834169
Jun-10-2020,158.760,158.250,157.660,159.000,157.300,755352
Jun-09-2020,157.660,157.520,158.720,158.000,156.900,472537
Jun-08-2020,158.720,159.900,155.400,159.990,157.400,1337080
Jun-05-2020,155.400,156.220,156.140,156.500,154.680,496112
Jun-04-2020,156.140,157.490,157.350,158.330,156.000,560278
Jun-03-2020,157.350,158.000,155.790,159.900,156.500,1281463
Jun-02-2020,155.790,156.750,156.660,157.700,155.550,723286
Jun-01-2020,156.660,159.000,158.360,159.500,155.810,686646
May-29-2020,158.360,160.000,159.960,161.900,157.600,564312
