Date,Returns
2017-Nov-10,-0.003889
2017-Nov-13,-0.000238
2017-Nov-15,0.009524
2017-Nov-16,-0.008632
2017-Nov-24,0.000000
2017-Nov-30,-0.000048
2017-Dec-05,0.000000
2017-Dec-06,0.044238
2017-Dec-07,-0.029824
2017-Dec-08,-0.010952
2017-Dec-11,-0.001996
2017-Dec-12,0.001190
2017-Dec-18,-0.009953
2017-Dec-19,-0.004173
2017-Dec-20,0.000000
2017-Dec-21,0.000095
2017-Dec-22,0.014189
2017-Dec-26,-0.011596
2017-Dec-27,-0.002375
2017-Dec-28,0.009380
2017-Dec-29,0.004717
2018-Jan-02,0.000000
2018-Jan-04,0.010567
2018-Jan-05,0.008055
2018-Jan-10,0.024063
2018-Jan-11,0.014857
2018-Jan-12,-0.026622
2018-Jan-16,-0.000324
2018-Jan-18,-0.006615
2018-Jan-19,0.003492
2018-Jan-22,0.000139
2018-Jan-23,0.008862
2018-Jan-24,0.003173
2018-Jan-25,0.008527
2018-Jan-26,-0.013546
2018-Jan-29,-0.003133
2018-Jan-30,0.002080
2018-Jan-31,-0.001891
2018-Feb-01,0.013911
2018-Feb-02,0.000593
2018-Feb-06,-0.018860
2018-Feb-07,0.027441
2018-Feb-08,-0.013467
2018-Feb-09,0.029317
2018-Feb-12,-0.010903
2018-Feb-13,-0.010124
2018-Feb-15,-0.034567
2018-Feb-16,0.019188
2018-Feb-19,-0.018126
2018-Feb-21,0.007838
2018-Feb-22,0.031158
2018-Feb-23,-0.029139
2018-Mar-02,-0.008842
2018-Mar-05,0.007315
2018-Mar-06,-0.003764
2018-Mar-07,-0.008356
2018-Mar-08,-0.020663
2018-Mar-09,-0.004485
2018-Mar-12,-0.000874
2018-Mar-13,-0.003129
2018-Mar-16,-0.001296
2018-Mar-19,-0.003290
2018-Mar-20,0.002511
2018-Mar-21,-0.000139
2018-Mar-22,0.007793
2018-Mar-26,-0.009114
2018-Mar-27,0.003344
2018-Mar-29,0.013498
2018-Mar-30,-0.004636
2018-Apr-02,0.008585
2018-Apr-03,-0.011772
2018-Apr-04,0.012691
2018-Apr-05,-0.002760
2018-Apr-06,0.015879
2018-Apr-10,0.006026
2018-Apr-11,0.031963
2018-Apr-13,-0.000729
2018-Apr-16,-0.015541
2018-Apr-17,-0.033710
2018-Apr-19,-0.002708
2018-Apr-20,-0.007014
2018-Apr-23,-0.006243
2018-Apr-26,-0.029999
2018-Apr-27,-0.004868
2018-May-02,0.000344
2018-May-03,-0.022620
2018-May-04,0.006239
2018-May-07,-0.004050
2018-May-08,-0.011446
2018-May-09,-0.017927
2018-May-10,0.006309
2018-May-11,-0.013207
2018-May-14,-0.030152
2018-May-15,0.020189
2018-May-16,-0.000263
2018-May-18,0.000000
2018-May-21,0.000695
2018-May-22,0.014535
2018-May-23,0.004530
2018-May-24,-0.017146
2018-May-28,-0.023634
2018-May-29,0.005410
2018-May-30,0.002609
2018-May-31,-0.004770
2018-Jun-01,0.010349
2018-Jun-05,0.000000
2018-Jun-06,0.000601
2018-Jun-07,0.007591
2018-Jun-12,-0.030081
2018-Jun-13,-0.006147
2018-Jun-14,-0.029238
2018-Jun-19,0.001448
2018-Jun-20,0.002834
2018-Jun-21,-0.002480
2018-Jun-22,-0.004683
2018-Jun-25,-0.001336
2018-Jun-26,0.000465
2018-Jun-27,0.042267
2018-Jun-28,0.008646
2018-Jun-29,0.032850
2018-Jul-02,-0.034697
2018-Jul-04,-0.044248
2018-Jul-09,-0.034980
2018-Jul-11,-0.015317
2018-Jul-12,0.011696
2018-Jul-13,0.000000
2018-Jul-16,-0.040462
2018-Jul-17,0.041024
2018-Jul-18,0.028355
2018-Jul-19,-0.029543
2018-Jul-20,-0.027253
2018-Jul-24,-0.016989
2018-Jul-26,0.007762
2018-Jul-27,0.017390
2018-Jul-30,0.049976
2018-Jul-31,0.003549
2018-Aug-01,-0.010496
2018-Aug-02,-0.006637
2018-Aug-03,0.008280
2018-Aug-06,0.002435
2018-Aug-07,-0.000565
2018-Aug-08,-0.014754
2018-Aug-09,0.015549
2018-Aug-10,0.002203
2018-Aug-13,-0.013473
2018-Aug-15,0.010629
2018-Aug-16,-0.022051
2018-Aug-17,0.025786
2018-Aug-27,-0.004310
2018-Aug-28,-0.011833
2018-Aug-29,0.002453
2018-Aug-30,-0.031290
2018-Aug-31,-0.013293
2018-Sep-07,-0.004397
2018-Sep-12,-0.032483
2018-Sep-14,0.031173
2018-Sep-18,0.006993
2018-Sep-24,-0.038340
2018-Oct-01,-0.031771
2018-Oct-03,-0.017810
2018-Oct-08,-0.049993
2018-Oct-09,-0.030817
2018-Oct-12,-0.049956
2018-Oct-15,-0.021526
2018-Oct-17,0.029946
2018-Oct-18,0.049928
2018-Oct-19,0.049976
2018-Oct-24,0.046523
2018-Oct-25,0.038747
2018-Oct-29,0.034105
2018-Oct-30,-0.020588
2018-Nov-01,0.008201
2018-Nov-02,0.034802
2018-Nov-05,-0.014303
2018-Nov-06,-0.013007
2018-Nov-07,0.023179
2018-Nov-09,0.013034
2018-Nov-12,-0.026961
2018-Nov-15,0.005110
2018-Nov-16,0.005151
2018-Nov-19,-0.005124
2018-Nov-20,-0.005351
2018-Nov-22,0.004976
2018-Nov-23,0.001740
2018-Nov-26,0.002004
2018-Nov-27,-0.003333
2018-Nov-28,-0.011237
2018-Nov-29,-0.007239
2018-Dec-04,0.021739
2018-Dec-05,0.007801
2018-Dec-06,-0.007741
2018-Dec-07,0.021277
2018-Dec-10,0.020833
2018-Dec-11,0.000000
2018-Dec-12,0.006803
2018-Dec-13,0.004595
2018-Dec-18,0.006667
2018-Dec-19,0.002119
2018-Dec-20,0.016786
2018-Dec-26,0.001824
2018-Dec-27,0.001105
2018-Dec-28,0.023312
2018-Dec-31,-0.023986
2019-Jan-07,-0.022089
2019-Jan-08,0.035532
2019-Jan-14,0.017237
2019-Jan-15,-0.022765
2019-Jan-17,0.000067
2019-Jan-18,0.001536
2019-Jan-21,-0.014067
2019-Jan-22,0.000947
2019-Jan-23,0.003243
2019-Jan-24,0.010033
2019-Jan-28,0.000000
2019-Jan-29,0.000000
2019-Jan-30,0.033000
2019-Jan-31,-0.021813
2019-Feb-04,-0.006382
2019-Feb-06,-0.000199
2019-Feb-07,-0.005828
2019-Feb-08,-0.010325
2019-Feb-12,-0.003837
2019-Feb-13,-0.013514
2019-Feb-14,-0.022534
2019-Feb-18,-0.013986
2019-Feb-19,-0.014113
2019-Feb-26,-0.000071
2019-Feb-27,-0.034153
2019-Mar-01,0.040898
2019-Mar-07,-0.024648
2019-Mar-14,-0.030299
2019-Mar-15,-0.011082
2019-Mar-20,0.002121
2019-Mar-22,0.011716
2019-Mar-27,0.038741
2019-Apr-09,-0.046746
2019-Apr-10,-0.009030
2019-Apr-12,0.044776
2019-Apr-16,-0.008786
2019-Apr-26,0.017436
2019-Apr-29,-0.013634
2019-May-09,0.000000
2019-May-10,-0.008614
2019-May-14,-0.049783
2019-May-15,-0.016540
2019-May-20,-0.000902
2019-May-21,0.000000
2019-May-22,0.049965
2019-May-23,0.049976
2019-May-24,0.049873
2019-May-28,0.000000
2019-Jun-11,-0.045273
2019-Jun-12,0.000000
2019-Jun-13,0.049990
2019-Jun-14,0.047429
2019-Jun-17,-0.025368
2019-Jun-20,0.000000
2019-Jun-26,-0.047887
2019-Jun-28,-0.030429
2019-Jul-01,0.019490
2019-Jul-03,0.049706
2019-Jul-08,0.000000
2019-Jul-12,-0.005600
2019-Jul-15,-0.044650
2019-Jul-18,-0.038842
2019-Jul-29,-0.015545
2019-Jul-30,-0.005560
2019-Jul-31,-0.012636
2019-Aug-07,-0.016232
2019-Aug-16,-0.044250
2019-Aug-19,0.046299
2019-Aug-20,0.041750
2019-Aug-21,0.012239
2019-Aug-22,0.049905
2019-Aug-23,0.043243
2019-Aug-28,-0.047944
2019-Sep-11,0.000000
2019-Sep-17,-0.024816
2019-Sep-19,0.012377
2019-Sep-20,0.010528
2019-Sep-23,0.000000
2019-Sep-25,0.023000
2019-Oct-01,-0.004225
2019-Oct-03,0.009375
2019-Oct-09,-0.008314
2019-Oct-10,0.015859
2019-Oct-11,0.012031
2019-Oct-14,0.018962
2019-Oct-15,-0.018031
2019-Oct-18,-0.000588
2019-Oct-21,-0.049510
2019-Oct-22,0.024755
2019-Oct-23,-0.048717
2019-Oct-24,-0.010687
2019-Oct-25,0.015294
2019-Oct-28,-0.006952
2019-Oct-29,-0.002970
2019-Oct-30,0.025747
2019-Nov-01,0.016596
2019-Nov-04,0.018672
2019-Nov-06,0.049976
2019-Nov-07,-0.020109
2019-Nov-08,0.000000
2019-Nov-11,0.036713
2019-Nov-12,0.004540
2019-Nov-13,0.018078
2019-Nov-14,0.049987
2019-Nov-15,0.049975
2019-Nov-18,0.023275
2019-Nov-19,0.037463
2019-Nov-20,0.013883
2019-Nov-21,-0.020202
2019-Nov-22,0.049943
2019-Nov-25,0.049967
2019-Nov-26,0.049945
2019-Nov-27,0.049944
2019-Nov-28,0.049956
2019-Nov-29,0.049973
2019-Dec-02,0.049989
2019-Dec-03,0.049997
2019-Dec-04,0.049995
2019-Dec-05,0.049978
2019-Dec-06,0.049991
2019-Dec-09,-0.001563
2019-Dec-10,-0.019369
2019-Dec-11,0.040188
2019-Dec-12,0.010481
2019-Dec-16,0.049996
2019-Dec-17,0.049990
2019-Dec-18,0.029248
2019-Dec-19,-0.037691
2019-Dec-20,0.044934
2019-Dec-24,0.007791
2019-Dec-30,0.049962
2020-Jan-01,0.020121
2020-Jan-02,-0.011375
2020-Jan-03,0.044070
2020-Jan-06,0.013882
2020-Jan-07,-0.015642
2020-Jan-09,0.049981
2020-Jan-10,-0.009365
2020-Jan-13,-0.027932
2020-Jan-14,-0.023634
2020-Jan-15,-0.044653
2020-Jan-16,-0.016367
2020-Jan-17,0.025319
2020-Jan-20,0.003979
2020-Jan-21,0.051601
2020-Jan-22,-0.031444
2020-Jan-23,-0.006867
