Date,Returns
2017-Nov-10,-0.038875
2017-Nov-13,0.036118
2017-Nov-15,-0.034855
2017-Nov-16,0.007856
2017-Nov-24,0.003644
2017-Nov-30,-0.039924
2017-Dec-05,0.015385
2017-Dec-06,-0.015152
2017-Dec-07,-0.020269
2017-Dec-08,0.030503
2017-Dec-11,-0.024286
2017-Dec-12,0.020986
2017-Dec-18,-0.009615
2017-Dec-19,0.000330
2017-Dec-20,-0.029447
2017-Dec-21,0.000000
2017-Dec-22,0.027980
2017-Dec-26,0.000000
2017-Dec-27,0.031148
2017-Dec-28,0.036321
2017-Dec-29,0.030806
2018-Jan-02,-0.031210
2018-Jan-04,-0.015497
2018-Jan-05,0.047759
2018-Jan-10,-0.003479
2018-Jan-11,0.004406
2018-Jan-12,-0.024164
2018-Jan-16,0.001905
2018-Jan-18,-0.001901
2018-Jan-19,0.028571
2018-Jan-22,0.020370
2018-Jan-23,-0.017949
2018-Jan-24,-0.018684
2018-Jan-25,0.005028
2018-Jan-26,0.002492
2018-Jan-29,-0.004860
2018-Jan-30,-0.002630
2018-Jan-31,0.045198
2018-Feb-01,-0.007207
2018-Feb-02,0.031615
2018-Feb-06,-0.006017
2018-Feb-07,0.000000
2018-Feb-08,-0.026549
2018-Feb-09,-0.026091
2018-Feb-12,0.009054
2018-Feb-13,0.021869
2018-Feb-15,-0.039165
2018-Feb-16,0.016730
2018-Feb-19,0.000000
2018-Feb-21,0.000000
2018-Feb-22,0.009273
2018-Feb-23,-0.032607
2018-Mar-02,0.005587
2018-Mar-05,-0.007407
2018-Mar-06,0.009328
2018-Mar-07,0.004159
2018-Mar-08,0.001381
2018-Mar-09,0.011029
2018-Mar-12,-0.003636
2018-Mar-13,0.003650
2018-Mar-16,0.009009
2018-Mar-19,0.011607
2018-Mar-20,-0.024554
2018-Mar-21,-0.013735
2018-Mar-22,-0.005505
2018-Mar-26,-0.012915
2018-Mar-27,-0.014879
2018-Mar-29,-0.003966
2018-Mar-30,0.000095
2018-Apr-02,0.048914
2018-Apr-03,-0.000636
2018-Apr-04,0.000418
2018-Apr-05,0.008373
2018-Apr-06,0.003296
2018-Apr-10,0.005206
2018-Apr-11,0.018039
2018-Apr-13,-0.001606
2018-Apr-16,-0.032612
2018-Apr-17,0.006528
2018-Apr-19,0.012793
2018-Apr-20,0.008596
2018-Apr-23,-0.001583
2018-Apr-26,0.010471
2018-Apr-27,0.050000
2018-May-02,-0.021751
2018-May-03,-0.019317
2018-May-04,0.014261
2018-May-07,-0.002900
2018-May-08,0.003268
2018-May-09,-0.007085
2018-May-10,0.000673
2018-May-11,-0.000016
2018-May-14,-0.000246
2018-May-15,-0.008001
2018-May-16,0.008231
2018-May-18,0.000656
2018-May-21,0.000000
2018-May-22,-0.000655
2018-May-23,-0.003279
2018-May-24,0.000789
2018-May-28,0.009072
2018-May-29,-0.004886
2018-May-30,-0.009820
2018-May-31,0.000083
2018-Jun-01,-0.004859
2018-Jun-05,0.004800
2018-Jun-06,-0.000182
2018-Jun-07,-0.002959
2018-Jun-12,-0.045764
2018-Jun-13,0.007802
2018-Jun-14,-0.035328
2018-Jun-19,-0.008043
2018-Jun-20,0.008649
2018-Jun-21,-0.035370
2018-Jun-22,-0.015741
2018-Jun-25,-0.020696
2018-Jun-26,-0.009952
2018-Jun-27,-0.000621
2018-Jun-28,-0.007767
2018-Jun-29,-0.001957
2018-Jul-02,-0.050000
2018-Jul-04,-0.009691
2018-Jul-09,-0.011011
2018-Jul-11,-0.024703
2018-Jul-12,0.003100
2018-Jul-13,0.014773
2018-Jul-16,-0.018992
2018-Jul-17,-0.027305
2018-Jul-18,0.027273
2018-Jul-19,0.003016
2018-Jul-20,-0.036082
2018-Jul-24,0.048067
2018-Jul-26,-0.007892
2018-Jul-27,0.001523
2018-Jul-30,0.032519
2018-Jul-31,0.032967
2018-Aug-01,-0.050000
2018-Aug-02,0.007839
2018-Aug-03,0.002156
2018-Aug-06,-0.010289
2018-Aug-07,-0.014182
2018-Aug-08,0.000000
2018-Aug-09,0.025000
2018-Aug-10,-0.024102
2018-Aug-13,-0.000295
2018-Aug-15,0.000000
2018-Aug-16,0.007955
2018-Aug-17,0.030440
2018-Aug-27,0.000000
2018-Aug-28,-0.021882
2018-Aug-29,0.017897
2018-Aug-30,-0.008747
2018-Aug-31,0.002173
2018-Sep-07,0.000000
2018-Sep-12,0.016355
2018-Sep-14,-0.028713
2018-Sep-18,0.048278
2018-Sep-24,0.000000
2018-Oct-01,-0.023810
2018-Oct-03,-0.000626
2018-Oct-08,-0.017857
2018-Oct-09,-0.006061
2018-Oct-12,-0.015544
2018-Oct-15,-0.042105
2018-Oct-17,0.046292
2018-Oct-18,0.045703
2018-Oct-19,0.048732
2018-Oct-24,-0.002294
2018-Oct-25,-0.022989
2018-Oct-29,-0.036565
2018-Oct-30,0.000000
2018-Nov-01,0.036316
2018-Nov-02,0.039380
2018-Nov-05,0.016529
2018-Nov-06,-0.003636
2018-Nov-07,-0.001567
2018-Nov-09,0.000000
2018-Nov-12,-0.002242
2018-Nov-15,0.033011
2018-Nov-16,-0.011928
2018-Nov-19,0.012613
2018-Nov-20,-0.006339
2018-Nov-22,0.007275
2018-Nov-23,0.000000
2018-Nov-26,-0.034067
2018-Nov-27,-0.006925
2018-Nov-28,0.000788
2018-Nov-29,0.005394
2018-Dec-04,0.035271
2018-Dec-05,-0.042410
2018-Dec-06,0.020578
2018-Dec-07,0.008535
2018-Dec-10,-0.020753
2018-Dec-11,-0.034544
2018-Dec-12,-0.024390
2018-Dec-13,0.000000
2018-Dec-18,0.012500
2018-Dec-19,-0.014815
2018-Dec-20,0.002506
2018-Dec-26,0.000000
2018-Dec-27,0.000000
2018-Dec-28,-0.049999
2018-Dec-31,0.038752
