Date,Returns
2017-Nov-10,0.000247
2017-Nov-13,0.000000
2017-Nov-15,-0.006667
2017-Nov-16,0.000746
2017-Nov-24,0.002459
2017-Nov-30,0.021519
2017-Dec-05,0.000250
2017-Dec-06,0.000000
2017-Dec-07,-0.046250
2017-Dec-08,0.013106
2017-Dec-11,-0.002846
2017-Dec-12,-0.007525
2017-Dec-18,0.013479
2017-Dec-19,-0.021581
2017-Dec-20,0.031803
2017-Dec-21,0.029083
2017-Dec-22,0.005314
2017-Dec-26,0.006968
2017-Dec-27,0.013362
2017-Dec-28,-0.010360
2017-Dec-29,0.011182
2018-Jan-02,0.039098
2018-Jan-04,0.011520
2018-Jan-05,0.001095
2018-Jan-10,0.041601
2018-Jan-11,-0.007730
2018-Jan-12,-0.000433
2018-Jan-16,0.011507
2018-Jan-18,0.000429
2018-Jan-19,0.020811
2018-Jan-22,-0.003153
2018-Jan-23,-0.011174
2018-Jan-24,-0.008102
2018-Jan-25,-0.007954
2018-Jan-26,-0.003684
2018-Jan-29,0.049804
2018-Jan-30,0.014709
2018-Jan-31,-0.018375
2018-Feb-01,0.001456
2018-Feb-02,-0.005607
2018-Feb-06,-0.013367
2018-Feb-07,0.016300
2018-Feb-08,-0.008332
2018-Feb-09,0.014283
2018-Feb-12,-0.022365
2018-Feb-13,0.026689
2018-Feb-15,0.000414
2018-Feb-16,0.017156
2018-Feb-19,-0.011583
2018-Feb-21,-0.007602
2018-Feb-22,-0.003727
2018-Feb-23,-0.001663
2018-Mar-02,-0.010432
2018-Mar-05,-0.005903
2018-Mar-06,0.018452
2018-Mar-07,0.000625
2018-Mar-08,0.005203
2018-Mar-09,0.014700
2018-Mar-12,0.007958
2018-Mar-13,0.004453
2018-Mar-16,0.000791
2018-Mar-19,-0.031238
2018-Mar-20,0.029388
2018-Mar-21,0.016653
2018-Mar-22,0.004290
2018-Mar-26,-0.008932
2018-Mar-27,0.009404
2018-Mar-29,0.010008
2018-Mar-30,0.006669
2018-Apr-02,-0.030854
2018-Apr-03,0.018750
2018-Apr-04,0.038919
2018-Apr-05,0.009965
2018-Apr-06,-0.014434
2018-Apr-10,-0.010722
2018-Apr-11,-0.008937
2018-Apr-13,-0.004810
2018-Apr-16,-0.007347
2018-Apr-17,0.012661
2018-Apr-19,0.033660
2018-Apr-20,0.002791
2018-Apr-23,0.013546
2018-Apr-26,0.013395
2018-Apr-27,-0.005853
2018-May-02,0.002121
2018-May-03,-0.009234
2018-May-04,0.000000
2018-May-07,-0.014369
2018-May-08,-0.017336
2018-May-09,0.009623
2018-May-10,-0.007149
2018-May-11,-0.000400
2018-May-14,-0.019208
2018-May-15,-0.006528
2018-May-16,-0.001232
2018-May-18,-0.003326
2018-May-21,-0.008551
2018-May-22,0.023349
2018-May-23,0.015211
2018-May-24,0.014375
2018-May-28,0.011173
2018-May-29,0.008682
2018-May-30,0.013693
2018-May-31,0.017175
2018-Jun-01,-0.012521
2018-Jun-05,0.005570
2018-Jun-06,0.023080
2018-Jun-07,-0.001624
2018-Jun-12,0.011027
2018-Jun-13,-0.000536
2018-Jun-14,-0.001610
2018-Jun-19,0.003763
2018-Jun-20,-0.043734
2018-Jun-21,-0.005973
2018-Jun-22,-0.004695
2018-Jun-25,-0.014151
2018-Jun-26,0.012057
2018-Jun-27,0.020991
2018-Jun-28,-0.012410
2018-Jun-29,-0.019317
2018-Jul-02,-0.004399
2018-Jul-04,-0.015640
2018-Jul-09,-0.022304
2018-Jul-11,0.045004
2018-Jul-12,0.008348
2018-Jul-13,0.047225
2018-Jul-16,0.004671
2018-Jul-17,-0.000179
2018-Jul-18,0.004829
2018-Jul-19,0.019046
2018-Jul-20,-0.008035
2018-Jul-24,-0.003522
2018-Jul-26,0.016081
2018-Jul-27,0.007826
2018-Jul-30,0.017084
2018-Jul-31,-0.034951
2018-Aug-01,-0.009142
2018-Aug-02,0.002839
2018-Aug-03,0.001769
2018-Aug-06,-0.002119
2018-Aug-07,-0.011858
2018-Aug-08,0.010030
2018-Aug-09,-0.001241
2018-Aug-10,-0.006925
2018-Aug-13,0.015734
2018-Aug-15,-0.008273
2018-Aug-16,-0.003372
2018-Aug-17,-0.000534
2018-Aug-27,0.034784
2018-Aug-28,-0.002241
2018-Aug-29,-0.003455
2018-Aug-30,-0.007108
2018-Aug-31,-0.003318
2018-Sep-07,-0.006537
2018-Sep-12,0.000179
2018-Sep-14,-0.123258
2018-Sep-18,0.022077
2018-Sep-24,-0.009600
2018-Oct-01,0.008259
2018-Oct-03,-0.014260
2018-Oct-08,-0.014502
2018-Oct-09,0.021327
2018-Oct-12,-0.025636
2018-Oct-15,-0.024837
2018-Oct-17,0.028255
2018-Oct-18,-0.014162
2018-Oct-19,0.029374
2018-Oct-24,0.035539
2018-Oct-25,0.012125
2018-Oct-29,0.026757
2018-Oct-30,0.011280
2018-Nov-01,-0.006893
2018-Nov-02,0.011567
2018-Nov-05,-0.022298
2018-Nov-06,-0.007018
2018-Nov-07,0.010012
2018-Nov-09,0.004124
2018-Nov-12,-0.010757
2018-Nov-15,0.004926
2018-Nov-16,-0.006471
2018-Nov-19,-0.003355
2018-Nov-20,-0.000990
2018-Nov-22,-0.013875
2018-Nov-23,0.001005
2018-Nov-26,0.003213
2018-Nov-27,0.000000
2018-Nov-28,-0.007206
2018-Nov-29,0.001411
2018-Dec-04,-0.005821
2018-Dec-05,-0.001817
2018-Dec-06,-0.027710
2018-Dec-07,0.011234
2018-Dec-10,0.011315
2018-Dec-11,-0.018308
2018-Dec-12,-0.013676
2018-Dec-13,-0.013025
2018-Dec-18,-0.013655
2018-Dec-19,-0.005538
2018-Dec-20,-0.012637
2018-Dec-26,-0.002827
2018-Dec-27,-0.043393
2018-Dec-28,-0.035104
2018-Dec-31,-0.041106
2019-Jan-07,0.025294
2019-Jan-08,0.004679
2019-Jan-14,0.003586
2019-Jan-15,0.003574
2019-Jan-17,-0.002550
2019-Jan-18,0.010015
2019-Jan-21,0.008650
2019-Jan-22,0.010040
2019-Jan-23,0.001657
2019-Jan-24,0.006822
2019-Jan-28,-0.006575
2019-Jan-29,-0.001655
2019-Jan-30,-0.007458
2019-Jan-31,0.020664
2019-Feb-04,0.010363
2019-Feb-06,-0.006114
2019-Feb-07,0.003572
2019-Feb-08,-0.027289
2019-Feb-12,-0.001669
2019-Feb-13,0.016506
2019-Feb-14,-0.014388
2019-Feb-18,-0.016524
2019-Feb-19,-0.023024
2019-Feb-26,-0.006214
2019-Feb-27,-0.000625
2019-Mar-01,-0.007843
2019-Mar-07,-0.011587
2019-Mar-14,-0.000645
2019-Mar-15,-0.016566
2019-Mar-20,0.009670
2019-Mar-22,0.028528
2019-Mar-27,0.005957
2019-Apr-09,0.004012
2019-Apr-10,-0.028191
2019-Apr-12,0.009955
2019-Apr-16,-0.005963
2019-Apr-26,0.005152
2019-Apr-29,0.002897
2019-May-09,-0.005525
2019-May-10,-0.010000
2019-May-14,0.012924
2019-May-15,0.021189
2019-May-20,0.009236
2019-May-21,0.019643
2019-May-22,-0.011602
2019-May-23,0.032558
2019-May-24,-0.003861
2019-May-28,-0.015421
2019-Jun-11,-0.002439
2019-Jun-12,-0.001111
2019-Jun-13,0.012016
2019-Jun-14,0.005937
2019-Jun-17,-0.010055
2019-Jun-20,0.007170
2019-Jun-26,0.006368
2019-Jun-28,-0.009093
2019-Jul-01,0.002753
2019-Jul-03,0.000228
2019-Jul-08,-0.003015
2019-Jul-12,-0.012246
2019-Jul-15,-0.021053
2019-Jul-18,-0.018346
2019-Jul-29,-0.030385
2019-Jul-30,0.013647
2019-Jul-31,0.007479
2019-Aug-07,-0.039320
2019-Aug-16,0.006849
2019-Aug-19,0.047891
2019-Aug-20,0.035316
2019-Aug-21,-0.002257
2019-Aug-22,0.049774
2019-Aug-23,-0.018678
2019-Aug-28,0.007054
2019-Sep-11,0.022722
2019-Sep-17,-0.004903
2019-Sep-19,0.002015
2019-Sep-20,0.018598
2019-Sep-23,0.001480
2019-Sep-25,-0.017254
2019-Oct-01,0.007816
2019-Oct-03,0.010714
2019-Oct-09,0.011557
2019-Oct-10,-0.019265
2019-Oct-11,0.018958
2019-Oct-14,-0.007173
2019-Oct-15,-0.011741
2019-Oct-18,-0.006885
2019-Oct-21,-0.014098
2019-Oct-22,-0.010783
2019-Oct-23,-0.002370
2019-Oct-24,0.013777
2019-Oct-25,0.005155
2019-Oct-28,-0.014219
2019-Oct-29,-0.011587
2019-Oct-30,-0.007177
2019-Nov-01,0.028675
2019-Nov-04,0.004451
2019-Nov-06,0.012198
2019-Nov-07,-0.002549
2019-Nov-08,0.000000
2019-Nov-11,0.037175
2019-Nov-12,-0.003360
2019-Nov-13,0.003147
2019-Nov-14,0.001793
2019-Nov-15,-0.002684
2019-Nov-18,0.018390
2019-Nov-19,-0.002643
2019-Nov-20,-0.009494
2019-Nov-21,-0.019171
2019-Nov-22,0.007727
2019-Nov-25,0.000451
2019-Nov-26,0.004734
2019-Nov-27,0.005385
2019-Nov-28,-0.005356
2019-Nov-29,0.024007
2019-Dec-02,0.048422
2019-Dec-03,0.006061
2019-Dec-04,0.000000
2019-Dec-05,0.000208
2019-Dec-06,-0.015784
2019-Dec-09,-0.004009
2019-Dec-10,-0.007203
2019-Dec-11,-0.000640
2019-Dec-12,-0.002349
2019-Dec-16,-0.007253
2019-Dec-17,-0.003653
2019-Dec-18,-0.000647
2019-Dec-19,-0.011221
2019-Dec-20,0.002619
2019-Dec-24,-0.007253
2019-Dec-30,-0.006442
2020-Jan-01,0.022757
2020-Jan-02,0.034232
2020-Jan-03,-0.001034
2020-Jan-06,-0.022986
2020-Jan-07,0.013777
2020-Jan-09,0.035289
2020-Jan-10,0.038322
2020-Jan-13,0.029332
2020-Jan-14,-0.000566
2020-Jan-15,-0.009252
2020-Jan-16,0.000191
2020-Jan-17,-0.004002
2020-Jan-20,0.010140
2020-Jan-21,0.003220
2020-Jan-22,-0.012082
2020-Jan-23,0.008408
2020-Jan-24,-0.010423
2020-Jan-27,-0.008617
2020-Jan-28,0.000000
2020-Jan-29,0.002511
2020-Jan-31,-0.027626
2020-Feb-06,0.020619
2020-Feb-11,0.018308
2020-Feb-12,0.021492
2020-Feb-13,0.004653
2020-Feb-19,0.025272
2020-Feb-24,-0.021102
2020-Feb-27,-0.005497
2020-Feb-28,-0.001063
2020-Mar-02,0.027878
2020-Mar-03,0.003727
2020-Mar-05,-0.038831
2020-Mar-11,0.038095
2020-Mar-12,-0.041620
2020-Mar-30,-0.021152
2020-Apr-01,0.006602
2020-Apr-09,0.048538
2020-Apr-13,-0.036326
2020-Apr-15,-0.027733
2020-Apr-24,-0.013358
2020-May-04,-0.009625
2020-May-07,0.002314
2020-May-14,-0.006894
2020-May-21,-0.003730
2020-May-29,0.008406
2020-Jun-01,0.009726
2020-Jun-02,0.074991
2020-Jun-03,0.031040
2020-Jun-04,-0.005276
2020-Jun-08,0.002208
2020-Jun-09,0.009440
2020-Jun-10,0.072943
2020-Jun-11,-0.007554
2020-Jun-12,-0.009953
2020-Jun-15,-0.017741
2020-Jun-16,-0.015352
2020-Jun-18,-0.001508
2020-Jun-22,-0.006787
2020-Jun-24,-0.009403
2020-Jun-26,-0.038150
2020-Jun-29,0.038413
2020-Jun-30,0.009624
2020-Jul-02,0.002460
2020-Jul-03,0.028528
2020-Jul-06,-0.013719
2020-Jul-07,0.038706
2020-Jul-08,0.005531
2020-Jul-09,0.057325
2020-Jul-10,-0.008215
2020-Jul-13,-0.006626
2020-Jul-15,0.011008
2020-Jul-16,-0.014517
2020-Jul-17,0.003399
2020-Jul-20,0.022304
2020-Jul-21,0.009390
2020-Jul-23,-0.006643
2020-Jul-24,0.038172
2020-Jul-27,0.001879
2020-Jul-28,0.014733
2020-Jul-29,-0.008712
2020-Jul-30,-0.007457
2020-Aug-03,0.023611
2020-Aug-04,-0.019659
2020-Aug-07,0.009539
