Date,Returns
2017-Nov-10,0.018647
2017-Nov-13,0.003838
2017-Nov-15,0.003412
2017-Nov-16,-0.002070
2017-Nov-24,0.024122
2017-Nov-30,0.049916
2017-Dec-05,-0.024086
2017-Dec-06,-0.009437
2017-Dec-07,-0.049978
2017-Dec-08,-0.028695
2017-Dec-11,-0.044632
2017-Dec-12,-0.008645
2017-Dec-18,-0.043703
2017-Dec-19,0.011687
2017-Dec-20,0.001034
2017-Dec-21,0.000689
2017-Dec-22,0.037177
2017-Dec-26,-0.008629
2017-Dec-27,0.001004
2017-Dec-28,0.003846
2017-Dec-29,0.034983
2018-Jan-02,0.030259
2018-Jan-04,-0.029370
2018-Jan-05,0.016900
2018-Jan-10,0.022072
2018-Jan-11,-0.013809
2018-Jan-12,-0.027410
2018-Jan-16,0.011892
2018-Jan-18,0.029457
2018-Jan-19,0.002076
2018-Jan-22,0.020269
2018-Jan-23,-0.003335
2018-Jan-24,-0.001891
2018-Jan-25,-0.014869
2018-Jan-26,0.005475
2018-Jan-29,-0.049890
2018-Jan-30,-0.009294
2018-Jan-31,0.008443
2018-Feb-01,0.003876
2018-Feb-02,0.003707
2018-Feb-06,-0.025696
2018-Feb-07,0.010265
2018-Feb-08,0.008129
2018-Feb-09,0.049620
2018-Feb-12,0.004580
2018-Feb-13,0.000000
2018-Feb-15,-0.049774
2018-Feb-16,0.000000
2018-Feb-19,-0.003333
2018-Feb-21,-0.003006
2018-Feb-22,0.006031
2018-Feb-23,0.020192
2018-Mar-02,-0.008462
2018-Mar-05,-0.006769
2018-Mar-06,-0.017778
2018-Mar-07,-0.013424
2018-Mar-08,-0.006268
2018-Mar-09,0.012308
2018-Mar-12,-0.008663
2018-Mar-13,-0.003526
2018-Mar-16,0.044742
2018-Mar-19,-0.034584
2018-Mar-20,-0.011738
2018-Mar-21,0.002622
2018-Mar-22,-0.006154
2018-Mar-26,0.038080
2018-Mar-27,0.013868
2018-Mar-29,0.006863
2018-Mar-30,0.049933
2018-Apr-02,0.033446
2018-Apr-03,-0.012017
2018-Apr-04,-0.018659
2018-Apr-05,0.035211
2018-Apr-06,-0.015782
2018-Apr-10,0.049958
2018-Apr-11,0.005404
2018-Apr-13,0.000810
2018-Apr-16,-0.021179
2018-Apr-17,0.010750
2018-Apr-19,-0.020180
2018-Apr-20,-0.011968
2018-Apr-23,0.007042
2018-Apr-26,0.005895
2018-Apr-27,0.005302
2018-May-02,-0.012328
2018-May-03,-0.005957
2018-May-04,-0.004138
2018-May-07,-0.010890
2018-May-08,-0.037230
2018-May-09,-0.011285
2018-May-10,0.006544
2018-May-11,-0.002268
2018-May-14,-0.019700
2018-May-15,-0.008502
2018-May-16,0.013564
2018-May-18,-0.017312
2018-May-21,0.004482
2018-May-22,0.014769
2018-May-23,-0.018951
2018-May-24,0.002936
2018-May-28,-0.005955
2018-May-29,-0.001536
2018-May-30,0.003231
2018-May-31,0.007821
2018-Jun-01,-0.005782
2018-Jun-05,-0.002506
2018-Jun-06,-0.006207
2018-Jun-07,-0.022305
2018-Jun-12,-0.004867
2018-Jun-13,-0.010393
2018-Jun-14,0.031042
2018-Jun-19,-0.000150
2018-Jun-20,-0.008390
2018-Jun-21,-0.024475
2018-Jun-22,-0.034226
2018-Jun-25,-0.026139
2018-Jun-26,0.004446
2018-Jun-27,0.002459
2018-Jun-28,0.013900
2018-Jun-29,0.024194
2018-Jul-02,0.010394
2018-Jul-04,-0.040845
2018-Jul-09,-0.020854
2018-Jul-11,-0.010591
2018-Jul-12,0.008029
2018-Jul-13,0.038230
2018-Jul-16,-0.011422
2018-Jul-17,0.018624
2018-Jul-18,0.032673
2018-Jul-19,0.017049
2018-Jul-20,-0.004836
2018-Jul-24,-0.031908
2018-Jul-26,-0.002510
2018-Jul-27,0.035055
2018-Jul-30,0.038567
2018-Jul-31,-0.031206
2018-Aug-01,0.014978
2018-Aug-02,0.045700
2018-Aug-03,0.029742
2018-Aug-06,0.006926
2018-Aug-07,-0.012293
2018-Aug-08,-0.013780
2018-Aug-09,0.022236
2018-Aug-10,-0.017784
2018-Aug-13,0.007033
2018-Aug-15,0.011441
2018-Aug-16,-0.014397
2018-Aug-17,0.012670
2018-Aug-27,0.027826
2018-Aug-28,0.036379
2018-Aug-29,-0.006122
2018-Aug-30,-0.019986
2018-Aug-31,-0.004470
2018-Sep-07,-0.012239
2018-Sep-12,0.006079
2018-Sep-14,-0.010147
2018-Sep-18,0.012121
2018-Sep-24,-0.028744
2018-Oct-01,0.000160
2018-Oct-03,-0.017713
2018-Oct-08,-0.049867
2018-Oct-09,-0.013586
2018-Oct-12,-0.047005
2018-Oct-15,-0.047867
2018-Oct-17,0.049892
2018-Oct-18,0.036983
2018-Oct-19,0.038454
2018-Oct-24,0.050000
2018-Oct-25,0.006588
2018-Oct-29,0.049888
2018-Oct-30,0.029255
2018-Nov-01,0.007610
2018-Nov-02,-0.014770
2018-Nov-05,-0.026746
2018-Nov-06,-0.002276
2018-Nov-07,0.021053
2018-Nov-09,0.000000
2018-Nov-12,0.034483
2018-Nov-15,0.001669
2018-Nov-16,-0.014000
2018-Nov-19,-0.002705
2018-Nov-20,0.000000
2018-Nov-22,0.036780
2018-Nov-23,-0.002616
2018-Nov-26,0.001147
2018-Nov-27,-0.009496
2018-Nov-28,-0.000826
2018-Nov-29,-0.010918
2018-Dec-04,-0.036687
2018-Dec-05,-0.019427
2018-Dec-06,-0.002158
2018-Dec-07,-0.008846
2018-Dec-10,0.002380
2018-Dec-11,0.009102
2018-Dec-12,-0.005098
2018-Dec-13,0.000197
2018-Dec-18,-0.011512
2018-Dec-19,0.000197
2018-Dec-20,0.001776
2018-Dec-26,0.036107
2018-Dec-27,0.003788
2018-Dec-28,0.016981
2018-Dec-31,0.026160
2019-Jan-07,-0.000939
2019-Jan-08,-0.006579
2019-Jan-14,-0.009434
2019-Jan-15,0.007619
2019-Jan-17,0.000000
2019-Jan-18,0.019231
2019-Jan-21,0.030566
2019-Jan-22,0.017942
2019-Jan-23,-0.004137
2019-Jan-24,-0.025646
2019-Jan-28,-0.011121
2019-Jan-29,-0.004686
2019-Jan-30,-0.001883
2019-Jan-31,0.018868
2019-Feb-04,0.000000
2019-Feb-06,0.014286
2019-Feb-07,-0.030986
2019-Feb-08,-0.000182
2019-Feb-12,0.027174
2019-Feb-13,-0.022700
2019-Feb-14,0.011177
2019-Feb-18,-0.010535
2019-Feb-19,0.012393
2019-Feb-26,-0.049891
2019-Feb-27,-0.027879
2019-Mar-01,0.004729
2019-Mar-07,-0.009901
2019-Mar-14,0.017183
2019-Mar-15,-0.009709
2019-Mar-20,0.000000
2019-Mar-22,-0.009516
2019-Mar-27,0.012079
2019-Apr-09,-0.048980
2019-Apr-10,-0.001073
2019-Apr-12,0.032609
2019-Apr-16,-0.011775
2019-Apr-26,0.017011
2019-Apr-29,-0.010850
2019-May-09,-0.012658
2019-May-10,0.019487
2019-May-14,0.031187
2019-May-15,-0.023902
2019-May-20,0.001358
2019-May-21,0.017092
2019-May-22,0.018138
2019-May-23,-0.009693
2019-May-24,-0.050000
2019-May-28,-0.041452
2019-Jun-11,0.012062
2019-Jun-12,0.050000
2019-Jun-13,0.034607
2019-Jun-14,-0.000268
2019-Jun-17,-0.016060
2019-Jun-20,0.000579
2019-Jun-26,-0.049921
2019-Jun-28,0.038333
2019-Jul-01,-0.033066
2019-Jul-03,0.049968
2019-Jul-08,-0.015156
2019-Jul-12,-0.036597
2019-Jul-15,-0.049650
2019-Jul-18,-0.048571
2019-Jul-29,0.016162
2019-Jul-30,0.013917
2019-Jul-31,0.049412
2019-Aug-07,0.019231
2019-Aug-16,-0.048659
2019-Aug-19,-0.017318
2019-Aug-20,0.050000
2019-Aug-21,0.049180
2019-Aug-22,0.049107
2019-Aug-23,-0.006028
2019-Aug-28,0.015367
2019-Sep-11,-0.005214
2019-Sep-17,0.014766
2019-Sep-19,0.049794
2019-Sep-20,0.029244
2019-Sep-23,-0.043659
2019-Sep-25,-0.022989
2019-Oct-01,0.049818
2019-Oct-03,0.049916
2019-Oct-09,0.050000
2019-Oct-10,0.019643
2019-Oct-11,-0.034151
2019-Oct-14,-0.017830
2019-Oct-15,-0.014769
2019-Oct-18,-0.001802
2019-Oct-21,-0.043622
2019-Oct-22,0.006606
2019-Oct-23,0.050000
2019-Oct-24,-0.014881
2019-Oct-25,-0.025680
2019-Oct-28,0.038760
2019-Oct-29,-0.000299
2019-Oct-30,0.017020
2019-Nov-01,-0.007340
2019-Nov-04,0.042591
2019-Nov-06,0.008671
2019-Nov-07,0.025513
2019-Nov-08,0.000000
2019-Nov-11,0.010546
2019-Nov-12,-0.000803
2019-Nov-13,0.049813
2019-Nov-14,-0.005102
2019-Nov-15,0.026923
2019-Nov-18,0.042197
2019-Nov-19,-0.005989
2019-Nov-20,-0.022897
2019-Nov-21,-0.015787
2019-Nov-22,0.032331
2019-Nov-25,0.049769
2019-Nov-26,0.018501
2019-Nov-27,0.021798
2019-Nov-28,0.050000
2019-Nov-29,0.048466
2019-Dec-02,0.049859
2019-Dec-03,-0.027879
2019-Dec-04,0.020767
2019-Dec-05,-0.023251
2019-Dec-06,-0.010712
2019-Dec-09,-0.008622
2019-Dec-10,-0.008900
2019-Dec-11,0.039184
2019-Dec-12,0.018460
2019-Dec-16,-0.000192
2019-Dec-17,-0.002500
2019-Dec-18,-0.046848
2019-Dec-19,-0.020631
2019-Dec-20,0.020859
