Date,Returns
2017-Nov-10,0.002757
2017-Nov-13,-0.023891
2017-Nov-15,-0.016438
2017-Nov-16,0.009749
2017-Nov-24,-0.017776
2017-Nov-30,-0.009318
2017-Dec-05,-0.004574
2017-Dec-06,-0.009725
2017-Dec-07,-0.026333
2017-Dec-08,0.020173
2017-Dec-11,-0.017492
2017-Dec-12,0.025655
2017-Dec-18,0.000000
2017-Dec-19,-0.026403
2017-Dec-20,0.017401
2017-Dec-21,0.014216
2017-Dec-22,0.049934
2017-Dec-26,0.049958
2017-Dec-27,0.049965
2017-Dec-28,0.044276
2017-Dec-29,0.004802
2018-Jan-02,0.046858
2018-Jan-04,-0.020152
2018-Jan-05,0.015631
2018-Jan-10,0.023866
2018-Jan-11,-0.003842
2018-Jan-12,-0.019628
2018-Jan-16,0.008721
2018-Jan-18,0.059307
2018-Jan-19,0.039501
2018-Jan-22,0.049933
2018-Jan-23,0.014283
2018-Jan-24,0.037452
2018-Jan-25,-0.011015
2018-Jan-26,0.000790
2018-Jan-29,-0.028863
2018-Jan-30,-0.003031
2018-Jan-31,0.017353
2018-Feb-01,0.002989
2018-Feb-02,-0.002980
2018-Feb-06,-0.006925
2018-Feb-07,-0.001174
2018-Feb-08,-0.049971
2018-Feb-09,-0.032488
2018-Feb-12,0.008555
2018-Feb-13,0.006976
2018-Feb-15,-0.001205
2018-Feb-16,0.026062
2018-Feb-19,0.002901
2018-Feb-21,-0.005210
2018-Feb-22,-0.000317
2018-Feb-23,-0.022781
2018-Mar-02,0.047910
2018-Mar-05,-0.005688
2018-Mar-06,-0.001448
2018-Mar-07,-0.027194
2018-Mar-08,-0.020425
2018-Mar-09,-0.010730
2018-Mar-12,0.020462
2018-Mar-13,-0.003015
2018-Mar-16,-0.007109
2018-Mar-19,-0.009049
2018-Mar-20,0.027473
2018-Mar-21,0.001546
2018-Mar-22,0.033102
2018-Mar-26,-0.020539
2018-Mar-27,-0.001678
2018-Mar-29,-0.013682
2018-Mar-30,-0.027441
2018-Apr-02,0.049961
2018-Apr-03,0.001336
2018-Apr-04,-0.011491
2018-Apr-05,-0.006300
2018-Apr-06,0.017509
2018-Apr-10,-0.007894
2018-Apr-11,-0.009927
2018-Apr-13,0.001165
2018-Apr-16,-0.007911
2018-Apr-17,-0.008287
2018-Apr-19,-0.000394
2018-Apr-20,0.007650
2018-Apr-23,0.000704
2018-Apr-26,-0.000630
2018-Apr-27,-0.013552
2018-May-02,0.012236
2018-May-03,-0.000320
2018-May-04,-0.004084
2018-May-07,0.003618
2018-May-08,-0.015783
2018-May-09,-0.047293
2018-May-10,0.014696
2018-May-11,-0.010778
2018-May-14,-0.032176
2018-May-15,0.037819
2018-May-16,0.000000
2018-May-18,-0.014423
2018-May-21,-0.012519
2018-May-22,0.048656
2018-May-23,0.013111
2018-May-24,-0.023277
2018-May-28,-0.007003
2018-May-29,0.021246
2018-May-30,-0.003497
2018-May-31,-0.007895
2018-Jun-01,0.000884
2018-Jun-05,0.003851
2018-Jun-06,-0.004098
2018-Jun-07,-0.000700
2018-Jun-12,-0.053180
2018-Jun-13,-0.007958
2018-Jun-14,0.005317
2018-Jun-19,0.020598
2018-Jun-20,-0.020091
2018-Jun-21,-0.025884
2018-Jun-22,0.000000
2018-Jun-25,-0.038952
2018-Jun-26,-0.018928
2018-Jun-27,-0.010606
2018-Jun-28,0.019398
2018-Jun-29,-0.026239
2018-Jul-02,-0.047825
2018-Jul-04,-0.049983
2018-Jul-09,-0.024936
2018-Jul-11,-0.006856
2018-Jul-12,0.011664
2018-Jul-13,-0.002706
2018-Jul-16,-0.046951
2018-Jul-17,0.020671
2018-Jul-18,0.049964
2018-Jul-19,0.044699
2018-Jul-20,-0.031620
2018-Jul-24,0.006393
2018-Jul-26,0.046625
2018-Jul-27,0.027314
2018-Jul-30,0.030175
2018-Jul-31,-0.049980
2018-Aug-01,-0.004636
2018-Aug-02,-0.010939
2018-Aug-03,-0.011717
2018-Aug-06,0.026260
2018-Aug-07,0.033578
2018-Aug-08,-0.027682
2018-Aug-09,0.019231
2018-Aug-10,0.001581
2018-Aug-13,-0.012839
2018-Aug-15,-0.016205
2018-Aug-16,-0.008453
2018-Aug-17,0.015301
2018-Aug-27,0.006307
2018-Aug-28,-0.007223
2018-Aug-29,-0.049968
2018-Aug-30,-0.025453
2018-Aug-31,-0.016873
2018-Sep-07,-0.043548
2018-Sep-12,-0.005717
2018-Sep-14,0.025723
2018-Sep-18,0.026358
2018-Sep-24,-0.029544
2018-Oct-01,-0.001366
2018-Oct-03,-0.004480
2018-Oct-08,-0.100858
2018-Oct-09,-0.049970
2018-Oct-12,-0.042356
2018-Oct-15,-0.040502
2018-Oct-17,0.049982
2018-Oct-18,-0.015077
2018-Oct-19,0.036120
2018-Oct-24,0.049886
2018-Oct-25,0.048850
2018-Oct-29,0.049962
2018-Oct-30,0.049892
2018-Nov-01,0.029755
2018-Nov-02,0.017312
2018-Nov-05,-0.025025
2018-Nov-06,-0.049795
2018-Nov-07,0.049298
2018-Nov-09,0.002117
2018-Nov-12,-0.036308
2018-Nov-15,0.049980
2018-Nov-16,0.049987
2018-Nov-19,0.038397
2018-Nov-20,0.002534
2018-Nov-22,0.026083
2018-Nov-23,0.021501
2018-Nov-26,-0.013155
2018-Nov-27,-0.045434
2018-Nov-28,-0.029093
2018-Nov-29,-0.008151
2018-Dec-04,-0.023698
2018-Dec-05,-0.029896
2018-Dec-06,-0.026293
2018-Dec-07,0.046312
2018-Dec-10,0.018454
2018-Dec-11,-0.024114
2018-Dec-12,-0.024710
2018-Dec-13,0.002147
2018-Dec-18,0.003571
2018-Dec-19,0.005124
