weighted portfolio variance,weighted portfolio returns
0.009759,0.108750
0.009759,0.109000
0.009759,0.109250
0.009759,0.109500
0.009759,0.109750
0.009759,0.110000
0.009760,0.110250
0.009760,0.110500
0.009760,0.110750
0.009761,0.111000
0.009761,0.111250
0.009762,0.111500
0.009762,0.111750
0.009763,0.112000
0.009763,0.112250
0.009764,0.112500
0.009765,0.112750
0.009765,0.113000
0.009766,0.113250
0.009767,0.113500
0.009768,0.113750
0.009769,0.114000
0.009770,0.114250
0.009771,0.114500
0.009772,0.114750
0.009773,0.115000
0.009774,0.115250
0.009776,0.115500
0.009777,0.115750
0.009778,0.116000
0.009780,0.116250
0.009781,0.116500
0.009783,0.116750
0.009784,0.117000
0.009786,0.117250
0.009787,0.117500
0.009789,0.117750
0.009791,0.118000
0.009792,0.118250
0.009794,0.118500
0.009796,0.118750
0.009798,0.119000
0.009800,0.119250
0.009802,0.119500
0.009804,0.119750
0.009806,0.120000
0.009808,0.120250
0.009811,0.120500
0.009813,0.120750
0.009815,0.121000
0.009818,0.121250
0.009820,0.121500
0.009822,0.121750
0.009825,0.122000
0.009828,0.122250
0.009830,0.122500
0.009833,0.122750
0.009835,0.123000
0.009838,0.123250
0.009841,0.123500
0.009844,0.123750
0.009847,0.124000
0.009850,0.124250
0.009853,0.124500
0.009856,0.124750
0.009859,0.125000
0.009862,0.125250
0.009865,0.125500
0.009868,0.125750
0.009872,0.126000
0.009875,0.126250
0.009878,0.126500
0.009882,0.126750
0.009885,0.127000
0.009889,0.127250
0.009892,0.127500
0.009896,0.127750
0.009900,0.128000
0.009903,0.128250
0.009907,0.128500
0.009911,0.128750
0.009915,0.129000
0.009919,0.129250
0.009923,0.129500
0.009927,0.129750
0.009931,0.130000
0.009935,0.130250
0.009939,0.130500
0.009943,0.130750
0.009948,0.131000
0.009952,0.131250
0.009956,0.131500
0.009961,0.131750
0.009965,0.132000
0.009970,0.132250
0.009974,0.132500
0.009979,0.132750
0.009983,0.133000
0.009988,0.133250
0.009993,0.133500
0.009998,0.133750
0.010002,0.134000
0.010007,0.134250
0.010012,0.134500
0.010017,0.134750
0.010022,0.135000
0.010027,0.135250
0.010033,0.135500
0.010038,0.135750
0.010043,0.136000
0.010048,0.136250
0.010054,0.136500
0.010059,0.136750
0.010064,0.137000
0.010070,0.137250
0.010075,0.137500
0.010081,0.137750
0.010087,0.138000
0.010092,0.138250
0.010098,0.138500
0.010104,0.138750
0.010109,0.139000
0.010115,0.139250
0.010121,0.139500
0.010127,0.139750
0.010133,0.140000
0.010139,0.140250
0.010145,0.140500
0.010151,0.140750
0.010158,0.141000
0.010164,0.141250
0.010170,0.141500
0.010177,0.141750
0.010183,0.142000
0.010189,0.142250
0.010196,0.142500
0.010202,0.142750
0.010209,0.143000
0.010216,0.143250
0.010222,0.143500
0.010229,0.143750
0.010236,0.144000
0.010243,0.144250
0.010250,0.144500
0.010257,0.144750
0.010264,0.145000
0.010271,0.145250
0.010278,0.145500
0.010285,0.145750
0.010292,0.146000
0.010299,0.146250
0.010306,0.146500
0.010314,0.146750
0.010321,0.147000
0.010329,0.147250
0.010336,0.147500
0.010343,0.147750
0.010351,0.148000
0.010359,0.148250
0.010366,0.148500
0.010374,0.148750
0.010382,0.149000
0.010390,0.149250
0.010397,0.149500
0.010405,0.149750
0.010413,0.150000
0.010421,0.150250
0.010429,0.150500
0.010437,0.150750
0.010446,0.151000
0.010454,0.151250
0.010462,0.151500
0.010470,0.151750
0.010479,0.152000
0.010487,0.152250
0.010495,0.152500
0.010504,0.152750
0.010512,0.153000
0.010521,0.153250
0.010530,0.153500
0.010538,0.153750
0.010547,0.154000
0.010556,0.154250
0.010565,0.154500
0.010574,0.154750
0.010582,0.155000
0.010591,0.155250
0.010600,0.155500
0.010610,0.155750
0.010619,0.156000
0.010628,0.156250
0.010637,0.156500
0.010646,0.156750
0.010656,0.157000
0.010665,0.157250
0.010674,0.157500
0.010684,0.157750
0.010693,0.158000
0.010703,0.158250
0.010713,0.158500
0.010722,0.158750
0.010732,0.159000
0.010742,0.159250
0.010751,0.159500
0.010761,0.159750
0.010771,0.160000
0.010781,0.160250
0.010791,0.160500
0.010801,0.160750
0.010811,0.161000
0.010821,0.161250
0.010832,0.161500
0.010842,0.161750
0.010852,0.162000
0.010862,0.162250
0.010873,0.162500
0.010883,0.162750
0.010894,0.163000
0.010904,0.163250
0.010915,0.163500
0.010925,0.163750
0.010936,0.164000
0.010947,0.164250
0.010958,0.164500
0.010968,0.164750
0.010979,0.165000
0.010990,0.165250
0.011001,0.165500
0.011012,0.165750
0.011023,0.166000
0.011034,0.166250
0.011045,0.166500
0.011057,0.166750
0.011068,0.167000
0.011079,0.167250
0.011091,0.167500
0.011102,0.167750
0.011113,0.168000
0.011125,0.168250
0.011136,0.168500
0.011148,0.168750
0.011160,0.169000
0.011171,0.169250
0.011183,0.169500
0.011195,0.169750
0.011207,0.170000
0.011219,0.170250
0.011231,0.170500
0.011243,0.170750
0.011255,0.171000
0.011267,0.171250
0.011279,0.171500
0.011291,0.171750
0.011303,0.172000
0.011315,0.172250
0.011328,0.172500
0.011340,0.172750
0.011353,0.173000
0.011365,0.173250
0.011378,0.173500
0.011390,0.173750
0.011403,0.174000
0.011415,0.174250
0.011428,0.174500
0.011441,0.174750
0.011454,0.175000
0.011467,0.175250
0.011479,0.175500
0.011492,0.175750
0.011505,0.176000
0.011519,0.176250
0.011532,0.176500
0.011545,0.176750
0.011558,0.177000
0.011571,0.177250
0.011585,0.177500
0.011598,0.177750
0.011611,0.178000
0.011625,0.178250
0.011638,0.178500
0.011652,0.178750
0.011665,0.179000
0.011679,0.179250
0.011693,0.179500
0.011706,0.179750
0.011720,0.180000
0.011734,0.180250
0.011748,0.180500
0.011762,0.180750
0.011776,0.181000
0.011790,0.181250
0.011804,0.181500
0.011818,0.181750
0.011832,0.182000
0.011846,0.182250
0.011861,0.182500
0.011875,0.182750
0.011889,0.183000
0.011904,0.183250
0.011918,0.183500
0.011933,0.183750
0.011947,0.184000
0.011962,0.184250
0.011977,0.184500
0.011991,0.184750
0.012006,0.185000
0.012021,0.185250
0.012036,0.185500
0.012051,0.185750
0.012065,0.186000
0.012080,0.186250
0.012096,0.186500
0.012111,0.186750
0.012126,0.187000
0.012141,0.187250
0.012156,0.187500
0.012172,0.187750
0.012187,0.188000
0.012202,0.188250
0.012218,0.188500
0.012233,0.188750
0.012249,0.189000
0.012264,0.189250
0.012280,0.189500
0.012296,0.189750
0.012311,0.190000
0.012327,0.190250
0.012343,0.190500
0.012359,0.190750
0.012375,0.191000
0.012391,0.191250
0.012407,0.191500
0.012423,0.191750
0.012439,0.192000
0.012455,0.192250
0.012471,0.192500
0.012487,0.192750
0.012504,0.193000
0.012520,0.193250
0.012537,0.193500
0.012553,0.193750
0.012570,0.194000
0.012586,0.194250
0.012603,0.194500
0.012619,0.194750
0.012636,0.195000
0.012653,0.195250
0.012670,0.195500
0.012686,0.195750
0.012703,0.196000
0.012720,0.196250
0.012737,0.196500
0.012754,0.196750
0.012771,0.197000
0.012788,0.197250
0.012806,0.197500
0.012823,0.197750
0.012840,0.198000
0.012858,0.198250
0.012875,0.198500
0.012892,0.198750
0.012910,0.199000
0.012927,0.199250
0.012945,0.199500
0.012963,0.199750
0.012980,0.200000
0.012998,0.200250
0.013016,0.200500
0.013034,0.200750
0.013051,0.201000
0.013069,0.201250
0.013087,0.201500
0.013105,0.201750
0.013123,0.202000
0.013141,0.202250
0.013160,0.202500
0.013178,0.202750
0.013196,0.203000
0.013214,0.203250
0.013233,0.203500
0.013251,0.203750
0.013270,0.204000
0.013288,0.204250
0.013307,0.204500
0.013325,0.204750
0.013344,0.205000
0.013363,0.205250
0.013381,0.205500
0.013400,0.205750
0.013419,0.206000
0.013438,0.206250
0.013457,0.206500
0.013476,0.206750
0.013495,0.207000
0.013514,0.207250
0.013533,0.207500
0.013552,0.207750
0.013571,0.208000
0.013591,0.208250
0.013610,0.208500
0.013629,0.208750
0.013649,0.209000
0.013668,0.209250
0.013688,0.209500
0.013707,0.209750
0.013727,0.210000
0.013747,0.210250
0.013766,0.210500
0.013786,0.210750
0.013806,0.211000
0.013826,0.211250
0.013846,0.211500
0.013866,0.211750
0.013886,0.212000
0.013906,0.212250
0.013926,0.212500
0.013946,0.212750
0.013966,0.213000
0.013986,0.213250
0.014007,0.213500
0.014027,0.213750
0.014047,0.214000
0.014068,0.214250
0.014088,0.214500
0.014109,0.214750
0.014129,0.215000
0.014150,0.215250
0.014171,0.215500
0.014191,0.215750
0.014212,0.216000
0.014233,0.216250
0.014254,0.216500
0.014275,0.216750
0.014296,0.217000
0.014317,0.217250
0.014338,0.217500
0.014359,0.217750
0.014380,0.218000
0.014401,0.218250
0.014423,0.218500
0.014444,0.218750
0.014465,0.219000
0.014487,0.219250
0.014508,0.219500
0.014530,0.219750
0.014551,0.220000
0.014573,0.220250
0.014595,0.220500
0.014616,0.220750
0.014638,0.221000
0.014660,0.221250
0.014682,0.221500
0.014704,0.221750
0.014726,0.222000
0.014748,0.222250
0.014770,0.222500
0.014792,0.222750
0.014814,0.223000
0.014836,0.223250
0.014858,0.223500
0.014881,0.223750
0.014903,0.224000
0.014925,0.224250
0.014948,0.224500
0.014970,0.224750
0.014993,0.225000
0.015015,0.225250
0.015038,0.225500
0.015061,0.225750
0.015083,0.226000
0.015106,0.226250
0.015129,0.226500
0.015152,0.226750
0.015175,0.227000
0.015198,0.227250
0.015221,0.227500
0.015244,0.227750
0.015267,0.228000
0.015290,0.228250
0.015313,0.228500
0.015336,0.228750
0.015360,0.229000
0.015383,0.229250
0.015407,0.229500
0.015430,0.229750
0.015454,0.230000
0.015477,0.230250
0.015501,0.230500
0.015524,0.230750
0.015548,0.231000
0.015572,0.231250
0.015596,0.231500
0.015619,0.231750
0.015643,0.232000
0.015667,0.232250
0.015691,0.232500
0.015715,0.232750
0.015739,0.233000
0.015763,0.233250
0.015788,0.233500
0.015812,0.233750
0.015836,0.234000
0.015860,0.234250
0.015885,0.234500
0.015909,0.234750
0.015934,0.235000
0.015958,0.235250
0.015983,0.235500
0.016007,0.235750
0.016032,0.236000
0.016057,0.236250
0.016082,0.236500
0.016106,0.236750
0.016131,0.237000
0.016156,0.237250
0.016181,0.237500
0.016206,0.237750
0.016231,0.238000
0.016256,0.238250
0.016282,0.238500
0.016307,0.238750
0.016332,0.239000
0.016357,0.239250
0.016383,0.239500
0.016408,0.239750
0.016433,0.240000
0.016459,0.240250
0.016485,0.240500
0.016510,0.240750
0.016536,0.241000
0.016561,0.241250
0.016587,0.241500
0.016613,0.241750
0.016639,0.242000
0.016665,0.242250
0.016691,0.242500
0.016717,0.242750
0.016743,0.243000
0.016769,0.243250
0.016795,0.243500
0.016821,0.243750
0.016847,0.244000
0.016874,0.244250
0.016900,0.244500
0.016926,0.244750
0.016953,0.245000
0.016979,0.245250
0.017006,0.245500
0.017032,0.245750
0.017059,0.246000
0.017085,0.246250
0.017112,0.246500
0.017139,0.246750
0.017166,0.247000
0.017193,0.247250
0.017219,0.247500
0.017246,0.247750
0.017273,0.248000
0.017300,0.248250
0.017328,0.248500
0.017355,0.248750
0.017382,0.249000
0.017409,0.249250
0.017436,0.249500
0.017464,0.249750
0.017491,0.250000
0.017519,0.250250
0.017546,0.250500
0.017574,0.250750
0.017601,0.251000
0.017629,0.251250
0.017657,0.251500
0.017684,0.251750
0.017712,0.252000
0.017740,0.252250
0.017768,0.252500
0.017796,0.252750
0.017824,0.253000
0.017852,0.253250
0.017880,0.253500
0.017908,0.253750
0.017936,0.254000
0.017964,0.254250
0.017993,0.254500
0.018021,0.254750
0.018049,0.255000
0.018078,0.255250
0.018106,0.255500
0.018135,0.255750
0.018163,0.256000
0.018192,0.256250
0.018220,0.256500
0.018249,0.256750
0.018278,0.257000
0.018307,0.257250
0.018336,0.257500
0.018364,0.257750
0.018393,0.258000
0.018422,0.258250
0.018451,0.258500
0.018481,0.258750
0.018510,0.259000
0.018539,0.259250
0.018568,0.259500
0.018597,0.259750
0.018627,0.260000
0.018656,0.260250
0.018686,0.260500
0.018715,0.260750
0.018745,0.261000
0.018774,0.261250
0.018804,0.261500
0.018833,0.261750
0.018863,0.262000
0.018893,0.262250
0.018923,0.262500
0.018953,0.262750
0.018983,0.263000
0.019012,0.263250
0.019042,0.263500
0.019073,0.263750
0.019103,0.264000
0.019133,0.264250
0.019163,0.264500
0.019193,0.264750
0.019224,0.265000
0.019254,0.265250
0.019284,0.265500
0.019315,0.265750
0.019345,0.266000
0.019376,0.266250
0.019406,0.266500
0.019437,0.266750
0.019468,0.267000
0.019499,0.267250
0.019529,0.267500
0.019560,0.267750
0.019591,0.268000
0.019622,0.268250
0.019653,0.268500
0.019684,0.268750
0.019715,0.269000
0.019746,0.269250
0.019777,0.269500
0.019809,0.269750
0.019840,0.270000
0.019871,0.270250
0.019903,0.270500
0.019934,0.270750
0.019966,0.271000
0.019997,0.271250
0.020029,0.271500
0.020060,0.271750
0.020092,0.272000
0.020124,0.272250
0.020155,0.272500
0.020187,0.272750
0.020219,0.273000
0.020251,0.273250
0.020283,0.273500
0.020315,0.273750
0.020347,0.274000
0.020379,0.274250
0.020411,0.274500
0.020443,0.274750
0.020476,0.275000
0.020508,0.275250
0.020540,0.275500
0.020573,0.275750
0.020605,0.276000
0.020638,0.276250
0.020670,0.276500
0.020703,0.276750
0.020735,0.277000
0.020768,0.277250
0.020801,0.277500
0.020834,0.277750
0.020867,0.278000
0.020899,0.278250
0.020932,0.278500
0.020965,0.278750
0.020998,0.279000
0.021031,0.279250
0.021065,0.279500
0.021098,0.279750
0.021131,0.280000
0.021164,0.280250
0.021198,0.280500
0.021231,0.280750
0.021264,0.281000
0.021298,0.281250
0.021331,0.281500
0.021365,0.281750
0.021399,0.282000
0.021432,0.282250
0.021466,0.282500
0.021500,0.282750
0.021533,0.283000
0.021567,0.283250
0.021601,0.283500
0.021635,0.283750
0.021669,0.284000
0.021703,0.284250
0.021737,0.284500
0.021771,0.284750
0.021806,0.285000
0.021840,0.285250
0.021874,0.285500
0.021909,0.285750
0.021943,0.286000
0.021977,0.286250
0.022012,0.286500
0.022046,0.286750
0.022081,0.287000
0.022116,0.287250
0.022150,0.287500
0.022185,0.287750
0.022220,0.288000
0.022255,0.288250
0.022289,0.288500
0.022324,0.288750
0.022359,0.289000
0.022394,0.289250
0.022429,0.289500
0.022465,0.289750
0.022500,0.290000
0.022535,0.290250
0.022570,0.290500
0.022606,0.290750
0.022641,0.291000
0.022676,0.291250
0.022712,0.291500
0.022747,0.291750
0.022783,0.292000
0.022818,0.292250
0.022854,0.292500
0.022890,0.292750
0.022926,0.293000
0.022961,0.293250
0.022997,0.293500
0.023033,0.293750
0.023069,0.294000
0.023105,0.294250
0.023141,0.294500
0.023177,0.294750
0.023213,0.295000
0.023249,0.295250
0.023286,0.295500
0.023322,0.295750
0.023358,0.296000
0.023395,0.296250
0.023431,0.296500
0.023468,0.296750
0.023504,0.297000
0.023541,0.297250
0.023577,0.297500
0.023614,0.297750
0.023651,0.298000
0.023688,0.298250
0.023724,0.298500
0.023761,0.298750
0.023798,0.299000
0.023835,0.299250
0.023872,0.299500
0.023909,0.299750
0.023946,0.300000
0.023983,0.300250
0.024021,0.300500
0.024058,0.300750
0.024095,0.301000
0.024133,0.301250
0.024170,0.301500
0.024207,0.301750
0.024245,0.302000
0.024282,0.302250
0.024320,0.302500
0.024358,0.302750
0.024395,0.303000
0.024433,0.303250
0.024471,0.303500
0.024509,0.303750
0.024547,0.304000
0.024585,0.304250
0.024623,0.304500
0.024661,0.304750
0.024699,0.305000
0.024737,0.305250
0.024775,0.305500
0.024813,0.305750
0.024852,0.306000
0.024890,0.306250
0.024928,0.306500
0.024967,0.306750
0.025005,0.307000
0.025044,0.307250
0.025082,0.307500
0.025121,0.307750
0.025160,0.308000
0.025198,0.308250
0.025237,0.308500
0.025276,0.308750
0.025315,0.309000
