Date,Returns
2017-Nov-10,-0.026861
2017-Nov-13,-0.001667
2017-Nov-15,-0.027089
2017-Nov-16,0.012793
2017-Nov-24,0.017086
2017-Nov-30,-0.023053
2017-Dec-05,0.009523
2017-Dec-06,0.004354
2017-Dec-07,-0.033844
2017-Dec-08,0.024088
2017-Dec-11,-0.025981
2017-Dec-12,0.020992
2017-Dec-18,-0.013809
2017-Dec-19,-0.011096
2017-Dec-20,0.009580
2017-Dec-21,0.036254
2017-Dec-22,0.011857
2017-Dec-26,-0.009158
2017-Dec-27,0.016447
2017-Dec-28,-0.010811
2017-Dec-29,-0.005682
2018-Jan-02,0.000321
2018-Jan-04,0.011865
2018-Jan-05,0.006565
2018-Jan-10,0.030366
2018-Jan-11,-0.017057
2018-Jan-12,-0.016908
2018-Jan-16,0.004599
2018-Jan-18,0.033460
2018-Jan-19,0.019819
2018-Jan-22,0.018617
2018-Jan-23,-0.016449
2018-Jan-24,0.001500
2018-Jan-25,-0.004590
2018-Jan-26,-0.002845
2018-Jan-29,-0.007838
2018-Jan-30,-0.005024
2018-Jan-31,0.003854
2018-Feb-01,-0.000265
2018-Feb-02,-0.003873
2018-Feb-06,-0.007942
2018-Feb-07,-0.002043
2018-Feb-08,0.007552
2018-Feb-09,-0.006463
2018-Feb-12,-0.002649
2018-Feb-13,0.010826
2018-Feb-15,-0.009200
2018-Feb-16,0.011082
2018-Feb-19,-0.002514
2018-Feb-21,-0.027267
2018-Feb-22,0.046789
2018-Feb-23,-0.000664
2018-Mar-02,0.003895
2018-Mar-05,-0.005562
2018-Mar-06,-0.011868
2018-Mar-07,-0.012603
2018-Mar-08,-0.007965
2018-Mar-09,-0.006013
2018-Mar-12,0.014465
2018-Mar-13,0.004364
2018-Mar-16,-0.013607
2018-Mar-19,0.018946
2018-Mar-20,0.004657
2018-Mar-21,0.008343
2018-Mar-22,0.002955
2018-Mar-26,0.003732
2018-Mar-27,0.010828
2018-Mar-29,0.004039
2018-Mar-30,-0.003508
2018-Apr-02,0.020830
2018-Apr-03,0.004524
2018-Apr-04,-0.006834
2018-Apr-05,0.008435
2018-Apr-06,0.001981
2018-Apr-10,0.000659
2018-Apr-11,-0.005704
2018-Apr-13,-0.008315
2018-Apr-16,0.010648
2018-Apr-17,-0.001009
2018-Apr-19,-0.011115
2018-Apr-20,-0.002938
2018-Apr-23,0.002690
2018-Apr-26,-0.002184
2018-Apr-27,0.005457
2018-May-02,-0.010016
2018-May-03,-0.005527
2018-May-04,-0.001690
2018-May-07,0.014977
2018-May-08,-0.009559
2018-May-09,-0.004469
2018-May-10,0.008686
2018-May-11,-0.006547
2018-May-14,-0.039673
2018-May-15,-0.005984
2018-May-16,-0.006870
2018-May-18,-0.001663
2018-May-21,0.001978
2018-May-22,0.048013
2018-May-23,-0.006578
2018-May-24,-0.002163
2018-May-28,0.027242
2018-May-29,0.010149
2018-May-30,-0.008881
2018-May-31,0.006933
2018-Jun-01,-0.013835
2018-Jun-05,0.015291
2018-Jun-06,-0.003119
2018-Jun-07,-0.020639
2018-Jun-12,0.017363
2018-Jun-13,0.004536
2018-Jun-14,0.014337
2018-Jun-19,-0.000747
2018-Jun-20,-0.012151
2018-Jun-21,-0.007695
2018-Jun-22,-0.013699
2018-Jun-25,-0.012987
2018-Jun-26,0.022952
2018-Jun-27,0.014107
2018-Jun-28,-0.002235
2018-Jun-29,-0.009999
2018-Jul-02,0.001338
2018-Jul-04,-0.025045
2018-Jul-09,-0.032188
2018-Jul-11,0.033843
2018-Jul-12,0.023410
2018-Jul-13,0.001083
2018-Jul-16,-0.019986
2018-Jul-17,0.005586
2018-Jul-18,0.022218
2018-Jul-19,0.021198
2018-Jul-20,-0.004207
2018-Jul-24,0.006959
2018-Jul-26,0.023663
2018-Jul-27,0.006058
2018-Jul-30,0.014230
2018-Jul-31,-0.001152
2018-Aug-01,-0.005027
2018-Aug-02,-0.014295
2018-Aug-03,0.021679
2018-Aug-06,0.024967
2018-Aug-07,-0.010135
2018-Aug-08,0.008639
2018-Aug-09,0.009978
2018-Aug-10,-0.004169
2018-Aug-13,-0.010122
2018-Aug-15,-0.002433
2018-Aug-16,-0.024333
2018-Aug-17,0.010893
2018-Aug-27,-0.002578
2018-Aug-28,-0.000646
2018-Aug-29,-0.001910
2018-Aug-30,-0.034101
2018-Aug-31,0.002927
2018-Sep-07,-0.003124
2018-Sep-12,-0.012007
2018-Sep-14,-0.028444
2018-Sep-18,0.030297
2018-Sep-24,-0.009577
2018-Oct-01,0.002984
2018-Oct-03,-0.008620
2018-Oct-08,-0.027555
2018-Oct-09,0.034595
2018-Oct-12,-0.034586
2018-Oct-15,-0.025185
2018-Oct-17,0.031376
2018-Oct-18,0.032524
2018-Oct-19,-0.012383
2018-Oct-24,0.049982
2018-Oct-25,0.021011
2018-Oct-29,0.017813
2018-Oct-30,-0.008691
2018-Nov-01,0.009440
2018-Nov-02,0.019502
2018-Nov-05,-0.017417
2018-Nov-06,-0.000768
2018-Nov-07,0.009283
2018-Nov-09,0.001618
2018-Nov-12,-0.012333
2018-Nov-15,0.006727
2018-Nov-16,0.013993
2018-Nov-19,0.004107
2018-Nov-20,-0.001059
2018-Nov-22,-0.019621
2018-Nov-23,-0.008354
2018-Nov-26,0.002727
2018-Nov-27,-0.007253
2018-Nov-28,-0.006941
2018-Nov-29,-0.005334
