Date,Returns
2017-Nov-10,-0.007458
2017-Nov-13,-0.006666
2017-Nov-15,0.000488
2017-Nov-16,0.003657
2017-Nov-24,-0.004343
2017-Nov-30,-0.008197
2017-Dec-05,-0.008364
2017-Dec-06,0.001636
2017-Dec-07,-0.037828
2017-Dec-08,0.000000
2017-Dec-11,-0.015805
2017-Dec-12,-0.010352
2017-Dec-18,-0.013782
2017-Dec-19,-0.007390
2017-Dec-20,-0.001895
2017-Dec-21,0.006917
2017-Dec-22,0.035560
2017-Dec-26,-0.004422
2017-Dec-27,0.019075
2017-Dec-28,-0.008718
2017-Dec-29,0.023151
2018-Jan-02,0.019987
2018-Jan-04,0.014293
2018-Jan-05,0.036393
2018-Jan-10,0.019175
2018-Jan-11,-0.018380
2018-Jan-12,0.002881
2018-Jan-16,0.017712
2018-Jan-18,0.013923
2018-Jan-19,0.004540
2018-Jan-22,0.012898
2018-Jan-23,-0.006857
2018-Jan-24,-0.023890
2018-Jan-25,-0.012462
2018-Jan-26,-0.002615
2018-Jan-29,-0.023595
2018-Jan-30,0.023698
2018-Jan-31,0.031132
2018-Feb-01,-0.007631
2018-Feb-02,-0.006798
2018-Feb-06,0.000000
2018-Feb-07,0.006508
2018-Feb-08,-0.010925
2018-Feb-09,-0.002931
2018-Feb-12,-0.008139
2018-Feb-13,0.011169
2018-Feb-15,-0.015605
2018-Feb-16,0.004050
2018-Feb-19,-0.003573
2018-Feb-21,0.001399
2018-Feb-22,0.013388
2018-Feb-23,-0.001608
2018-Mar-02,0.010040
2018-Mar-05,-0.037884
2018-Mar-06,-0.007232
2018-Mar-07,-0.004972
2018-Mar-08,-0.008716
2018-Mar-09,0.008441
2018-Mar-12,0.002906
2018-Mar-13,0.002782
2018-Mar-16,-0.012501
2018-Mar-19,0.001065
2018-Mar-20,0.014537
2018-Mar-21,0.004194
2018-Mar-22,0.023898
2018-Mar-26,0.010764
2018-Mar-27,0.002130
2018-Mar-29,0.016294
2018-Mar-30,0.005237
2018-Apr-02,-0.004891
2018-Apr-03,0.035794
2018-Apr-04,0.013410
2018-Apr-05,-0.008856
2018-Apr-06,-0.008421
2018-Apr-10,0.005087
2018-Apr-11,0.012505
2018-Apr-13,-0.002098
2018-Apr-16,-0.036436
2018-Apr-17,-0.000831
2018-Apr-19,-0.007902
2018-Apr-20,-0.003982
2018-Apr-23,-0.005366
2018-Apr-26,0.007711
2018-Apr-27,0.042662
2018-May-02,-0.001804
2018-May-03,-0.012854
2018-May-04,-0.002543
2018-May-07,0.013666
2018-May-08,-0.021934
2018-May-09,0.002366
2018-May-10,0.006260
2018-May-11,0.000918
2018-May-14,-0.016813
2018-May-15,0.001244
2018-May-16,-0.000207
2018-May-18,-0.018755
2018-May-21,-0.005069
2018-May-22,0.044577
2018-May-23,0.003353
2018-May-24,-0.004253
2018-May-28,0.006228
2018-May-29,-0.000203
2018-May-30,-0.002436
2018-May-31,0.000102
2018-Jun-01,-0.002136
2018-Jun-05,-0.004352
2018-Jun-06,0.001220
2018-Jun-07,-0.006904
2018-Jun-12,-0.014108
2018-Jun-13,0.015139
2018-Jun-14,-0.001021
2018-Jun-19,0.025665
2018-Jun-20,-0.001994
2018-Jun-21,-0.007991
2018-Jun-22,-0.005337
2018-Jun-25,-0.032092
2018-Jun-26,-0.002301
2018-Jun-27,0.030402
2018-Jun-28,0.002849
2018-Jun-29,0.003246
2018-Jul-02,-0.000708
2018-Jul-04,-0.027443
2018-Jul-09,-0.017478
2018-Jul-11,0.013029
2018-Jul-12,0.030466
2018-Jul-13,-0.011765
2018-Jul-16,-0.015528
2018-Jul-17,0.016824
2018-Jul-18,0.024716
2018-Jul-19,0.009688
2018-Jul-20,-0.008296
2018-Jul-24,0.004031
2018-Jul-26,0.008532
2018-Jul-27,-0.002588
2018-Jul-30,0.009480
2018-Jul-31,-0.015718
2018-Aug-01,-0.012253
2018-Aug-02,0.001017
2018-Aug-03,0.029253
2018-Aug-06,-0.003750
2018-Aug-07,-0.007925
2018-Aug-08,0.000599
2018-Aug-09,0.000000
2018-Aug-10,0.003094
2018-Aug-13,0.004775
2018-Aug-15,0.007030
2018-Aug-16,-0.001966
2018-Aug-17,0.002364
2018-Aug-27,-0.007909
2018-Aug-28,-0.000486
2018-Aug-29,-0.020231
2018-Aug-30,-0.037328
2018-Aug-31,0.005362
2018-Sep-07,0.004152
2018-Sep-12,-0.018699
2018-Sep-14,0.002481
2018-Sep-18,-0.003754
2018-Sep-24,0.011423
2018-Oct-01,-0.006452
2018-Oct-03,0.000521
2018-Oct-08,-0.047738
2018-Oct-09,0.031524
