Date,Returns
2017-Nov-10,-0.008673
2017-Nov-13,-0.014257
2017-Nov-15,-0.010164
2017-Nov-16,-0.005962
2017-Nov-24,0.021898
2017-Nov-30,0.010115
2017-Dec-05,0.003034
2017-Dec-06,0.003809
2017-Dec-07,-0.014117
2017-Dec-08,-0.010697
2017-Dec-11,-0.017449
2017-Dec-12,-0.010713
2017-Dec-18,-0.017059
2017-Dec-19,-0.019682
2017-Dec-20,0.003207
2017-Dec-21,-0.014130
2017-Dec-22,0.049614
2017-Dec-26,0.017981
2017-Dec-27,0.002792
2017-Dec-28,0.026149
2017-Dec-29,-0.009733
2018-Jan-02,0.007341
2018-Jan-04,0.031446
2018-Jan-05,0.049997
2018-Jan-10,0.015596
2018-Jan-11,-0.015461
2018-Jan-12,-0.019283
2018-Jan-16,0.013297
2018-Jan-18,0.026961
2018-Jan-19,0.021905
2018-Jan-22,0.022118
2018-Jan-23,-0.009509
2018-Jan-24,-0.014634
2018-Jan-25,0.028281
2018-Jan-26,0.004814
2018-Jan-29,0.007085
2018-Jan-30,0.049752
2018-Jan-31,0.026132
2018-Feb-01,0.019405
2018-Feb-02,-0.024152
2018-Feb-06,-0.017995
2018-Feb-07,-0.019672
2018-Feb-08,-0.010352
2018-Feb-09,0.000644
2018-Feb-12,-0.010008
2018-Feb-13,-0.011360
2018-Feb-15,-0.031070
2018-Feb-16,0.038609
2018-Feb-19,0.007393
2018-Feb-21,0.006808
2018-Feb-22,0.004508
2018-Feb-23,-0.000887
2018-Mar-02,-0.004490
2018-Mar-05,-0.011065
2018-Mar-06,-0.001538
2018-Mar-07,-0.007329
2018-Mar-08,-0.005778
2018-Mar-09,-0.007588
2018-Mar-12,0.006995
2018-Mar-13,0.005546
2018-Mar-16,0.003091
2018-Mar-19,0.000000
2018-Mar-20,-0.001081
2018-Mar-21,-0.002597
2018-Mar-22,0.001139
2018-Mar-26,-0.005907
2018-Mar-27,0.013410
2018-Mar-29,0.009625
2018-Mar-30,0.015532
2018-Apr-02,0.030642
2018-Apr-03,-0.001484
2018-Apr-04,-0.015836
2018-Apr-05,0.004426
2018-Apr-06,-0.003888
2018-Apr-10,0.001835
2018-Apr-11,0.005914
2018-Apr-13,-0.003958
2018-Apr-16,-0.040525
2018-Apr-17,0.006812
2018-Apr-19,0.017105
2018-Apr-20,-0.001703
2018-Apr-23,-0.010289
2018-Apr-26,-0.016408
2018-Apr-27,-0.006127
2018-May-02,-0.007246
2018-May-03,-0.014015
2018-May-04,0.014644
2018-May-07,-0.010679
2018-May-08,0.004595
2018-May-09,-0.005851
2018-May-10,0.000589
2018-May-11,-0.008823
2018-May-14,-0.012948
2018-May-15,-0.000601
2018-May-16,-0.000656
2018-May-18,-0.006679
2018-May-21,-0.001056
2018-May-22,0.007454
2018-May-23,-0.000607
2018-May-24,-0.005525
2018-May-28,0.000834
2018-May-29,0.011715
2018-May-30,0.005982
2018-May-31,0.009929
2018-Jun-01,0.005672
2018-Jun-05,0.010023
2018-Jun-06,0.014940
2018-Jun-07,-0.006005
2018-Jun-12,-0.040524
2018-Jun-13,0.008859
2018-Jun-14,0.006904
2018-Jun-19,-0.006253
2018-Jun-20,-0.004637
2018-Jun-21,0.023512
2018-Jun-22,-0.035650
2018-Jun-25,-0.049947
2018-Jun-26,-0.015376
2018-Jun-27,0.016517
2018-Jun-28,-0.003072
2018-Jun-29,-0.016180
2018-Jul-02,-0.016446
2018-Jul-04,-0.020979
2018-Jul-09,-0.031389
2018-Jul-11,0.009303
2018-Jul-12,-0.014924
2018-Jul-13,-0.012285
2018-Jul-16,-0.020365
2018-Jul-17,-0.012631
2018-Jul-18,0.016057
2018-Jul-19,0.031016
2018-Jul-20,-0.014183
2018-Jul-24,0.017806
2018-Jul-26,0.017558
2018-Jul-27,0.018813
2018-Jul-30,0.049954
2018-Jul-31,-0.019217
2018-Aug-01,0.004869
2018-Aug-02,-0.017195
2018-Aug-03,-0.005772
2018-Aug-06,-0.008466
2018-Aug-07,-0.006465
2018-Aug-08,-0.005586
2018-Aug-09,0.005679
2018-Aug-10,0.006752
2018-Aug-13,-0.022010
2018-Aug-15,-0.009413
2018-Aug-16,0.012964
2018-Aug-17,0.023981
2018-Aug-27,0.008906
2018-Aug-28,-0.006786
2018-Aug-29,-0.013845
2018-Aug-30,-0.009871
2018-Aug-31,-0.009288
2018-Sep-07,-0.009615
2018-Sep-12,-0.011576
2018-Sep-14,0.012689
2018-Sep-18,0.014374
2018-Sep-24,-0.012427
2018-Oct-01,-0.040184
2018-Oct-03,0.002746
2018-Oct-08,-0.049989
2018-Oct-09,-0.049199
2018-Oct-12,0.010117
2018-Oct-15,-0.047761
2018-Oct-17,0.048738
2018-Oct-18,0.040151
2018-Oct-19,0.033786
2018-Oct-24,0.049953
2018-Oct-25,0.002394
2018-Oct-29,0.018132
2018-Oct-30,-0.021719
2018-Nov-01,0.046161
2018-Nov-02,0.042102
2018-Nov-05,-0.023144
2018-Nov-06,-0.027869
2018-Nov-07,0.007255
2018-Nov-09,0.001481
2018-Nov-12,0.010493
2018-Nov-15,-0.010324
2018-Nov-16,0.006203
2018-Nov-19,-0.021786
2018-Nov-20,-0.011458
2018-Nov-22,-0.002101
2018-Nov-23,-0.001815
2018-Nov-26,-0.014327
2018-Nov-27,0.005534
2018-Nov-28,-0.001468
2018-Nov-29,-0.000294
2018-Dec-04,0.005121
2018-Dec-05,-0.036137
2018-Dec-06,-0.007807
2018-Dec-07,-0.001393
2018-Dec-10,0.018140
2018-Dec-11,-0.017333
2018-Dec-12,-0.023382
2018-Dec-13,-0.009409
2018-Dec-18,-0.008081
2018-Dec-19,-0.018835
2018-Dec-20,0.026786
2018-Dec-26,-0.006882
2018-Dec-27,-0.005350
2018-Dec-28,-0.010141
2018-Dec-31,0.003831
2019-Jan-07,0.014178
2019-Jan-08,0.015102
2019-Jan-14,0.049951
2019-Jan-15,-0.002102
2019-Jan-17,0.038098
2019-Jan-18,0.015292
2019-Jan-21,0.020258
2019-Jan-22,-0.014172
2019-Jan-23,0.008011
2019-Jan-24,-0.011364
2019-Jan-28,0.010344
2019-Jan-29,0.002093
2019-Jan-30,0.012827
2019-Jan-31,0.049996
2019-Feb-04,0.037354
2019-Feb-06,-0.009235
2019-Feb-07,-0.013545
2019-Feb-08,-0.023180
2019-Feb-12,0.003205
2019-Feb-13,-0.004899
2019-Feb-14,0.039743
2019-Feb-18,-0.029119
2019-Feb-19,-0.030356
2019-Feb-26,-0.026709
2019-Feb-27,-0.021127
2019-Mar-01,0.011249
2019-Mar-07,-0.025723
2019-Mar-14,0.000069
2019-Mar-15,-0.017889
2019-Mar-20,-0.008177
2019-Mar-22,0.011765
2019-Mar-27,0.021269
2019-Apr-09,-0.001723
2019-Apr-10,-0.005896
2019-Apr-12,0.046857
2019-Apr-16,-0.060507
2019-Apr-26,0.014024
2019-Apr-29,-0.000341
2019-May-09,-0.019341
2019-May-10,-0.024907
2019-May-14,-0.002740
2019-May-15,0.006183
2019-May-20,-0.029102
2019-May-21,-0.022046
2019-May-22,0.047640
2019-May-23,0.049926
2019-May-24,0.040485
2019-May-28,-0.047962
2019-Jun-11,-0.016975
2019-Jun-12,0.034849
2019-Jun-13,0.033374
2019-Jun-14,-0.005156
2019-Jun-17,-0.020338
2019-Jun-20,0.037487
2019-Jun-26,-0.015497
2019-Jun-28,0.034621
2019-Jul-01,0.000629
2019-Jul-03,0.008891
2019-Jul-08,-0.012551
2019-Jul-12,-0.008735
2019-Jul-15,-0.028479
2019-Jul-18,-0.045882
2019-Jul-29,-0.000667
2019-Jul-30,0.002337
2019-Jul-31,0.027204
2019-Aug-07,-0.005525
2019-Aug-16,-0.004061
2019-Aug-19,0.016544
2019-Aug-20,0.002407
2019-Aug-21,0.045964
2019-Aug-22,0.040883
2019-Aug-23,-0.010712
2019-Aug-28,-0.044950
2019-Sep-11,0.011765
2019-Sep-17,0.034590
2019-Sep-19,0.041528
2019-Sep-20,0.013118
2019-Sep-23,-0.010502
2019-Sep-25,0.012773
2019-Oct-01,0.003951
2019-Oct-03,0.023253
2019-Oct-09,0.049922
2019-Oct-10,0.049977
2019-Oct-11,0.028025
2019-Oct-14,-0.026569
2019-Oct-15,0.000445
2019-Oct-18,0.002058
2019-Oct-21,-0.021374
2019-Oct-22,-0.018121
2019-Oct-23,0.009034
2019-Oct-24,-0.005968
2019-Oct-25,-0.007360
2019-Oct-28,0.049951
2019-Oct-29,0.049991
2019-Oct-30,0.050000
2019-Nov-01,-0.006743
2019-Nov-04,0.037251
2019-Nov-06,-0.024231
2019-Nov-07,0.015730
2019-Nov-08,0.000000
2019-Nov-11,0.030422
2019-Nov-12,0.010375
2019-Nov-13,0.045832
2019-Nov-14,0.049960
2019-Nov-15,0.049990
2019-Nov-18,0.049967
2019-Nov-19,0.023015
2019-Nov-20,-0.027741
2019-Nov-21,-0.043080
