Date,Returns
2017-Nov-10,-0.028891
2017-Nov-13,-0.010000
2017-Nov-15,-0.008838
2017-Nov-16,0.019108
2017-Nov-24,0.038961
2017-Nov-30,0.011054
2017-Dec-05,0.039221
2017-Dec-06,0.025494
2017-Dec-07,-0.025104
2017-Dec-08,-0.011000
2017-Dec-11,-0.029070
2017-Dec-12,0.028378
2017-Dec-18,-0.049871
2017-Dec-19,-0.038149
2017-Dec-20,-0.001406
2017-Dec-21,0.033803
2017-Dec-22,-0.049864
2017-Dec-26,0.035274
2017-Dec-27,-0.025208
2017-Dec-28,0.023018
2017-Dec-29,-0.011944
2018-Jan-02,0.032562
2018-Jan-04,-0.015214
2018-Jan-05,0.049157
2018-Jan-10,-0.003446
2018-Jan-11,-0.003724
2018-Jan-12,-0.049933
2018-Jan-16,-0.027825
2018-Jan-18,-0.031512
2018-Jan-19,0.007463
2018-Jan-22,0.007407
2018-Jan-23,-0.011176
2018-Jan-24,0.005354
2018-Jan-25,-0.006509
2018-Jan-26,0.012507
2018-Jan-29,0.014706
2018-Jan-30,-0.046957
2018-Jan-31,0.003650
2018-Feb-01,-0.003636
2018-Feb-02,0.012774
2018-Feb-06,0.006006
2018-Feb-07,0.000000
2018-Feb-08,0.014925
2018-Feb-09,0.014706
2018-Feb-12,0.005507
2018-Feb-13,-0.005477
2018-Feb-15,0.000290
2018-Feb-16,-0.014778
2018-Feb-19,0.014706
2018-Feb-21,0.021942
2018-Feb-22,0.000588
2018-Feb-23,-0.004703
2018-Mar-02,0.000000
2018-Mar-05,0.000000
2018-Mar-06,-0.008824
2018-Mar-07,-0.005638
2018-Mar-08,-0.012235
2018-Mar-09,-0.026586
2018-Mar-12,0.024209
2018-Mar-13,0.017879
2018-Mar-16,0.019649
2018-Mar-19,-0.014599
2018-Mar-20,-0.004444
2018-Mar-21,-0.017857
2018-Mar-22,0.000000
2018-Mar-26,0.023636
2018-Mar-27,0.004440
2018-Mar-29,0.012655
2018-Mar-30,0.024438
2018-Apr-02,0.002982
2018-Apr-03,-0.009459
2018-Apr-04,0.009550
2018-Apr-05,-0.027027
2018-Apr-06,-0.011667
2018-Apr-10,0.013158
2018-Apr-11,0.010011
2018-Apr-13,-0.008840
2018-Apr-16,0.000000
2018-Apr-17,0.050000
2018-Apr-19,0.029344
2018-Apr-20,-0.037259
2018-Apr-23,0.044416
2018-Apr-26,-0.023003
2018-Apr-27,0.022785
2018-May-02,0.014851
2018-May-03,-0.018293
2018-May-04,-0.006211
2018-May-07,0.025000
2018-May-08,-0.036585
2018-May-09,-0.012658
2018-May-10,0.025641
2018-May-11,0.000000
2018-May-14,-0.035000
2018-May-15,-0.008031
2018-May-16,0.011752
2018-May-18,0.006711
2018-May-21,-0.035897
2018-May-22,-0.029255
2018-May-23,0.013699
2018-May-24,0.000000
2018-May-28,0.038082
2018-May-29,0.021378
2018-May-30,0.049871
2018-May-31,0.049963
2018-Jun-01,0.049930
2018-Jun-05,0.027269
2018-Jun-06,0.003398
2018-Jun-07,-0.021164
2018-Jun-12,-0.027027
2018-Jun-13,-0.001111
2018-Jun-14,-0.021135
2018-Jun-19,-0.022727
2018-Jun-20,-0.040698
2018-Jun-21,-0.013333
2018-Jun-22,-0.031204
2018-Jun-25,-0.044890
2018-Jun-26,0.043016
2018-Jun-27,0.049898
2018-Jun-28,-0.005820
2018-Jun-29,-0.012195
2018-Jul-02,-0.024691
2018-Jul-04,-0.012658
2018-Jul-09,0.000000
2018-Jul-11,0.012821
2018-Jul-12,-0.012658
2018-Jul-13,0.048462
2018-Jul-16,-0.024211
2018-Jul-17,0.002506
2018-Jul-18,0.043000
2018-Jul-19,0.006711
2018-Jul-20,0.000000
2018-Jul-24,-0.000714
2018-Jul-26,-0.002859
2018-Jul-27,0.027240
2018-Jul-30,-0.032333
2018-Jul-31,-0.014423
2018-Aug-01,0.000000
