Date,Returns
2017-Nov-10,0.036702
2017-Nov-13,-0.011994
2017-Nov-15,-0.001381
2017-Nov-16,-0.012784
2017-Nov-24,-0.001870
2017-Nov-30,0.007338
2017-Dec-05,0.010751
2017-Dec-06,-0.002324
2017-Dec-07,-0.017090
2017-Dec-08,-0.008705
2017-Dec-11,-0.050000
2017-Dec-12,-0.036104
2017-Dec-18,-0.000250
2017-Dec-19,-0.023956
2017-Dec-20,0.011247
2017-Dec-21,0.014720
2017-Dec-22,0.042120
2017-Dec-26,-0.006325
2017-Dec-27,-0.011308
2017-Dec-28,0.017973
2017-Dec-29,0.022399
2018-Jan-02,0.019929
2018-Jan-04,-0.010361
2018-Jan-05,0.004682
2018-Jan-10,0.007905
2018-Jan-11,-0.015354
2018-Jan-12,-0.015183
2018-Jan-16,0.010744
2018-Jan-18,0.014116
2018-Jan-19,0.029631
2018-Jan-22,0.047376
2018-Jan-23,0.009159
2018-Jan-24,-0.007007
2018-Jan-25,0.038150
2018-Jan-26,0.012817
2018-Jan-29,-0.008394
2018-Jan-30,0.011473
2018-Jan-31,0.008985
2018-Feb-01,0.018589
2018-Feb-02,-0.005043
2018-Feb-06,0.002306
2018-Feb-07,0.011503
2018-Feb-08,0.015900
2018-Feb-09,-0.020391
2018-Feb-12,-0.003665
2018-Feb-13,-0.003761
2018-Feb-15,-0.014989
2018-Feb-16,0.015752
2018-Feb-19,-0.016370
2018-Feb-21,-0.003250
2018-Feb-22,-0.004609
2018-Feb-23,0.000022
2018-Mar-02,0.047349
2018-Mar-05,0.008113
2018-Mar-06,-0.005546
2018-Mar-07,-0.014738
2018-Mar-08,-0.010575
2018-Mar-09,-0.001720
2018-Mar-12,-0.003533
2018-Mar-13,0.008302
2018-Mar-16,-0.007807
2018-Mar-19,-0.005977
2018-Mar-20,-0.000519
2018-Mar-21,0.005864
2018-Mar-22,-0.008519
2018-Mar-26,0.002452
2018-Mar-27,-0.002662
2018-Mar-29,0.002838
2018-Mar-30,0.010089
2018-Apr-02,0.005946
2018-Apr-03,-0.001339
2018-Apr-04,0.002534
2018-Apr-05,-0.001911
2018-Apr-06,0.001617
2018-Apr-10,-0.117403
2018-Apr-11,0.014681
2018-Apr-13,-0.022407
2018-Apr-16,-0.005167
2018-Apr-17,0.006744
2018-Apr-19,0.005819
2018-Apr-20,-0.003330
2018-Apr-23,-0.000024
2018-Apr-26,-0.016014
2018-Apr-27,-0.009818
2018-May-02,-0.011786
2018-May-03,-0.006780
2018-May-04,-0.001498
2018-May-07,0.003394
2018-May-08,0.004902
2018-May-09,-0.009610
2018-May-10,0.005960
2018-May-11,-0.013391
2018-May-14,-0.048262
2018-May-15,0.029539
2018-May-16,0.012307
2018-May-18,-0.017519
2018-May-21,0.027040
2018-May-22,0.008395
2018-May-23,0.000000
2018-May-24,0.000025
2018-May-28,0.007501
2018-May-29,0.007002
2018-May-30,-0.001147
2018-May-31,0.006278
2018-Jun-01,-0.004734
2018-Jun-05,0.002590
2018-Jun-06,0.001462
2018-Jun-07,-0.006691
2018-Jun-12,-0.029026
2018-Jun-13,0.013547
2018-Jun-14,-0.002987
2018-Jun-19,0.007864
2018-Jun-20,-0.009214
2018-Jun-21,-0.016250
2018-Jun-22,-0.010292
2018-Jun-25,-0.035563
2018-Jun-26,0.042119
2018-Jun-27,0.026979
2018-Jun-28,0.014802
2018-Jun-29,0.006325
2018-Jul-02,-0.025602
