Date,Returns
2017-Nov-10,0.001034
2017-Nov-13,0.004425
2017-Nov-15,-0.017393
2017-Nov-16,0.001248
2017-Nov-24,0.006972
2017-Nov-30,0.047241
2017-Dec-05,0.012003
2017-Dec-06,-0.008520
2017-Dec-07,-0.044139
2017-Dec-08,0.002639
2017-Dec-11,-0.049665
2017-Dec-12,-0.007062
2017-Dec-18,-0.007551
2017-Dec-19,-0.022312
2017-Dec-20,0.016214
2017-Dec-21,-0.004647
2017-Dec-22,0.017673
2017-Dec-26,-0.011872
2017-Dec-27,0.004364
2017-Dec-28,0.007340
2017-Dec-29,0.009158
2018-Jan-02,0.019086
2018-Jan-04,0.003846
2018-Jan-05,0.013400
2018-Jan-10,0.015781
2018-Jan-11,-0.005508
2018-Jan-12,-0.009874
2018-Jan-16,0.005769
2018-Jan-18,0.003824
2018-Jan-19,0.045675
2018-Jan-22,0.018252
2018-Jan-23,-0.049498
2018-Jan-24,0.002221
2018-Jan-25,-0.002986
2018-Jan-26,-0.020078
2018-Jan-29,0.006900
2018-Jan-30,0.019261
2018-Jan-31,-0.004514
2018-Feb-01,-0.022237
2018-Feb-02,0.012257
2018-Feb-06,0.005912
2018-Feb-07,-0.014607
2018-Feb-08,0.000173
2018-Feb-09,0.003700
2018-Feb-12,-0.004757
2018-Feb-13,-0.007754
2018-Feb-15,-0.002689
2018-Feb-16,-0.001102
2018-Feb-19,-0.002030
2018-Feb-21,0.000099
2018-Feb-22,0.003341
2018-Feb-23,-0.024222
2018-Mar-02,0.013326
2018-Mar-05,0.000436
2018-Mar-06,0.042654
2018-Mar-07,-0.026191
2018-Mar-08,-0.010431
2018-Mar-09,0.008205
2018-Mar-12,0.007482
2018-Mar-13,-0.005494
2018-Mar-16,-0.002063
2018-Mar-19,0.011400
2018-Mar-20,-0.015793
2018-Mar-21,-0.006272
2018-Mar-22,-0.008253
2018-Mar-26,-0.006300
2018-Mar-27,0.011181
2018-Mar-29,-0.001355
2018-Mar-30,0.012065
2018-Apr-02,0.017703
2018-Apr-03,0.034584
2018-Apr-04,-0.027538
2018-Apr-05,-0.019847
2018-Apr-06,0.004029
2018-Apr-10,0.012192
2018-Apr-11,0.009931
2018-Apr-13,-0.012048
2018-Apr-16,-0.021834
2018-Apr-17,0.005490
2018-Apr-19,-0.000400
2018-Apr-20,-0.006482
2018-Apr-23,-0.001228
2018-Apr-26,-0.011116
2018-Apr-27,-0.006749
2018-May-02,0.000104
2018-May-03,-0.013851
2018-May-04,0.009645
2018-May-07,-0.002524
2018-May-08,-0.012546
2018-May-09,-0.004235
2018-May-10,0.003254
2018-May-11,-0.018335
2018-May-14,-0.049252
2018-May-15,-0.014308
2018-May-16,-0.016497
2018-May-18,-0.032868
2018-May-21,0.008521
2018-May-22,0.040255
2018-May-23,-0.006233
2018-May-24,-0.026039
2018-May-28,0.001272
2018-May-29,0.010588
2018-May-30,-0.005991
2018-May-31,-0.007936
2018-Jun-01,0.006050
2018-Jun-05,-0.001730
2018-Jun-06,-0.001585
2018-Jun-07,0.015178
2018-Jun-12,-0.064349
2018-Jun-13,-0.051568
2018-Jun-14,-0.034523
2018-Jun-19,-0.017593
2018-Jun-20,-0.026558
2018-Jun-21,-0.049973
2018-Jun-22,-0.019992
2018-Jun-25,-0.046757
2018-Jun-26,0.015320
2018-Jun-27,0.043612
2018-Jun-28,0.007388
2018-Jun-29,-0.004186
2018-Jul-02,-0.029679
2018-Jul-04,-0.048761
2018-Jul-09,-0.048412
2018-Jul-11,-0.028255
2018-Jul-12,-0.016129
2018-Jul-13,0.049998
2018-Jul-16,-0.018551
2018-Jul-17,0.015295
2018-Jul-18,0.031337
2018-Jul-19,0.012850
2018-Jul-20,-0.022210
2018-Jul-24,0.026019
2018-Jul-26,0.001593
