Date,Returns
2017-Nov-10,-0.012137
2017-Nov-13,0.000570
2017-Nov-15,-0.009535
2017-Nov-16,-0.007854
2017-Nov-24,-0.009958
2017-Nov-30,0.012038
2017-Dec-05,0.011414
2017-Dec-06,0.004960
2017-Dec-07,-0.005003
2017-Dec-08,-0.029029
2017-Dec-11,-0.010752
2017-Dec-12,-0.011279
2017-Dec-18,-0.000553
2017-Dec-19,-0.005679
2017-Dec-20,0.004717
2017-Dec-21,0.006953
2017-Dec-22,-0.005598
2017-Dec-26,-0.000369
2017-Dec-27,0.004845
2017-Dec-28,-0.000823
2017-Dec-29,-0.003848
2018-Jan-02,0.013782
2018-Jan-04,0.010662
2018-Jan-05,0.012028
2018-Jan-10,0.005898
2018-Jan-11,0.003678
2018-Jan-12,-0.006690
2018-Jan-16,0.005660
2018-Jan-18,0.008334
2018-Jan-19,0.045534
2018-Jan-22,0.037191
2018-Jan-23,0.007913
2018-Jan-24,0.003727
2018-Jan-25,-0.024712
2018-Jan-26,-0.009425
2018-Jan-29,-0.002702
2018-Jan-30,-0.002159
2018-Jan-31,-0.025801
2018-Feb-01,0.002122
2018-Feb-02,-0.002507
2018-Feb-06,-0.014130
2018-Feb-07,-0.018450
2018-Feb-08,-0.018740
2018-Feb-09,0.008463
2018-Feb-12,-0.019770
2018-Feb-13,-0.000697
2018-Feb-15,0.009552
2018-Feb-16,-0.001301
2018-Feb-19,-0.003382
2018-Feb-21,-0.012713
2018-Feb-22,0.001916
2018-Feb-23,-0.003959
2018-Mar-02,0.002993
2018-Mar-05,-0.003337
2018-Mar-06,0.005143
2018-Mar-07,0.004696
2018-Mar-08,-0.004199
2018-Mar-09,-0.018706
2018-Mar-12,0.008784
2018-Mar-13,0.012921
2018-Mar-16,-0.007306
2018-Mar-19,0.001242
2018-Mar-20,-0.001421
2018-Mar-21,-0.012165
2018-Mar-22,-0.001149
2018-Mar-26,-0.003587
2018-Mar-27,-0.001407
2018-Mar-29,-0.006049
2018-Mar-30,0.001293
2018-Apr-02,0.046526
2018-Apr-03,-0.004547
2018-Apr-04,-0.008275
2018-Apr-05,0.000000
2018-Apr-06,0.025511
2018-Apr-10,-0.003411
2018-Apr-11,0.007350
2018-Apr-13,-0.007983
2018-Apr-16,0.009760
2018-Apr-17,0.002938
2018-Apr-19,0.008570
2018-Apr-20,-0.003582
2018-Apr-23,-0.003696
2018-Apr-26,-0.006918
2018-Apr-27,0.008889
2018-May-02,-0.011216
2018-May-03,-0.008770
2018-May-04,0.003943
2018-May-07,-0.007686
2018-May-08,-0.001147
2018-May-09,-0.030056
2018-May-10,-0.012255
2018-May-11,0.000042
2018-May-14,-0.007832
2018-May-15,-0.016213
2018-May-16,-0.013136
2018-May-18,-0.006571
2018-May-21,-0.000621
2018-May-22,0.020095
2018-May-23,-0.009121
2018-May-24,-0.018260
2018-May-28,-0.002852
2018-May-29,0.015276
2018-May-30,0.002729
2018-May-31,-0.000487
2018-Jun-01,-0.012283
2018-Jun-05,0.001683
2018-Jun-06,-0.004957
2018-Jun-07,-0.009878
2018-Jun-12,-0.037766
2018-Jun-13,0.005906
2018-Jun-14,-0.006987
2018-Jun-19,-0.006427
2018-Jun-20,-0.019908
2018-Jun-21,-0.015134
2018-Jun-22,-0.025911
2018-Jun-25,-0.038598
2018-Jun-26,0.010863
2018-Jun-27,0.049995
2018-Jun-28,0.018586
2018-Jun-29,0.002971
2018-Jul-02,-0.011080
2018-Jul-04,-0.029590
2018-Jul-09,-0.044426
2018-Jul-11,0.034643
2018-Jul-12,0.035167
2018-Jul-13,-0.013965
2018-Jul-16,-0.024051
2018-Jul-17,-0.023093
2018-Jul-18,0.042739
2018-Jul-19,0.001332
2018-Jul-20,0.002873
2018-Jul-24,-0.008298
2018-Jul-26,-0.007748
2018-Jul-27,0.043473
2018-Jul-30,0.029174
2018-Jul-31,-0.008211
2018-Aug-01,0.002140
2018-Aug-02,0.015996
2018-Aug-03,0.001094
2018-Aug-06,0.049996
2018-Aug-07,0.034070
2018-Aug-08,0.010702
2018-Aug-09,0.003103
2018-Aug-10,0.019481
2018-Aug-13,0.004975
2018-Aug-15,-0.012416
2018-Aug-16,-0.032468
2018-Aug-17,-0.002113
2018-Aug-27,0.032102
2018-Aug-28,0.001286
2018-Aug-29,0.000661
2018-Aug-30,-0.026539
2018-Aug-31,-0.002584
2018-Sep-07,-0.009307
2018-Sep-12,0.003854
2018-Sep-14,0.014580
2018-Sep-18,-0.005464
2018-Sep-24,-0.027028
2018-Oct-01,-0.002610
2018-Oct-03,-0.004877
2018-Oct-08,-0.049997
2018-Oct-09,-0.048779
2018-Oct-12,-0.019133
2018-Oct-15,-0.016922
2018-Oct-17,0.049991
2018-Oct-18,0.049998
2018-Oct-19,0.049994
2018-Oct-24,0.049998
2018-Oct-25,0.010400
2018-Oct-29,0.012494
2018-Oct-30,0.002317
2018-Nov-01,0.001053
2018-Nov-02,0.030079
2018-Nov-05,0.003756
2018-Nov-06,0.014313
2018-Nov-07,0.000609
2018-Nov-09,0.013335
2018-Nov-12,-0.007587
2018-Nov-15,-0.005722
2018-Nov-16,-0.002748
2018-Nov-19,-0.006665
2018-Nov-20,0.003507
2018-Nov-22,-0.006505
2018-Nov-23,-0.017611
2018-Nov-26,-0.003877
2018-Nov-27,-0.012124
2018-Nov-28,-0.010744
2018-Nov-29,0.006900
2018-Dec-04,-0.001208
2018-Dec-05,-0.004403
2018-Dec-06,-0.049602
2018-Dec-07,0.009818
2018-Dec-10,0.003772
2018-Dec-11,0.002371
2018-Dec-12,-0.006022
2018-Dec-13,0.002321
2018-Dec-18,-0.004345
2018-Dec-19,0.018433
2018-Dec-20,-0.005177
2018-Dec-26,-0.005275
2018-Dec-27,-0.027327
2018-Dec-28,0.017398
2018-Dec-31,0.032533
2019-Jan-07,0.015437
2019-Jan-08,-0.000100
2019-Jan-14,0.006130
2019-Jan-15,0.001394
2019-Jan-17,-0.013432
2019-Jan-18,-0.000647
2019-Jan-21,0.045369
2019-Jan-22,-0.008265
2019-Jan-23,0.029120
2019-Jan-24,-0.018993
2019-Jan-28,0.015921
2019-Jan-29,0.003392
2019-Jan-30,-0.013384
2019-Jan-31,0.025970
2019-Feb-04,-0.000064
2019-Feb-06,0.033967
2019-Feb-07,0.013038
2019-Feb-08,-0.002861
2019-Feb-12,0.000637
2019-Feb-13,0.000916
2019-Feb-14,0.003266
2019-Feb-18,-0.000139
2019-Feb-19,-0.006801
2019-Feb-26,-0.036175
2019-Feb-27,-0.033832
2019-Mar-01,0.018441
2019-Mar-07,0.049998
2019-Mar-14,-0.007229
2019-Mar-15,-0.012006
2019-Mar-20,-0.000228
2019-Mar-22,-0.000192
2019-Mar-27,-0.007172
2019-Apr-09,-0.017328
2019-Apr-10,0.000794
2019-Apr-12,0.037183
2019-Apr-16,0.011520
2019-Apr-26,0.022888
2019-Apr-29,-0.013602
2019-May-09,-0.040790
2019-May-10,0.002976
2019-May-14,0.000091
2019-May-15,0.000149
2019-May-20,0.006282
2019-May-21,-0.006516
2019-May-22,-0.013367
2019-May-23,0.005186
2019-May-24,0.007344
2019-May-28,-0.050000
2019-Jun-11,0.030494
2019-Jun-12,0.002681
2019-Jun-13,0.009918
2019-Jun-14,0.009564
2019-Jun-17,-0.009009
2019-Jun-20,0.026184
2019-Jun-26,-0.012987
2019-Jun-28,0.022542
2019-Jul-01,-0.008580
2019-Jul-03,0.014839
2019-Jul-08,-0.012377
2019-Jul-12,-0.003291
2019-Jul-15,-0.011280
2019-Jul-18,-0.038945
2019-Jul-29,0.004384
2019-Jul-30,0.001978
2019-Jul-31,-0.015061
2019-Aug-07,-0.047709
2019-Aug-16,-0.037900
2019-Aug-19,0.045744
2019-Aug-20,0.042858
2019-Aug-21,0.020653
2019-Aug-22,0.013577
2019-Aug-23,-0.022092
2019-Aug-28,-0.016415
2019-Sep-11,0.010332
2019-Sep-17,-0.012821
2019-Sep-19,0.009643
2019-Sep-20,-0.005604
2019-Sep-23,-0.005221
2019-Sep-25,-0.011868
2019-Oct-01,0.008330
2019-Oct-03,0.004579
2019-Oct-09,-0.022694
2019-Oct-10,0.001845
2019-Oct-11,0.012724
2019-Oct-14,-0.020606
2019-Oct-15,-0.006193
2019-Oct-18,-0.040970
2019-Oct-21,-0.012627
2019-Oct-22,0.001465
2019-Oct-23,-0.005465
2019-Oct-24,0.011368
2019-Oct-25,-0.004096
2019-Oct-28,0.007335
2019-Oct-29,-0.013060
2019-Oct-30,0.015469
2019-Nov-01,-0.005042
2019-Nov-04,0.031230
2019-Nov-06,0.026423
2019-Nov-07,0.069070
2019-Nov-08,0.000000
2019-Nov-11,-0.003617
2019-Nov-12,0.047521
2019-Nov-13,-0.012113
2019-Nov-14,0.047230
2019-Nov-15,-0.000442
2019-Nov-18,0.004194
2019-Nov-19,-0.001229
2019-Nov-20,0.003732
2019-Nov-21,-0.007106
2019-Nov-22,0.015014
2019-Nov-25,0.004363
2019-Nov-26,-0.013696
2019-Nov-27,-0.001020
2019-Nov-28,0.023600
2019-Nov-29,-0.008299
2019-Dec-02,0.018209
2019-Dec-03,-0.014903
2019-Dec-04,-0.005195
2019-Dec-05,0.008354
2019-Dec-06,-0.003089
2019-Dec-09,-0.017273
2019-Dec-10,0.015651
2019-Dec-11,-0.024987
2019-Dec-12,-0.015503
2019-Dec-16,-0.007477
2019-Dec-17,-0.016699
2019-Dec-18,0.017470
2019-Dec-19,-0.007379
2019-Dec-20,0.002913
2019-Dec-24,-0.000833
2019-Dec-30,-0.001746
2020-Jan-01,0.020944
2020-Jan-02,0.010127
2020-Jan-03,-0.006686
2020-Jan-06,-0.049992
2020-Jan-07,-0.047015
2020-Jan-09,0.012121
2020-Jan-10,0.008403
2020-Jan-13,-0.004210
2020-Jan-14,0.006131
2020-Jan-15,0.000703
2020-Jan-16,-0.002593
2020-Jan-17,-0.003619
2020-Jan-20,0.001577
2020-Jan-21,0.001336
2020-Jan-22,-0.001191
2020-Jan-23,-0.003931
2020-Jan-24,0.002242
2020-Jan-27,0.025090
2020-Jan-28,0.000000
2020-Jan-29,-0.002247
2020-Jan-31,0.008299
2020-Feb-06,-0.005143
2020-Feb-11,0.004470
2020-Feb-12,0.017532
2020-Feb-13,0.008248
2020-Feb-19,-0.015511
2020-Feb-24,-0.022814
2020-Feb-27,-0.033414
2020-Feb-28,0.044505
2020-Mar-02,0.025086
2020-Mar-03,-0.006289
2020-Mar-05,0.001570
2020-Mar-11,-0.000824
2020-Mar-12,0.069876
2020-Mar-30,-0.029931
2020-Apr-01,0.074993
2020-Apr-09,0.001068
2020-Apr-13,-0.014360
2020-Apr-15,0.002437
2020-Apr-24,0.028690
2020-May-04,0.031773
2020-May-07,-0.013522
2020-May-14,-0.034973
2020-May-21,-0.013098
2020-May-29,0.000534
2020-Jun-01,-0.019423
2020-Jun-02,0.005266
2020-Jun-03,-0.007561
2020-Jun-04,-0.007146
2020-Jun-08,0.007373
2020-Jun-09,0.002821
2020-Jun-10,-0.003221
2020-Jun-11,-0.000671
2020-Jun-12,0.003957
2020-Jun-15,-0.023504
2020-Jun-16,-0.004454
2020-Jun-18,0.002064
2020-Jun-22,0.007729
2020-Jun-24,-0.008001
2020-Jun-26,0.013418
2020-Jun-29,0.024715
2020-Jun-30,0.014737
2020-Jul-02,-0.013142
2020-Jul-03,0.001976
2020-Jul-06,0.046531
2020-Jul-07,0.074994
2020-Jul-08,0.041620
2020-Jul-09,-0.024572
2020-Jul-10,0.001972
2020-Jul-13,0.046347
2020-Jul-15,0.029463
2020-Jul-16,0.040900
2020-Jul-17,0.031509
2020-Jul-20,0.014958
2020-Jul-21,-0.049392
2020-Jul-23,0.023097
2020-Jul-24,0.004462
2020-Jul-27,0.007955
2020-Jul-28,0.010928
2020-Jul-29,-0.001868
2020-Jul-30,0.056519
2020-Aug-03,0.005350
2020-Aug-04,-0.020560
2020-Aug-07,-0.014729
