Date,Returns
2017-Nov-10,-0.031801
2017-Nov-13,-0.000622
2017-Nov-15,0.003391
2017-Nov-16,-0.000135
2017-Nov-24,-0.007131
2017-Nov-30,0.000263
2017-Dec-05,-0.001737
2017-Dec-06,0.007021
2017-Dec-07,-0.023361
2017-Dec-08,0.003112
2017-Dec-11,-0.039600
2017-Dec-12,-0.009458
2017-Dec-18,-0.019810
2017-Dec-19,0.011956
2017-Dec-20,-0.009133
2017-Dec-21,0.012483
2017-Dec-22,0.049913
2017-Dec-26,0.002904
2017-Dec-27,0.049710
2017-Dec-28,0.034483
2017-Dec-29,-0.000174
2018-Jan-02,0.033561
2018-Jan-04,0.028167
2018-Jan-05,0.029383
2018-Jan-10,0.023345
2018-Jan-11,-0.007758
2018-Jan-12,-0.000104
2018-Jan-16,0.034238
2018-Jan-18,0.011423
2018-Jan-19,0.020547
2018-Jan-22,0.030055
2018-Jan-23,0.011699
2018-Jan-24,0.049043
2018-Jan-25,-0.016233
2018-Jan-26,-0.012225
2018-Jan-29,-0.028808
2018-Jan-30,-0.012025
2018-Jan-31,-0.026305
2018-Feb-01,0.032233
2018-Feb-02,-0.003590
2018-Feb-06,-0.025776
2018-Feb-07,0.021689
2018-Feb-08,-0.015624
2018-Feb-09,-0.014468
2018-Feb-12,-0.004419
2018-Feb-13,-0.011261
2018-Feb-15,-0.022660
2018-Feb-16,0.021581
2018-Feb-19,0.019402
2018-Feb-21,-0.014818
2018-Feb-22,0.018181
2018-Feb-23,-0.004145
2018-Mar-02,0.020942
2018-Mar-05,0.013106
2018-Mar-06,-0.005824
2018-Mar-07,-0.015402
2018-Mar-08,-0.013670
2018-Mar-09,0.005318
2018-Mar-12,0.025471
2018-Mar-13,-0.000493
2018-Mar-16,-0.012294
2018-Mar-19,0.005282
2018-Mar-20,0.019017
2018-Mar-21,-0.002383
2018-Mar-22,0.032995
2018-Mar-26,0.006228
2018-Mar-27,0.005408
2018-Mar-29,0.013859
2018-Mar-30,0.001772
2018-Apr-02,0.048679
2018-Apr-03,-0.001618
2018-Apr-04,-0.008296
2018-Apr-05,0.001578
2018-Apr-06,-0.001813
2018-Apr-10,-0.000548
2018-Apr-11,-0.001618
2018-Apr-13,-0.024669
2018-Apr-16,-0.014647
2018-Apr-17,0.018985
2018-Apr-19,-0.029889
2018-Apr-20,-0.020720
2018-Apr-23,-0.004134
2018-Apr-26,0.004996
2018-Apr-27,-0.018393
2018-May-02,-0.011857
2018-May-03,0.005020
2018-May-04,-0.011544
2018-May-07,-0.026115
2018-May-08,0.001629
2018-May-09,-0.013883
2018-May-10,0.003748
2018-May-11,-0.010180
2018-May-14,-0.031033
2018-May-15,-0.016770
2018-May-16,-0.015229
2018-May-18,-0.022557
2018-May-21,0.004579
2018-May-22,0.018181
2018-May-23,-0.012115
2018-May-24,-0.028135
2018-May-28,0.001020
2018-May-29,0.024308
2018-May-30,-0.016948
2018-May-31,0.005133
2018-Jun-01,-0.001318
2018-Jun-05,0.004378
2018-Jun-06,0.022950
2018-Jun-07,0.023903
2018-Jun-12,-0.055702
2018-Jun-13,-0.003054
2018-Jun-14,-0.005869
2018-Jun-19,-0.011660
2018-Jun-20,-0.032145
2018-Jun-21,-0.011997
2018-Jun-22,-0.023367
2018-Jun-25,-0.047652
2018-Jun-26,0.002770
2018-Jun-27,0.024133
2018-Jun-28,0.045902
2018-Jun-29,-0.007484
2018-Jul-02,-0.027169
2018-Jul-04,-0.045388
2018-Jul-09,-0.034276
2018-Jul-11,0.014343
2018-Jul-12,0.001062
2018-Jul-13,0.004244
2018-Jul-16,-0.041512
2018-Jul-17,0.031856
2018-Jul-18,0.041931
2018-Jul-19,0.040585
2018-Jul-20,-0.021443
2018-Jul-24,0.004639
2018-Jul-26,0.032560
2018-Jul-27,0.044797
2018-Jul-30,0.049998
2018-Jul-31,-0.044217
2018-Aug-01,0.005027
2018-Aug-02,-0.029995
2018-Aug-03,-0.008638
2018-Aug-06,0.026310
2018-Aug-07,0.020475
2018-Aug-08,-0.016425
2018-Aug-09,0.025778
2018-Aug-10,0.014040
2018-Aug-13,-0.006642
2018-Aug-15,0.003299
2018-Aug-16,-0.017972
2018-Aug-17,0.021721
2018-Aug-27,0.009880
2018-Aug-28,-0.006990
2018-Aug-29,-0.016702
2018-Aug-30,-0.032304
2018-Aug-31,-0.019420
2018-Sep-07,-0.023626
2018-Sep-12,-0.044666
2018-Sep-14,0.013130
2018-Sep-18,0.049538
2018-Sep-24,-0.033071
2018-Oct-01,-0.011190
2018-Oct-03,-0.008002
2018-Oct-08,-0.050000
2018-Oct-09,0.008918
2018-Oct-12,-0.049988
2018-Oct-15,-0.038483
2018-Oct-17,0.047591
2018-Oct-18,0.012008
2018-Oct-19,0.036313
2018-Oct-24,0.049985
2018-Oct-25,0.049991
2018-Oct-29,0.049988
2018-Oct-30,0.023511
2018-Nov-01,-0.020968
2018-Nov-02,0.023740
2018-Nov-05,-0.029232
2018-Nov-06,-0.024818
2018-Nov-07,0.048460
2018-Nov-09,0.006621
2018-Nov-12,-0.037026
2018-Nov-15,0.030447
2018-Nov-16,0.019108
2018-Nov-19,-0.011447
2018-Nov-20,0.010781
2018-Nov-22,0.004642
2018-Nov-23,0.046833
2018-Nov-26,-0.021824
2018-Nov-27,-0.003110
2018-Nov-28,-0.008012
2018-Nov-29,0.004951
2018-Dec-04,-0.014300
2018-Dec-05,-0.007589
2018-Dec-06,-0.020653
2018-Dec-07,0.044624
2018-Dec-10,0.023190
2018-Dec-11,0.003580
2018-Dec-12,-0.011945
2018-Dec-13,0.004135
2018-Dec-18,-0.013606
2018-Dec-19,0.006845
2018-Dec-20,0.012432
2018-Dec-26,-0.006301
2018-Dec-27,-0.034936
2018-Dec-28,-0.021837
2018-Dec-31,-0.045856
2019-Jan-07,0.044328
2019-Jan-08,0.019727
2019-Jan-14,0.019688
2019-Jan-15,0.002993
2019-Jan-17,0.011320
2019-Jan-18,-0.006283
2019-Jan-21,-0.016075
2019-Jan-22,0.007083
2019-Jan-23,-0.000806
2019-Jan-24,0.020726
2019-Jan-28,0.007029
2019-Jan-29,0.003842
2019-Jan-30,-0.005189
2019-Jan-31,0.003099
2019-Feb-04,0.047057
2019-Feb-06,0.000536
2019-Feb-07,-0.014450
2019-Feb-08,-0.010775
2019-Feb-12,0.038113
2019-Feb-13,-0.006465
2019-Feb-14,-0.011960
2019-Feb-18,-0.016790
2019-Feb-19,0.009387
2019-Feb-26,-0.032170
2019-Feb-27,-0.004195
2019-Mar-01,0.006149
2019-Mar-07,-0.012908
2019-Mar-14,-0.015564
2019-Mar-15,-0.041926
2019-Mar-20,-0.002477
2019-Mar-22,-0.008329
2019-Mar-27,0.038936
2019-Apr-09,-0.070262
2019-Apr-10,-0.049232
2019-Apr-12,0.048945
2019-Apr-16,0.001562
2019-Apr-26,0.049084
2019-Apr-29,-0.011621
2019-May-09,0.017497
2019-May-10,-0.000548
2019-May-14,-0.002463
2019-May-15,0.010184
2019-May-20,0.004996
2019-May-21,0.030290
2019-May-22,0.049990
2019-May-23,0.049988
2019-May-24,0.030051
2019-May-28,-0.008543
2019-Jun-11,-0.017583
2019-Jun-12,0.011215
2019-Jun-13,0.029764
2019-Jun-14,0.037535
2019-Jun-17,-0.020210
2019-Jun-20,0.012082
2019-Jun-26,0.005520
2019-Jun-28,0.019562
2019-Jul-01,-0.008043
2019-Jul-03,0.032763
2019-Jul-08,-0.007054
2019-Jul-12,-0.006171
2019-Jul-15,-0.021877
2019-Jul-18,-0.008376
2019-Jul-29,-0.013662
2019-Jul-30,-0.001065
2019-Jul-31,0.007759
2019-Aug-07,-0.028298
2019-Aug-16,-0.049778
2019-Aug-19,0.028577
2019-Aug-20,0.019959
2019-Aug-21,0.042957
2019-Aug-22,0.041271
2019-Aug-23,-0.020497
2019-Aug-28,-0.002600
2019-Sep-11,-0.029316
2019-Sep-17,-0.034236
2019-Sep-19,0.037286
2019-Sep-20,-0.017519
2019-Sep-23,-0.018842
2019-Sep-25,-0.005646
2019-Oct-01,0.021191
2019-Oct-03,0.027675
2019-Oct-09,-0.022164
2019-Oct-10,0.039859
2019-Oct-11,0.027485
2019-Oct-14,-0.036096
2019-Oct-15,-0.006918
2019-Oct-18,0.006282
2019-Oct-21,-0.045426
2019-Oct-22,0.002237
2019-Oct-23,-0.009330
2019-Oct-24,-0.003149
2019-Oct-25,-0.000667
2019-Oct-28,0.029088
2019-Oct-29,-0.012484
2019-Oct-30,-0.014725
2019-Nov-01,0.050484
2019-Nov-04,0.047258
2019-Nov-06,0.018396
2019-Nov-07,0.006423
2019-Nov-08,0.000000
2019-Nov-11,0.032015
2019-Nov-12,-0.016836
2019-Nov-13,0.009320
2019-Nov-14,-0.007987
2019-Nov-15,-0.003000
2019-Nov-18,0.045882
2019-Nov-19,0.006344
2019-Nov-20,-0.017471
2019-Nov-21,-0.046209
2019-Nov-22,0.042659
2019-Nov-25,0.041288
2019-Nov-26,-0.025914
2019-Nov-27,0.001652
2019-Nov-28,0.025156
2019-Nov-29,0.009148
2019-Dec-02,0.017964
2019-Dec-03,-0.027674
2019-Dec-04,0.028053
2019-Dec-05,0.017724
2019-Dec-06,-0.010959
2019-Dec-09,-0.027992
2019-Dec-10,0.024353
2019-Dec-11,-0.010335
2019-Dec-12,-0.008463
2019-Dec-16,0.019740
2019-Dec-17,-0.016447
2019-Dec-18,-0.012002
2019-Dec-19,-0.014762
2019-Dec-20,0.006925
2019-Dec-24,0.018496
2019-Dec-30,0.024423
2020-Jan-01,0.020028
2020-Jan-02,0.049979
2020-Jan-03,0.010113
2020-Jan-06,-0.039593
2020-Jan-07,0.046977
2020-Jan-09,0.044861
2020-Jan-10,-0.009490
2020-Jan-13,-0.007677
2020-Jan-14,-0.004409
2020-Jan-15,-0.003403
2020-Jan-16,0.001522
2020-Jan-17,0.004786
2020-Jan-20,-0.011898
2020-Jan-21,-0.004490
2020-Jan-22,0.030758
2020-Jan-23,-0.010122
2020-Jan-24,0.011142
2020-Jan-27,-0.013859
2020-Jan-28,0.000000
2020-Jan-29,-0.027495
2020-Jan-31,-0.021504
2020-Feb-06,0.002488
2020-Feb-11,0.023974
2020-Feb-12,0.043033
2020-Feb-13,-0.014829
2020-Feb-19,0.011821
2020-Feb-24,-0.026899
2020-Feb-27,0.011773
2020-Feb-28,0.025453
2020-Mar-02,0.052567
2020-Mar-03,-0.022145
2020-Mar-05,0.062135
2020-Mar-11,-0.008468
2020-Mar-12,-0.068378
2020-Mar-30,0.068049
2020-Apr-01,-0.016914
2020-Apr-09,0.029043
2020-Apr-13,-0.032031
2020-Apr-15,0.015264
2020-Apr-24,-0.004584
2020-May-04,-0.018961
2020-May-07,-0.025458
2020-May-14,-0.007467
2020-May-21,-0.010149
2020-May-29,0.024185
2020-Jun-01,-0.013577
2020-Jun-02,-0.002599
2020-Jun-03,-0.005873
2020-Jun-04,-0.009062
2020-Jun-08,0.014066
2020-Jun-09,0.020708
2020-Jun-10,0.000278
2020-Jun-11,0.018314
2020-Jun-12,-0.009160
2020-Jun-15,-0.033036
2020-Jun-16,-0.006118
2020-Jun-18,-0.006737
2020-Jun-22,0.005915
2020-Jun-24,-0.005628
2020-Jun-26,0.024493
2020-Jun-29,0.016903
2020-Jun-30,0.002933
2020-Jul-02,0.001982
2020-Jul-03,-0.011365
2020-Jul-06,0.003308
2020-Jul-07,0.006329
2020-Jul-08,-0.010880
2020-Jul-09,-0.000368
2020-Jul-10,0.015299
2020-Jul-13,0.040007
2020-Jul-15,-0.000137
2020-Jul-16,0.025804
2020-Jul-17,0.000571
2020-Jul-20,0.008976
2020-Jul-21,0.007860
2020-Jul-23,-0.033621
2020-Jul-24,-0.016377
2020-Jul-27,0.025492
2020-Jul-28,0.026088
2020-Jul-29,0.016932
2020-Jul-30,0.022311
2020-Aug-03,0.031902
2020-Aug-04,-0.027916
2020-Aug-07,-0.002172
