weighted portfolio variance,weighted portfolio returns
0.020118,0.185804
0.029714,0.201601
0.039594,0.218511
0.033700,0.142668
0.044936,0.230154
0.029102,0.212991
0.030144,0.214074
0.022044,0.195293
0.024231,0.185198
0.035354,0.210879
0.040247,0.222205
0.033162,0.149155
0.021403,0.195840
0.018081,0.190258
0.027781,0.173362
0.039607,0.139224
0.030396,0.181474
0.035568,0.213173
0.021337,0.174162
0.024396,0.217808
0.032995,0.226383
0.027332,0.183510
0.050011,0.231496
0.048845,0.126887
0.049680,0.229640
0.033597,0.147221
0.020111,0.167406
0.024891,0.229033
0.022829,0.198752
0.020524,0.163486
0.030626,0.204441
0.025152,0.215084
0.049002,0.232085
0.043666,0.220170
0.028549,0.184253
0.032324,0.221993
0.039214,0.213201
0.024817,0.149108
0.045055,0.238284
0.022474,0.196730
0.023623,0.180008
0.042070,0.265744
0.030085,0.209944
0.024315,0.189702
0.021484,0.186419
0.028685,0.197463
0.041262,0.220396
0.049209,0.229367
0.015890,0.183808
0.036468,0.223821
0.023468,0.201212
0.021844,0.209864
0.046698,0.225236
0.037682,0.223390
0.019957,0.196186
0.041089,0.220854
0.051337,0.231592
0.041665,0.260996
0.034579,0.216608
0.027394,0.190982
0.024943,0.188692
0.023765,0.212560
0.050526,0.231054
0.028515,0.221225
0.021003,0.193954
0.026012,0.231860
0.038021,0.222848
0.051089,0.231286
0.021021,0.203436
0.043661,0.234570
0.022555,0.195522
0.035984,0.145887
0.026140,0.194527
0.020664,0.202248
0.035067,0.223789
0.025859,0.203081
0.040034,0.228488
0.024272,0.175842
0.028217,0.178491
0.024603,0.215228
0.022760,0.194556
0.027623,0.204108
0.030421,0.206284
0.024597,0.192902
0.034427,0.204575
0.024659,0.196993
0.028085,0.170451
0.038003,0.221030
0.023445,0.163506
0.034906,0.217604
0.050115,0.233553
0.022173,0.207182
0.029939,0.223190
0.025350,0.166542
0.024098,0.205238
0.019881,0.202760
0.029243,0.172424
0.020028,0.158732
0.037600,0.212330
0.046166,0.228237
0.025610,0.150868
0.033341,0.211411
0.019443,0.163026
0.026360,0.190316
0.040873,0.222840
0.049930,0.230032
0.031427,0.204543
0.029704,0.220211
0.031477,0.167296
0.037105,0.208537
0.037141,0.210538
0.034877,0.208217
0.020751,0.187074
0.023512,0.192831
0.033322,0.208726
0.042268,0.220662
0.038817,0.221310
0.023306,0.191032
0.030157,0.220831
0.024119,0.188673
0.022450,0.220789
0.050999,0.231660
0.021832,0.169342
0.021491,0.176844
0.025120,0.188620
0.025407,0.186504
0.022383,0.195766
0.032039,0.206345
0.048245,0.233022
0.020314,0.212466
0.027554,0.211268
0.028322,0.217978
0.045128,0.226655
0.020348,0.176757
0.019062,0.171041
0.040284,0.227759
0.035359,0.203800
0.021367,0.169441
0.019356,0.207440
0.020151,0.194353
0.027390,0.168557
0.042284,0.225885
0.050406,0.231723
0.039650,0.228041
0.025801,0.183256
0.040892,0.135223
0.039049,0.141706
0.027997,0.185277
0.039174,0.224325
0.026376,0.222131
0.039419,0.220921
0.034842,0.219857
0.033075,0.224097
0.030629,0.194782
0.020317,0.181527
0.029980,0.166099
0.047348,0.228162
0.047610,0.226441
