Date,Returns
2017-Nov-10,-0.001306
2017-Nov-13,-0.009592
2017-Nov-15,0.003545
2017-Nov-16,0.006624
2017-Nov-24,-0.007962
2017-Nov-30,0.026322
2017-Dec-05,-0.001116
2017-Dec-06,0.001564
2017-Dec-07,-0.039938
2017-Dec-08,0.023240
2017-Dec-11,-0.023166
2017-Dec-12,0.009765
2017-Dec-18,-0.000689
2017-Dec-19,-0.011713
2017-Dec-20,0.013014
2017-Dec-21,0.032117
2017-Dec-22,0.038008
2017-Dec-26,-0.010064
2017-Dec-27,0.012330
2017-Dec-28,0.002350
2017-Dec-29,0.035174
2018-Jan-02,0.004325
2018-Jan-04,0.030741
2018-Jan-05,0.005604
2018-Jan-10,0.009792
2018-Jan-11,-0.017949
2018-Jan-12,-0.007143
2018-Jan-16,0.007260
2018-Jan-18,0.007632
2018-Jan-19,0.008626
2018-Jan-22,0.017730
2018-Jan-23,0.004714
2018-Jan-24,0.005916
2018-Jan-25,0.000608
2018-Jan-26,-0.006283
2018-Jan-29,0.007954
2018-Jan-30,-0.010522
2018-Jan-31,0.001227
2018-Feb-01,0.007557
2018-Feb-02,0.002230
2018-Feb-06,-0.002832
2018-Feb-07,0.014604
2018-Feb-08,0.029588
2018-Feb-09,0.001359
2018-Feb-12,-0.007756
2018-Feb-13,0.003518
2018-Feb-15,-0.000801
2018-Feb-16,-0.002204
2018-Feb-19,-0.004216
2018-Feb-21,-0.005164
2018-Feb-22,0.010797
2018-Feb-23,-0.021364
2018-Mar-02,0.009143
2018-Mar-05,0.006743
2018-Mar-06,-0.002512
2018-Mar-07,-0.010491
2018-Mar-08,0.004877
2018-Mar-09,-0.008652
2018-Mar-12,0.001490
2018-Mar-13,0.024442
2018-Mar-16,-0.005395
2018-Mar-19,-0.005216
2018-Mar-20,0.040268
2018-Mar-21,0.022177
2018-Mar-22,-0.009665
2018-Mar-26,-0.011153
2018-Mar-27,-0.001813
2018-Mar-29,0.017484
2018-Mar-30,-0.011258
2018-Apr-02,-0.024571
2018-Apr-03,0.016179
2018-Apr-04,0.047965
2018-Apr-05,-0.003269
2018-Apr-06,0.009068
2018-Apr-10,-0.016008
2018-Apr-11,0.005096
2018-Apr-13,0.009075
2018-Apr-16,-0.019135
2018-Apr-17,-0.003707
2018-Apr-19,-0.017623
2018-Apr-20,0.000598
2018-Apr-23,-0.011554
2018-Apr-26,-0.000404
2018-Apr-27,0.026677
2018-May-02,-0.001972
2018-May-03,-0.011658
2018-May-04,-0.002799
2018-May-07,-0.006014
2018-May-08,-0.008673
2018-May-09,-0.003255
2018-May-10,-0.000612
2018-May-11,0.000204
2018-May-14,-0.012457
2018-May-15,-0.008271
2018-May-16,0.002085
2018-May-18,-0.008807
2018-May-21,0.004866
2018-May-22,0.026947
2018-May-23,0.028085
2018-May-24,-0.017348
2018-May-28,-0.019516
2018-May-29,0.012440
2018-May-30,-0.001434
2018-May-31,0.015997
2018-Jun-01,-0.009487
2018-Jun-05,0.012797
2018-Jun-06,0.013037
2018-Jun-07,-0.013067
2018-Jun-12,-0.017452
2018-Jun-13,0.003471
2018-Jun-14,-0.000610
2018-Jun-19,0.006311
2018-Jun-20,-0.010520
2018-Jun-21,-0.005929
2018-Jun-22,-0.013780
2018-Jun-25,-0.023358
2018-Jun-26,0.015161
2018-Jun-27,0.003366
2018-Jun-28,-0.002306
2018-Jun-29,-0.004623
2018-Jul-02,0.012877
2018-Jul-04,-0.012464
2018-Jul-09,-0.003389
2018-Jul-11,0.029241
2018-Jul-12,0.015041
2018-Jul-13,0.040955
2018-Jul-16,-0.022341
2018-Jul-17,-0.003033
2018-Jul-18,0.013996
2018-Jul-19,-0.011202
2018-Jul-20,-0.009508
2018-Jul-24,0.010417
2018-Jul-26,0.002628
2018-Jul-27,0.008669
2018-Jul-30,0.013392
2018-Jul-31,-0.008876
2018-Aug-01,0.014328
2018-Aug-02,0.020404
2018-Aug-03,0.034032
2018-Aug-06,-0.010041
2018-Aug-07,-0.005823
2018-Aug-08,-0.018893
2018-Aug-09,0.015213
2018-Aug-10,-0.004742
2018-Aug-13,-0.008767
2018-Aug-15,-0.011344
