Date,Returns
2017-Nov-10,-0.019979
2017-Nov-13,0.001073
2017-Nov-15,-0.014954
2017-Nov-16,0.046205
2017-Nov-24,-0.016942
2017-Nov-30,-0.008722
2017-Dec-05,0.019560
2017-Dec-06,-0.001293
2017-Dec-07,-0.049644
2017-Dec-08,0.048149
2017-Dec-11,-0.003034
2017-Dec-12,0.000435
2017-Dec-18,-0.006481
2017-Dec-19,-0.038922
2017-Dec-20,0.018552
2017-Dec-21,0.000000
2017-Dec-22,0.031986
2017-Dec-26,-0.014851
2017-Dec-27,0.011580
2017-Dec-28,0.010367
2017-Dec-29,-0.021590
2018-Jan-02,0.021630
2018-Jan-04,0.002650
2018-Jan-05,0.026225
2018-Jan-10,0.043017
2018-Jan-11,-0.041627
2018-Jan-12,0.013411
2018-Jan-16,0.027663
2018-Jan-18,0.030763
2018-Jan-19,0.004290
2018-Jan-22,0.021545
2018-Jan-23,0.008545
2018-Jan-24,0.000721
2018-Jan-25,0.002162
2018-Jan-26,-0.016718
2018-Jan-29,-0.009141
2018-Jan-30,0.004428
2018-Jan-31,0.007715
2018-Feb-01,0.010755
2018-Feb-02,-0.011903
2018-Feb-06,-0.005658
2018-Feb-07,-0.002753
2018-Feb-08,-0.020799
2018-Feb-09,-0.011466
2018-Feb-12,0.031945
2018-Feb-13,-0.007186
2018-Feb-15,-0.046337
2018-Feb-16,0.008266
2018-Feb-19,-0.020196
2018-Feb-21,0.013258
2018-Feb-22,0.011697
2018-Feb-23,-0.029394
2018-Mar-02,-0.006665
2018-Mar-05,0.005083
2018-Mar-06,-0.001821
2018-Mar-07,-0.007296
2018-Mar-08,-0.006533
2018-Mar-09,-0.018085
2018-Mar-12,0.016325
2018-Mar-13,-0.001647
2018-Mar-16,-0.007910
2018-Mar-19,0.000000
2018-Mar-20,0.049937
2018-Mar-21,-0.014189
2018-Mar-22,-0.008514
2018-Mar-26,0.012881
2018-Mar-27,0.012919
2018-Mar-29,0.018150
2018-Mar-30,0.002325
2018-Apr-02,0.005993
2018-Apr-03,0.007879
2018-Apr-04,0.016778
2018-Apr-05,-0.007688
2018-Apr-06,-0.014361
2018-Apr-10,0.007147
2018-Apr-11,0.013809
2018-Apr-13,-0.008112
2018-Apr-16,-0.006276
2018-Apr-17,0.030431
2018-Apr-19,-0.043091
2018-Apr-20,0.009705
2018-Apr-23,0.015186
2018-Apr-26,-0.013866
2018-Apr-27,0.004874
2018-May-02,0.004209
2018-May-03,-0.010097
2018-May-04,-0.003849
2018-May-07,-0.016422
2018-May-08,0.001179
2018-May-09,-0.009221
2018-May-10,0.013465
2018-May-11,-0.017780
2018-May-14,-0.049334
2018-May-15,0.022599
2018-May-16,0.006548
2018-May-18,-0.020980
2018-May-21,-0.008860
2018-May-22,0.028690
2018-May-23,-0.002627
2018-May-24,0.012158
2018-May-28,0.018511
2018-May-29,0.040841
2018-May-30,-0.006082
2018-May-31,-0.002369
2018-Jun-01,-0.001781
2018-Jun-05,0.001735
2018-Jun-06,-0.019053
2018-Jun-07,-0.021385
2018-Jun-12,-0.015237
2018-Jun-13,0.018119
2018-Jun-14,-0.009198
2018-Jun-19,-0.006256
2018-Jun-20,-0.018278
2018-Jun-21,-0.024824
2018-Jun-22,0.007000
2018-Jun-25,-0.019802
2018-Jun-26,0.004728
2018-Jun-27,0.015829
2018-Jun-28,0.021268
2018-Jun-29,-0.021031
2018-Jul-02,-0.012426
2018-Jul-04,-0.017314
2018-Jul-09,-0.032134
2018-Jul-11,0.000915
2018-Jul-12,0.029721
2018-Jul-13,0.026199
2018-Jul-16,0.013630
2018-Jul-17,0.004269
2018-Jul-18,0.042933
2018-Jul-19,0.049725
2018-Jul-20,-0.022908
2018-Jul-24,0.015498
2018-Jul-26,-0.002152
2018-Jul-27,0.013137
2018-Jul-30,0.009096
2018-Jul-31,-0.019563
2018-Aug-01,0.017214
2018-Aug-02,0.002308
2018-Aug-03,0.037606
2018-Aug-06,0.019231
2018-Aug-07,-0.007257
2018-Aug-08,-0.010234
2018-Aug-09,0.031758
2018-Aug-10,-0.038117
2018-Aug-13,-0.046698
2018-Aug-15,0.017955
2018-Aug-16,-0.021281
2018-Aug-17,0.005289
2018-Aug-27,0.009128
2018-Aug-28,-0.002117
2018-Aug-29,-0.000964
2018-Aug-30,-0.014672
2018-Aug-31,-0.007445
2018-Sep-07,-0.035532
2018-Sep-12,-0.005559
2018-Sep-14,-0.019020
2018-Sep-18,0.023195
2018-Sep-24,-0.000582
2018-Oct-01,0.014855
2018-Oct-03,0.017215
2018-Oct-08,-0.036223
2018-Oct-09,0.049908
2018-Oct-12,-0.038786
