Date,Returns
2017-Nov-10,-0.005767
2017-Nov-13,-0.007941
2017-Nov-15,-0.007002
2017-Nov-16,-0.002159
2017-Nov-24,0.027870
2017-Nov-30,-0.000355
2017-Dec-05,-0.014967
2017-Dec-06,-0.003888
2017-Dec-07,-0.049761
2017-Dec-08,-0.017524
2017-Dec-11,-0.049747
2017-Dec-12,0.032482
2017-Dec-18,-0.017460
2017-Dec-19,-0.028397
2017-Dec-20,0.010107
2017-Dec-21,0.030353
2017-Dec-22,0.049967
2017-Dec-26,0.008386
2017-Dec-27,0.018207
2017-Dec-28,0.009310
2017-Dec-29,-0.023910
2018-Jan-02,0.004699
2018-Jan-04,-0.001505
2018-Jan-05,0.006031
2018-Jan-10,0.018380
2018-Jan-11,-0.016268
2018-Jan-12,-0.038819
2018-Jan-16,0.027366
2018-Jan-18,0.016939
2018-Jan-19,0.002972
2018-Jan-22,0.035267
2018-Jan-23,-0.001856
2018-Jan-24,0.000252
2018-Jan-25,-0.003087
2018-Jan-26,-0.004551
2018-Jan-29,0.004318
2018-Jan-30,-0.003604
2018-Jan-31,0.001903
2018-Feb-01,0.008074
2018-Feb-02,0.006628
2018-Feb-06,-0.015758
2018-Feb-07,-0.003234
2018-Feb-08,-0.012055
2018-Feb-09,-0.002801
2018-Feb-12,-0.007522
2018-Feb-13,0.002147
2018-Feb-15,-0.017400
2018-Feb-16,0.018653
2018-Feb-19,0.017517
2018-Feb-21,-0.021744
2018-Feb-22,-0.007365
2018-Feb-23,-0.010218
2018-Mar-02,-0.003542
2018-Mar-05,0.009992
2018-Mar-06,-0.002523
2018-Mar-07,-0.005026
2018-Mar-08,-0.001371
2018-Mar-09,-0.015944
2018-Mar-12,0.006944
2018-Mar-13,0.011392
2018-Mar-16,-0.008964
2018-Mar-19,0.030854
2018-Mar-20,0.015628
2018-Mar-21,0.011703
2018-Mar-22,0.001063
2018-Mar-26,0.005472
2018-Mar-27,0.011685
2018-Mar-29,0.021429
2018-Mar-30,-0.003750
2018-Apr-02,0.026439
2018-Apr-03,0.007152
2018-Apr-04,-0.005356
2018-Apr-05,0.021145
2018-Apr-06,-0.007080
2018-Apr-10,-0.004567
2018-Apr-11,0.025766
2018-Apr-13,-0.013919
2018-Apr-16,-0.020736
2018-Apr-17,0.005809
2018-Apr-19,-0.007608
2018-Apr-20,-0.009853
2018-Apr-23,0.019342
2018-Apr-26,-0.000593
2018-Apr-27,0.011955
2018-May-02,-0.003684
2018-May-03,-0.014493
2018-May-04,0.003692
2018-May-07,0.005173
2018-May-08,-0.002767
2018-May-09,-0.003102
2018-May-10,0.006613
2018-May-11,-0.011653
2018-May-14,-0.030559
2018-May-15,-0.006795
2018-May-16,-0.006654
2018-May-18,-0.024955
2018-May-21,0.004447
2018-May-22,0.036105
2018-May-23,-0.000728
2018-May-24,-0.019289
2018-May-28,0.009693
2018-May-29,0.033452
2018-May-30,0.001300
2018-May-31,0.011937
2018-Jun-01,-0.005319
2018-Jun-05,0.005792
2018-Jun-06,0.018408
2018-Jun-07,-0.037475
2018-Jun-12,0.008468
2018-Jun-13,0.028382
2018-Jun-14,-0.004821
2018-Jun-19,-0.000545
2018-Jun-20,-0.010602
2018-Jun-21,-0.020544
2018-Jun-22,-0.027758
2018-Jun-25,-0.013536
2018-Jun-26,0.017763
2018-Jun-27,0.019150
2018-Jun-28,-0.000974
2018-Jun-29,0.001164
2018-Jul-02,0.001477
2018-Jul-04,-0.048791
2018-Jul-09,-0.031538
2018-Jul-11,-0.000832
2018-Jul-12,0.013828
2018-Jul-13,-0.012653
2018-Jul-16,-0.045902
2018-Jul-17,-0.006873
2018-Jul-18,0.034497
2018-Jul-19,0.042312
2018-Jul-20,-0.017104
2018-Jul-24,0.010507
2018-Jul-26,0.028899
2018-Jul-27,0.027641
2018-Jul-30,0.032264
2018-Jul-31,-0.019865
2018-Aug-01,0.018398
2018-Aug-02,-0.008099
2018-Aug-03,0.021612
2018-Aug-06,0.003060
2018-Aug-07,-0.008946
2018-Aug-08,-0.003377
2018-Aug-09,0.006328
2018-Aug-10,0.003457
2018-Aug-13,0.045796
2018-Aug-15,-0.011501
2018-Aug-16,-0.021317
2018-Aug-17,0.014472
2018-Aug-27,0.009849
2018-Aug-28,-0.003711
2018-Aug-29,-0.000520
2018-Aug-30,0.000029
2018-Aug-31,-0.007396
2018-Sep-07,-0.024801
2018-Sep-12,-0.016391
2018-Sep-14,-0.002781
2018-Sep-18,0.027435
2018-Sep-24,-0.016609
2018-Oct-01,-0.001443
2018-Oct-03,-0.002640
2018-Oct-08,-0.037655
2018-Oct-09,-0.002682
